Source,Type,Target,Weight
Shipmaster_Tmp,Undirected,Boatswain_Tmp,1
Shipmaster_Tmp,Undirected,Alonso_Tmp,1
Shipmaster_Tmp,Undirected,Antonio_Tmp,1
Shipmaster_Tmp,Undirected,Gonzalo_Tmp,1
Shipmaster_Tmp,Undirected,Sebastian_Tmp,1
Shipmaster_Tmp,Undirected,SAILORS_Tmp,1
Boatswain_Tmp,Undirected,Alonso_Tmp,2
Boatswain_Tmp,Undirected,Antonio_Tmp,2
Boatswain_Tmp,Undirected,Gonzalo_Tmp,2
Boatswain_Tmp,Undirected,Sebastian_Tmp,2
Boatswain_Tmp,Undirected,SAILORS_Tmp,1
Boatswain_Tmp,Undirected,Prospero_Tmp,1
Boatswain_Tmp,Undirected,Ariel_Tmp,1
Boatswain_Tmp,Undirected,Miranda_Tmp,1
Boatswain_Tmp,Undirected,Ferdinand_Tmp,1
Boatswain_Tmp,Undirected,Stephano_Tmp,1
Boatswain_Tmp,Undirected,Trinculo_Tmp,1
Boatswain_Tmp,Undirected,Caliban_Tmp,1
Alonso_Tmp,Undirected,Antonio_Tmp,4
Alonso_Tmp,Undirected,Gonzalo_Tmp,4
Alonso_Tmp,Undirected,Sebastian_Tmp,4
Alonso_Tmp,Undirected,SAILORS_Tmp,1
Alonso_Tmp,Undirected,Adrian_Tmp,2
Alonso_Tmp,Undirected,Francisco_Tmp,2
Alonso_Tmp,Undirected,Ariel_Tmp,3
Alonso_Tmp,Undirected,Prospero_Tmp,2
Alonso_Tmp,Undirected,Miranda_Tmp,1
Alonso_Tmp,Undirected,Ferdinand_Tmp,1
Alonso_Tmp,Undirected,Stephano_Tmp,1
Alonso_Tmp,Undirected,Trinculo_Tmp,1
Alonso_Tmp,Undirected,Caliban_Tmp,1
Antonio_Tmp,Undirected,Gonzalo_Tmp,4
Antonio_Tmp,Undirected,Sebastian_Tmp,4
Antonio_Tmp,Undirected,SAILORS_Tmp,1
Antonio_Tmp,Undirected,Adrian_Tmp,2
Antonio_Tmp,Undirected,Francisco_Tmp,2
Antonio_Tmp,Undirected,Ariel_Tmp,3
Antonio_Tmp,Undirected,Prospero_Tmp,2
Antonio_Tmp,Undirected,Miranda_Tmp,1
Antonio_Tmp,Undirected,Ferdinand_Tmp,1
Antonio_Tmp,Undirected,Stephano_Tmp,1
Antonio_Tmp,Undirected,Trinculo_Tmp,1
Antonio_Tmp,Undirected,Caliban_Tmp,1
Gonzalo_Tmp,Undirected,Sebastian_Tmp,4
Gonzalo_Tmp,Undirected,SAILORS_Tmp,1
Gonzalo_Tmp,Undirected,Adrian_Tmp,2
Gonzalo_Tmp,Undirected,Francisco_Tmp,2
Gonzalo_Tmp,Undirected,Ariel_Tmp,3
Gonzalo_Tmp,Undirected,Prospero_Tmp,2
Gonzalo_Tmp,Undirected,Miranda_Tmp,1
Gonzalo_Tmp,Undirected,Ferdinand_Tmp,1
Gonzalo_Tmp,Undirected,Stephano_Tmp,1
Gonzalo_Tmp,Undirected,Trinculo_Tmp,1
Gonzalo_Tmp,Undirected,Caliban_Tmp,1
Sebastian_Tmp,Undirected,SAILORS_Tmp,1
Sebastian_Tmp,Undirected,Adrian_Tmp,2
Sebastian_Tmp,Undirected,Francisco_Tmp,2
Sebastian_Tmp,Undirected,Ariel_Tmp,3
Sebastian_Tmp,Undirected,Prospero_Tmp,2
Sebastian_Tmp,Undirected,Miranda_Tmp,1
Sebastian_Tmp,Undirected,Ferdinand_Tmp,1
Sebastian_Tmp,Undirected,Stephano_Tmp,1
Sebastian_Tmp,Undirected,Trinculo_Tmp,1
Sebastian_Tmp,Undirected,Caliban_Tmp,1
Miranda_Tmp,Undirected,Prospero_Tmp,4
Miranda_Tmp,Undirected,Ariel_Tmp,3
Miranda_Tmp,Undirected,Caliban_Tmp,3
Miranda_Tmp,Undirected,Ferdinand_Tmp,4
Miranda_Tmp,Undirected,SPIRITS.Iris_Tmp,1
Miranda_Tmp,Undirected,SPIRITS.Ceres_Tmp,1
Miranda_Tmp,Undirected,SPIRITS.Juno_Tmp,1
Miranda_Tmp,Undirected,Stephano_Tmp,2
Miranda_Tmp,Undirected,Trinculo_Tmp,2
Prospero_Tmp,Undirected,Ariel_Tmp,4
Prospero_Tmp,Undirected,Caliban_Tmp,3
Prospero_Tmp,Undirected,Ferdinand_Tmp,4
Prospero_Tmp,Undirected,Francisco_Tmp,1
Prospero_Tmp,Undirected,Adrian_Tmp,1
Prospero_Tmp,Undirected,SPIRITS.Iris_Tmp,1
Prospero_Tmp,Undirected,SPIRITS.Ceres_Tmp,1
Prospero_Tmp,Undirected,SPIRITS.Juno_Tmp,1
Prospero_Tmp,Undirected,Stephano_Tmp,2
Prospero_Tmp,Undirected,Trinculo_Tmp,2
Ariel_Tmp,Undirected,Caliban_Tmp,4
Ariel_Tmp,Undirected,Ferdinand_Tmp,3
Ariel_Tmp,Undirected,Adrian_Tmp,2
Ariel_Tmp,Undirected,Francisco_Tmp,2
Ariel_Tmp,Undirected,Stephano_Tmp,3
Ariel_Tmp,Undirected,Trinculo_Tmp,3
Ariel_Tmp,Undirected,SPIRITS.Iris_Tmp,1
Ariel_Tmp,Undirected,SPIRITS.Ceres_Tmp,1
Ariel_Tmp,Undirected,SPIRITS.Juno_Tmp,1
Caliban_Tmp,Undirected,Ferdinand_Tmp,3
Caliban_Tmp,Undirected,Trinculo_Tmp,4
Caliban_Tmp,Undirected,Stephano_Tmp,4
Caliban_Tmp,Undirected,SPIRITS.Iris_Tmp,1
Caliban_Tmp,Undirected,SPIRITS.Ceres_Tmp,1
Caliban_Tmp,Undirected,SPIRITS.Juno_Tmp,1
Ferdinand_Tmp,Undirected,SPIRITS.Iris_Tmp,1
Ferdinand_Tmp,Undirected,SPIRITS.Ceres_Tmp,1
Ferdinand_Tmp,Undirected,SPIRITS.Juno_Tmp,1
Ferdinand_Tmp,Undirected,Stephano_Tmp,2
Ferdinand_Tmp,Undirected,Trinculo_Tmp,2
Adrian_Tmp,Undirected,Francisco_Tmp,2
Trinculo_Tmp,Undirected,Stephano_Tmp,4
Trinculo_Tmp,Undirected,SPIRITS.Iris_Tmp,1
Trinculo_Tmp,Undirected,SPIRITS.Ceres_Tmp,1
Trinculo_Tmp,Undirected,SPIRITS.Juno_Tmp,1
Stephano_Tmp,Undirected,SPIRITS.Iris_Tmp,1
Stephano_Tmp,Undirected,SPIRITS.Ceres_Tmp,1
Stephano_Tmp,Undirected,SPIRITS.Juno_Tmp,1
SPIRITS.Iris_Tmp,Undirected,SPIRITS.Ceres_Tmp,1
SPIRITS.Iris_Tmp,Undirected,SPIRITS.Juno_Tmp,1
SPIRITS.Ceres_Tmp,Undirected,SPIRITS.Juno_Tmp,1
