Source,Type,Target,Weight
Valentine_TGV,Undirected,Proteus_TGV,4
Valentine_TGV,Undirected,Speed_TGV,5
Valentine_TGV,Undirected,Sylvia_TGV,3
Valentine_TGV,Undirected,Thurio_TGV,2
Valentine_TGV,Undirected,Duke_TGV,3
Valentine_TGV,Undirected,SERVANTS.1_TGV,1
Valentine_TGV,Undirected,Lance_TGV,1
Valentine_TGV,Undirected,OUTLAWS.1_TGV,2
Valentine_TGV,Undirected,OUTLAWS.2_TGV,2
Valentine_TGV,Undirected,OUTLAWS.3_TGV,2
Valentine_TGV,Undirected,Julia_TGV,1
Proteus_TGV,Undirected,Speed_TGV,3
Proteus_TGV,Undirected,Antonio_TGV,1
Proteus_TGV,Undirected,Pantino_TGV,2
Proteus_TGV,Undirected,Julia_TGV,5
Proteus_TGV,Undirected,Sylvia_TGV,4
Proteus_TGV,Undirected,Thurio_TGV,5
Proteus_TGV,Undirected,Duke_TGV,5
Proteus_TGV,Undirected,SERVANTS.1_TGV,1
Proteus_TGV,Undirected,Lance_TGV,2
Proteus_TGV,Undirected,Host_TGV,1
Proteus_TGV,Undirected,OUTLAWS.1_TGV,1
Proteus_TGV,Undirected,OUTLAWS.2_TGV,1
Proteus_TGV,Undirected,OUTLAWS.3_TGV,1
Speed_TGV,Undirected,Sylvia_TGV,2
Speed_TGV,Undirected,Thurio_TGV,1
Speed_TGV,Undirected,Duke_TGV,2
Speed_TGV,Undirected,SERVANTS.1_TGV,1
Speed_TGV,Undirected,Lance_TGV,2
Speed_TGV,Undirected,OUTLAWS.1_TGV,1
Speed_TGV,Undirected,OUTLAWS.2_TGV,1
Speed_TGV,Undirected,OUTLAWS.3_TGV,1
Julia_TGV,Undirected,Lucetta_TGV,2
Julia_TGV,Undirected,Pantino_TGV,1
Julia_TGV,Undirected,Thurio_TGV,3
Julia_TGV,Undirected,Host_TGV,1
Julia_TGV,Undirected,Sylvia_TGV,3
Julia_TGV,Undirected,Lance_TGV,1
Julia_TGV,Undirected,Duke_TGV,2
Julia_TGV,Undirected,OUTLAWS.1_TGV,1
Julia_TGV,Undirected,OUTLAWS.2_TGV,1
Julia_TGV,Undirected,OUTLAWS.3_TGV,1
Antonio_TGV,Undirected,Pantino_TGV,1
Pantino_TGV,Undirected,Lance_TGV,1
Sylvia_TGV,Undirected,Thurio_TGV,3
Sylvia_TGV,Undirected,Duke_TGV,2
Sylvia_TGV,Undirected,SERVANTS.1_TGV,1
Sylvia_TGV,Undirected,Host_TGV,1
Sylvia_TGV,Undirected,Eglamour_TGV,2
Sylvia_TGV,Undirected,Lance_TGV,1
Sylvia_TGV,Undirected,OUTLAWS.1_TGV,2
Sylvia_TGV,Undirected,OUTLAWS.2_TGV,2
Sylvia_TGV,Undirected,OUTLAWS.3_TGV,2
Lance_TGV,Undirected,Duke_TGV,1
Thurio_TGV,Undirected,Duke_TGV,4
Thurio_TGV,Undirected,SERVANTS.1_TGV,1
Thurio_TGV,Undirected,Host_TGV,1
Thurio_TGV,Undirected,OUTLAWS.1_TGV,1
Thurio_TGV,Undirected,OUTLAWS.2_TGV,1
Thurio_TGV,Undirected,OUTLAWS.3_TGV,1
Duke_TGV,Undirected,SERVANTS.1_TGV,1
Duke_TGV,Undirected,OUTLAWS.1_TGV,1
Duke_TGV,Undirected,OUTLAWS.2_TGV,1
Duke_TGV,Undirected,OUTLAWS.3_TGV,1
OUTLAWS.1_TGV,Undirected,OUTLAWS.2_TGV,3
OUTLAWS.1_TGV,Undirected,OUTLAWS.3_TGV,3
OUTLAWS.2_TGV,Undirected,OUTLAWS.3_TGV,3
