Source,Type,Target,Weight
Shallow_2H4,Undirected,Slender_Wiv,6
Shallow_2H4,Undirected,HughEvans_Wiv,4
Shallow_2H4,Undirected,MasterPage_Wiv,8
Shallow_2H4,Undirected,Falstaff_1H4,2
Shallow_2H4,Undirected,Bardolph_1H4,1
Shallow_2H4,Undirected,Pistol_2H4,2
Shallow_2H4,Undirected,Nym_H5,2
Shallow_2H4,Undirected,Simple_Wiv,2
Shallow_2H4,Undirected,AnnePage_Wiv,2
Shallow_2H4,Undirected,MistressPage_Wiv,4
Shallow_2H4,Undirected,MistressFord_Wiv,2
Shallow_2H4,Undirected,MasterFord_Wiv,3
Shallow_2H4,Undirected,MistressQuickly_1H4,2
Shallow_2H4,Undirected,Host_Wiv,4
Shallow_2H4,Undirected,DoctorCaius_Wiv,3
Shallow_2H4,Undirected,Rugby_Wiv,1
Shallow_2H4,Undirected,Robin_Wiv,1
Shallow_2H4,Undirected,Fenton_Wiv,1
Shallow_2H4,Undirected,Robert_Wiv,1
Shallow_2H4,Undirected,John_Wiv,1
Slender_Wiv,Undirected,HughEvans_Wiv,4
Slender_Wiv,Undirected,MasterPage_Wiv,7
Slender_Wiv,Undirected,Falstaff_1H4,2
Slender_Wiv,Undirected,Bardolph_1H4,1
Slender_Wiv,Undirected,Pistol_2H4,2
Slender_Wiv,Undirected,Nym_H5,1
Slender_Wiv,Undirected,Simple_Wiv,2
Slender_Wiv,Undirected,AnnePage_Wiv,3
Slender_Wiv,Undirected,DoctorCaius_Wiv,4
Slender_Wiv,Undirected,Rugby_Wiv,1
Slender_Wiv,Undirected,Host_Wiv,3
Slender_Wiv,Undirected,MistressPage_Wiv,3
Slender_Wiv,Undirected,Robin_Wiv,1
Slender_Wiv,Undirected,MasterFord_Wiv,2
Slender_Wiv,Undirected,Fenton_Wiv,2
Slender_Wiv,Undirected,MistressQuickly_1H4,2
Slender_Wiv,Undirected,MistressFord_Wiv,1
Slender_Wiv,Undirected,BOYS_Wiv,1
HughEvans_Wiv,Undirected,MasterPage_Wiv,7
HughEvans_Wiv,Undirected,Falstaff_1H4,5
HughEvans_Wiv,Undirected,Bardolph_1H4,2
HughEvans_Wiv,Undirected,Pistol_2H4,2
HughEvans_Wiv,Undirected,Nym_H5,1
HughEvans_Wiv,Undirected,Simple_Wiv,4
HughEvans_Wiv,Undirected,AnnePage_Wiv,2
HughEvans_Wiv,Undirected,Host_Wiv,3
HughEvans_Wiv,Undirected,DoctorCaius_Wiv,5
HughEvans_Wiv,Undirected,MistressPage_Wiv,6
HughEvans_Wiv,Undirected,Robin_Wiv,2
HughEvans_Wiv,Undirected,MasterFord_Wiv,5
HughEvans_Wiv,Undirected,MistressFord_Wiv,4
HughEvans_Wiv,Undirected,Robert_Wiv,2
HughEvans_Wiv,Undirected,John_Wiv,2
HughEvans_Wiv,Undirected,MistressQuickly_1H4,3
HughEvans_Wiv,Undirected,WilliamPage_Wiv,1
HughEvans_Wiv,Undirected,BOYS_Wiv,1
HughEvans_Wiv,Undirected,Fenton_Wiv,1
MasterPage_Wiv,Undirected,Falstaff_1H4,4
MasterPage_Wiv,Undirected,Bardolph_1H4,1
MasterPage_Wiv,Undirected,Pistol_2H4,3
MasterPage_Wiv,Undirected,Nym_H5,2
MasterPage_Wiv,Undirected,Simple_Wiv,2
MasterPage_Wiv,Undirected,AnnePage_Wiv,3
MasterPage_Wiv,Undirected,MistressPage_Wiv,7
MasterPage_Wiv,Undirected,MistressFord_Wiv,5
MasterPage_Wiv,Undirected,MasterFord_Wiv,6
MasterPage_Wiv,Undirected,MistressQuickly_1H4,3
MasterPage_Wiv,Undirected,Host_Wiv,4
MasterPage_Wiv,Undirected,DoctorCaius_Wiv,5
MasterPage_Wiv,Undirected,Rugby_Wiv,1
MasterPage_Wiv,Undirected,Robin_Wiv,2
MasterPage_Wiv,Undirected,Robert_Wiv,2
MasterPage_Wiv,Undirected,John_Wiv,2
MasterPage_Wiv,Undirected,Fenton_Wiv,2
MasterPage_Wiv,Undirected,BOYS_Wiv,1
Falstaff_1H4,Undirected,Bardolph_1H4,5
Falstaff_1H4,Undirected,Pistol_2H4,4
Falstaff_1H4,Undirected,Nym_H5,2
Falstaff_1H4,Undirected,Simple_Wiv,2
Falstaff_1H4,Undirected,AnnePage_Wiv,2
Falstaff_1H4,Undirected,Host_Wiv,2
Falstaff_1H4,Undirected,Robin_Wiv,2
Falstaff_1H4,Undirected,MistressQuickly_1H4,5
Falstaff_1H4,Undirected,MasterFord_Wiv,6
Falstaff_1H4,Undirected,MistressFord_Wiv,3
Falstaff_1H4,Undirected,MistressPage_Wiv,3
Falstaff_1H4,Undirected,Robert_Wiv,2
Falstaff_1H4,Undirected,John_Wiv,2
Falstaff_1H4,Undirected,DoctorCaius_Wiv,3
Falstaff_1H4,Undirected,BOYS_Wiv,1
Falstaff_1H4,Undirected,Fenton_Wiv,1
Bardolph_1H4,Undirected,Pistol_2H4,3
Bardolph_1H4,Undirected,Nym_H5,2
Bardolph_1H4,Undirected,Simple_Wiv,2
Bardolph_1H4,Undirected,AnnePage_Wiv,1
Bardolph_1H4,Undirected,Host_Wiv,3
Bardolph_1H4,Undirected,Robin_Wiv,1
Bardolph_1H4,Undirected,MistressQuickly_1H4,3
Bardolph_1H4,Undirected,MasterFord_Wiv,2
Bardolph_1H4,Undirected,DoctorCaius_Wiv,1
Pistol_2H4,Undirected,Nym_H5,3
Pistol_2H4,Undirected,Simple_Wiv,1
Pistol_2H4,Undirected,AnnePage_Wiv,2
Pistol_2H4,Undirected,Host_Wiv,2
Pistol_2H4,Undirected,MistressPage_Wiv,2
Pistol_2H4,Undirected,MistressFord_Wiv,2
Pistol_2H4,Undirected,MasterFord_Wiv,3
Pistol_2H4,Undirected,MistressQuickly_1H4,3
Pistol_2H4,Undirected,Robin_Wiv,1
Pistol_2H4,Undirected,BOYS_Wiv,1
Pistol_2H4,Undirected,DoctorCaius_Wiv,1
Pistol_2H4,Undirected,Fenton_Wiv,1
Nym_H5,Undirected,Simple_Wiv,1
Nym_H5,Undirected,AnnePage_Wiv,1
Nym_H5,Undirected,Host_Wiv,2
Nym_H5,Undirected,MistressPage_Wiv,1
Nym_H5,Undirected,MistressFord_Wiv,1
Nym_H5,Undirected,MasterFord_Wiv,1
Nym_H5,Undirected,MistressQuickly_1H4,1
Simple_Wiv,Undirected,AnnePage_Wiv,1
Simple_Wiv,Undirected,MistressQuickly_1H4,2
Simple_Wiv,Undirected,Rugby_Wiv,1
Simple_Wiv,Undirected,DoctorCaius_Wiv,3
Simple_Wiv,Undirected,Fenton_Wiv,1
Simple_Wiv,Undirected,Host_Wiv,2
AnnePage_Wiv,Undirected,Fenton_Wiv,2
AnnePage_Wiv,Undirected,MistressQuickly_1H4,2
AnnePage_Wiv,Undirected,MistressPage_Wiv,2
AnnePage_Wiv,Undirected,MistressFord_Wiv,1
AnnePage_Wiv,Undirected,BOYS_Wiv,1
AnnePage_Wiv,Undirected,MasterFord_Wiv,1
AnnePage_Wiv,Undirected,DoctorCaius_Wiv,1
Host_Wiv,Undirected,MistressPage_Wiv,2
Host_Wiv,Undirected,MistressFord_Wiv,1
Host_Wiv,Undirected,MasterFord_Wiv,2
Host_Wiv,Undirected,MistressQuickly_1H4,2
Host_Wiv,Undirected,DoctorCaius_Wiv,4
Host_Wiv,Undirected,Rugby_Wiv,1
Host_Wiv,Undirected,Robin_Wiv,1
Host_Wiv,Undirected,Fenton_Wiv,1
MistressQuickly_1H4,Undirected,Rugby_Wiv,1
MistressQuickly_1H4,Undirected,DoctorCaius_Wiv,3
MistressQuickly_1H4,Undirected,Fenton_Wiv,3
MistressQuickly_1H4,Undirected,MistressPage_Wiv,4
MistressQuickly_1H4,Undirected,MistressFord_Wiv,2
MistressQuickly_1H4,Undirected,MasterFord_Wiv,5
MistressQuickly_1H4,Undirected,Robin_Wiv,1
MistressQuickly_1H4,Undirected,WilliamPage_Wiv,1
MistressQuickly_1H4,Undirected,BOYS_Wiv,1
Rugby_Wiv,Undirected,DoctorCaius_Wiv,2
Rugby_Wiv,Undirected,Fenton_Wiv,1
DoctorCaius_Wiv,Undirected,Fenton_Wiv,2
DoctorCaius_Wiv,Undirected,MistressPage_Wiv,4
DoctorCaius_Wiv,Undirected,Robin_Wiv,2
DoctorCaius_Wiv,Undirected,MasterFord_Wiv,3
DoctorCaius_Wiv,Undirected,MistressFord_Wiv,3
DoctorCaius_Wiv,Undirected,Robert_Wiv,1
DoctorCaius_Wiv,Undirected,John_Wiv,1
DoctorCaius_Wiv,Undirected,BOYS_Wiv,1
Fenton_Wiv,Undirected,MistressPage_Wiv,2
Fenton_Wiv,Undirected,MistressFord_Wiv,1
Fenton_Wiv,Undirected,BOYS_Wiv,1
Fenton_Wiv,Undirected,MasterFord_Wiv,1
MistressPage_Wiv,Undirected,MistressFord_Wiv,6
MistressPage_Wiv,Undirected,MasterFord_Wiv,6
MistressPage_Wiv,Undirected,Robin_Wiv,2
MistressPage_Wiv,Undirected,Robert_Wiv,2
MistressPage_Wiv,Undirected,John_Wiv,2
MistressPage_Wiv,Undirected,WilliamPage_Wiv,1
MistressPage_Wiv,Undirected,BOYS_Wiv,1
MistressFord_Wiv,Undirected,MasterFord_Wiv,5
MistressFord_Wiv,Undirected,Robin_Wiv,1
MistressFord_Wiv,Undirected,Robert_Wiv,2
MistressFord_Wiv,Undirected,John_Wiv,2
MistressFord_Wiv,Undirected,BOYS_Wiv,1
MasterFord_Wiv,Undirected,Robin_Wiv,3
MasterFord_Wiv,Undirected,Robert_Wiv,2
MasterFord_Wiv,Undirected,John_Wiv,2
MasterFord_Wiv,Undirected,BOYS_Wiv,1
Robin_Wiv,Undirected,Robert_Wiv,1
Robin_Wiv,Undirected,John_Wiv,1
Robert_Wiv,Undirected,John_Wiv,2
