Source,Type,Target,Weight
Duke_MM,Undirected,Escalus_MM,3
Duke_MM,Undirected,Angelo_MM,2
Duke_MM,Undirected,FriarThomas_MM,1
Duke_MM,Undirected,Provost_MM,6
Duke_MM,Undirected,Juliet_MM,1
Duke_MM,Undirected,Claudio_MM,2
Duke_MM,Undirected,Isabella_MM,4
Duke_MM,Undirected,Elbow_MM,1
Duke_MM,Undirected,Pompey_MM,3
Duke_MM,Undirected,Lucio_MM,3
Duke_MM,Undirected,Bawd_MM,1
Duke_MM,Undirected,Boy_MM,1
Duke_MM,Undirected,Mariana_MM,2
Duke_MM,Undirected,Abhorson_MM,2
Duke_MM,Undirected,Messenger_MM,1
Duke_MM,Undirected,Barnardine_MM,1
Duke_MM,Undirected,FriarPeter_MM,2
Escalus_MM,Undirected,Angelo_MM,4
Escalus_MM,Undirected,Provost_MM,3
Escalus_MM,Undirected,Elbow_MM,2
Escalus_MM,Undirected,Pompey_MM,2
Escalus_MM,Undirected,Froth_MM,1
Escalus_MM,Undirected,Justice_MM,1
Escalus_MM,Undirected,Lucio_MM,2
Escalus_MM,Undirected,Bawd_MM,1
Escalus_MM,Undirected,FriarPeter_MM,1
Escalus_MM,Undirected,Isabella_MM,1
Escalus_MM,Undirected,Mariana_MM,1
Angelo_MM,Undirected,Provost_MM,3
Angelo_MM,Undirected,Elbow_MM,1
Angelo_MM,Undirected,Pompey_MM,1
Angelo_MM,Undirected,Froth_MM,1
Angelo_MM,Undirected,Justice_MM,1
Angelo_MM,Undirected,SERVANTS.1_MM,2
Angelo_MM,Undirected,Isabella_MM,3
Angelo_MM,Undirected,Lucio_MM,2
Angelo_MM,Undirected,FriarPeter_MM,1
Angelo_MM,Undirected,Mariana_MM,1
Lucio_MM,Undirected,GENTLEMEN.1_MM,1
Lucio_MM,Undirected,GENTLEMEN.2_MM,1
Lucio_MM,Undirected,Bawd_MM,2
Lucio_MM,Undirected,Pompey_MM,3
Lucio_MM,Undirected,Claudio_MM,1
Lucio_MM,Undirected,Provost_MM,5
Lucio_MM,Undirected,Isabella_MM,4
Lucio_MM,Undirected,Nun_MM,1
Lucio_MM,Undirected,SERVANTS.1_MM,1
Lucio_MM,Undirected,Elbow_MM,1
Lucio_MM,Undirected,Abhorson_MM,1
Lucio_MM,Undirected,Barnardine_MM,1
Lucio_MM,Undirected,FriarPeter_MM,1
Lucio_MM,Undirected,Mariana_MM,1
GENTLEMEN.1_MM,Undirected,GENTLEMEN.2_MM,1
GENTLEMEN.1_MM,Undirected,Bawd_MM,1
GENTLEMEN.1_MM,Undirected,Pompey_MM,1
GENTLEMEN.1_MM,Undirected,Claudio_MM,1
GENTLEMEN.1_MM,Undirected,Provost_MM,1
GENTLEMEN.2_MM,Undirected,Bawd_MM,1
GENTLEMEN.2_MM,Undirected,Pompey_MM,1
GENTLEMEN.2_MM,Undirected,Claudio_MM,1
GENTLEMEN.2_MM,Undirected,Provost_MM,1
Bawd_MM,Undirected,Pompey_MM,2
Bawd_MM,Undirected,Claudio_MM,1
Bawd_MM,Undirected,Provost_MM,2
Bawd_MM,Undirected,Elbow_MM,1
Pompey_MM,Undirected,Claudio_MM,2
Pompey_MM,Undirected,Provost_MM,5
Pompey_MM,Undirected,Elbow_MM,2
Pompey_MM,Undirected,Froth_MM,1
Pompey_MM,Undirected,Justice_MM,1
Pompey_MM,Undirected,Abhorson_MM,2
Pompey_MM,Undirected,Messenger_MM,1
Pompey_MM,Undirected,Barnardine_MM,1
Pompey_MM,Undirected,Isabella_MM,1
Claudio_MM,Undirected,Provost_MM,3
Claudio_MM,Undirected,Isabella_MM,1
Claudio_MM,Undirected,Abhorson_MM,1
Claudio_MM,Undirected,Messenger_MM,1
Provost_MM,Undirected,Elbow_MM,2
Provost_MM,Undirected,Froth_MM,1
Provost_MM,Undirected,Justice_MM,1
Provost_MM,Undirected,SERVANTS.1_MM,1
Provost_MM,Undirected,Isabella_MM,4
Provost_MM,Undirected,Juliet_MM,1
Provost_MM,Undirected,Abhorson_MM,2
Provost_MM,Undirected,Messenger_MM,1
Provost_MM,Undirected,Barnardine_MM,1
Provost_MM,Undirected,FriarPeter_MM,1
Provost_MM,Undirected,Mariana_MM,1
Isabella_MM,Undirected,Nun_MM,1
Isabella_MM,Undirected,SERVANTS.1_MM,2
Isabella_MM,Undirected,Boy_MM,1
Isabella_MM,Undirected,Mariana_MM,3
Isabella_MM,Undirected,Abhorson_MM,1
Isabella_MM,Undirected,Barnardine_MM,1
Isabella_MM,Undirected,FriarPeter_MM,2
Elbow_MM,Undirected,Froth_MM,1
Elbow_MM,Undirected,Justice_MM,1
Froth_MM,Undirected,Justice_MM,1
Boy_MM,Undirected,Mariana_MM,1
Mariana_MM,Undirected,FriarPeter_MM,2
Abhorson_MM,Undirected,Messenger_MM,1
Abhorson_MM,Undirected,Barnardine_MM,1
