Source,Type,Target,Weight
Egeon_Err,Undirected,Duke_Err,2
Egeon_Err,Undirected,OFFICERS.Jailer_Err,1
Egeon_Err,Undirected,Angelo_Err,1
Egeon_Err,Undirected,Merchant2_Err,1
Egeon_Err,Undirected,AntipholusOfSyracuse_Err,1
Egeon_Err,Undirected,Adriana_Err,1
Egeon_Err,Undirected,DromioOfSyracuse_Err,1
Egeon_Err,Undirected,Abbess_Err,1
Egeon_Err,Undirected,Luciana_Err,1
Egeon_Err,Undirected,Messenger_Err,1
Egeon_Err,Undirected,AntipholusOfEphesus_Err,1
Egeon_Err,Undirected,DromioOfEphesus_Err,1
Egeon_Err,Undirected,Courtesan_Err,1
Duke_Err,Undirected,OFFICERS.Jailer_Err,1
Duke_Err,Undirected,Angelo_Err,1
Duke_Err,Undirected,Merchant2_Err,1
Duke_Err,Undirected,AntipholusOfSyracuse_Err,1
Duke_Err,Undirected,Adriana_Err,1
Duke_Err,Undirected,DromioOfSyracuse_Err,1
Duke_Err,Undirected,Abbess_Err,1
Duke_Err,Undirected,Luciana_Err,1
Duke_Err,Undirected,Messenger_Err,1
Duke_Err,Undirected,AntipholusOfEphesus_Err,1
Duke_Err,Undirected,DromioOfEphesus_Err,1
Duke_Err,Undirected,Courtesan_Err,1
Merchant1_Err,Undirected,AntipholusOfSyracuse_Err,1
Merchant1_Err,Undirected,DromioOfSyracuse_Err,1
Merchant1_Err,Undirected,DromioOfEphesus_Err,1
AntipholusOfSyracuse_Err,Undirected,DromioOfSyracuse_Err,6
AntipholusOfSyracuse_Err,Undirected,DromioOfEphesus_Err,3
AntipholusOfSyracuse_Err,Undirected,Adriana_Err,3
AntipholusOfSyracuse_Err,Undirected,Luciana_Err,4
AntipholusOfSyracuse_Err,Undirected,Angelo_Err,2
AntipholusOfSyracuse_Err,Undirected,Courtesan_Err,3
AntipholusOfSyracuse_Err,Undirected,AntipholusOfEphesus_Err,2
AntipholusOfSyracuse_Err,Undirected,OFFICERS.X_Err,1
AntipholusOfSyracuse_Err,Undirected,Pinch_Err,1
AntipholusOfSyracuse_Err,Undirected,Merchant2_Err,1
AntipholusOfSyracuse_Err,Undirected,Abbess_Err,1
AntipholusOfSyracuse_Err,Undirected,Messenger_Err,1
DromioOfSyracuse_Err,Undirected,DromioOfEphesus_Err,5
DromioOfSyracuse_Err,Undirected,Adriana_Err,5
DromioOfSyracuse_Err,Undirected,Luciana_Err,5
DromioOfSyracuse_Err,Undirected,AntipholusOfEphesus_Err,4
DromioOfSyracuse_Err,Undirected,Balthasar_Err,1
DromioOfSyracuse_Err,Undirected,Luce_Err,1
DromioOfSyracuse_Err,Undirected,Angelo_Err,4
DromioOfSyracuse_Err,Undirected,Merchant2_Err,2
DromioOfSyracuse_Err,Undirected,OFFICERS.X_Err,2
DromioOfSyracuse_Err,Undirected,Courtesan_Err,3
DromioOfSyracuse_Err,Undirected,Pinch_Err,1
DromioOfSyracuse_Err,Undirected,Abbess_Err,1
DromioOfSyracuse_Err,Undirected,Messenger_Err,1
DromioOfEphesus_Err,Undirected,Adriana_Err,4
DromioOfEphesus_Err,Undirected,Luciana_Err,3
DromioOfEphesus_Err,Undirected,AntipholusOfEphesus_Err,4
DromioOfEphesus_Err,Undirected,Balthasar_Err,1
DromioOfEphesus_Err,Undirected,Luce_Err,1
DromioOfEphesus_Err,Undirected,Angelo_Err,3
DromioOfEphesus_Err,Undirected,Merchant2_Err,2
DromioOfEphesus_Err,Undirected,OFFICERS.X_Err,2
DromioOfEphesus_Err,Undirected,Courtesan_Err,2
DromioOfEphesus_Err,Undirected,Pinch_Err,1
DromioOfEphesus_Err,Undirected,Abbess_Err,1
DromioOfEphesus_Err,Undirected,Messenger_Err,1
Adriana_Err,Undirected,Luciana_Err,5
Adriana_Err,Undirected,AntipholusOfEphesus_Err,3
Adriana_Err,Undirected,Balthasar_Err,1
Adriana_Err,Undirected,Luce_Err,1
Adriana_Err,Undirected,Angelo_Err,2
Adriana_Err,Undirected,OFFICERS.X_Err,1
Adriana_Err,Undirected,Courtesan_Err,2
Adriana_Err,Undirected,Pinch_Err,1
Adriana_Err,Undirected,Merchant2_Err,1
Adriana_Err,Undirected,Abbess_Err,1
Adriana_Err,Undirected,Messenger_Err,1
Luciana_Err,Undirected,Angelo_Err,2
Luciana_Err,Undirected,AntipholusOfEphesus_Err,2
Luciana_Err,Undirected,OFFICERS.X_Err,1
Luciana_Err,Undirected,Courtesan_Err,2
Luciana_Err,Undirected,Pinch_Err,1
Luciana_Err,Undirected,Merchant2_Err,1
Luciana_Err,Undirected,Abbess_Err,1
Luciana_Err,Undirected,Messenger_Err,1
AntipholusOfEphesus_Err,Undirected,Balthasar_Err,1
AntipholusOfEphesus_Err,Undirected,Luce_Err,1
AntipholusOfEphesus_Err,Undirected,Angelo_Err,3
AntipholusOfEphesus_Err,Undirected,Merchant2_Err,2
AntipholusOfEphesus_Err,Undirected,OFFICERS.X_Err,2
AntipholusOfEphesus_Err,Undirected,Courtesan_Err,2
AntipholusOfEphesus_Err,Undirected,Pinch_Err,1
AntipholusOfEphesus_Err,Undirected,Abbess_Err,1
AntipholusOfEphesus_Err,Undirected,Messenger_Err,1
Balthasar_Err,Undirected,Luce_Err,1
Balthasar_Err,Undirected,Angelo_Err,1
Luce_Err,Undirected,Angelo_Err,1
Angelo_Err,Undirected,Merchant2_Err,2
Angelo_Err,Undirected,OFFICERS.X_Err,1
Angelo_Err,Undirected,Abbess_Err,1
Angelo_Err,Undirected,Messenger_Err,1
Angelo_Err,Undirected,Courtesan_Err,1
Merchant2_Err,Undirected,OFFICERS.X_Err,1
Merchant2_Err,Undirected,Abbess_Err,1
Merchant2_Err,Undirected,Messenger_Err,1
Merchant2_Err,Undirected,Courtesan_Err,1
OFFICERS.X_Err,Undirected,Courtesan_Err,1
OFFICERS.X_Err,Undirected,Pinch_Err,1
Courtesan_Err,Undirected,Pinch_Err,1
Courtesan_Err,Undirected,Abbess_Err,1
Courtesan_Err,Undirected,Messenger_Err,1
Abbess_Err,Undirected,Messenger_Err,1
