Source,Type,Target,Weight
Theseus_MND,Undirected,Hippolyta_MND,3
Theseus_MND,Undirected,Egeus_MND,2
Theseus_MND,Undirected,Hermia_MND,2
Theseus_MND,Undirected,Demetrius_MND,3
Theseus_MND,Undirected,Lysander_MND,3
Theseus_MND,Undirected,Helena_MND,2
Theseus_MND,Undirected,Titania_MND,2
Theseus_MND,Undirected,Bottom_MND,2
Theseus_MND,Undirected,FAIRIES.TITANIA.Peaseblossom_MND,1
Theseus_MND,Undirected,FAIRIES.TITANIA.Cobweb_MND,1
Theseus_MND,Undirected,FAIRIES.TITANIA.Mustardseed_MND,1
Theseus_MND,Undirected,Oberon_MND,2
Theseus_MND,Undirected,RobinGoodfellow_MND,2
Theseus_MND,Undirected,Philostrate_MND,1
Theseus_MND,Undirected,Quince_MND,1
Theseus_MND,Undirected,Snout_MND,1
Theseus_MND,Undirected,Flute_MND,1
Theseus_MND,Undirected,Snug_MND,1
Theseus_MND,Undirected,Starveling_MND,1
Hippolyta_MND,Undirected,Egeus_MND,2
Hippolyta_MND,Undirected,Hermia_MND,2
Hippolyta_MND,Undirected,Demetrius_MND,3
Hippolyta_MND,Undirected,Lysander_MND,3
Hippolyta_MND,Undirected,Helena_MND,2
Hippolyta_MND,Undirected,Titania_MND,2
Hippolyta_MND,Undirected,Bottom_MND,2
Hippolyta_MND,Undirected,FAIRIES.TITANIA.Peaseblossom_MND,1
Hippolyta_MND,Undirected,FAIRIES.TITANIA.Cobweb_MND,1
Hippolyta_MND,Undirected,FAIRIES.TITANIA.Mustardseed_MND,1
Hippolyta_MND,Undirected,Oberon_MND,2
Hippolyta_MND,Undirected,RobinGoodfellow_MND,2
Hippolyta_MND,Undirected,Philostrate_MND,1
Hippolyta_MND,Undirected,Quince_MND,1
Hippolyta_MND,Undirected,Snout_MND,1
Hippolyta_MND,Undirected,Flute_MND,1
Hippolyta_MND,Undirected,Snug_MND,1
Hippolyta_MND,Undirected,Starveling_MND,1
Egeus_MND,Undirected,Hermia_MND,2
Egeus_MND,Undirected,Demetrius_MND,2
Egeus_MND,Undirected,Lysander_MND,2
Egeus_MND,Undirected,Helena_MND,2
Egeus_MND,Undirected,Titania_MND,1
Egeus_MND,Undirected,Bottom_MND,1
Egeus_MND,Undirected,FAIRIES.TITANIA.Peaseblossom_MND,1
Egeus_MND,Undirected,FAIRIES.TITANIA.Cobweb_MND,1
Egeus_MND,Undirected,FAIRIES.TITANIA.Mustardseed_MND,1
Egeus_MND,Undirected,Oberon_MND,1
Egeus_MND,Undirected,RobinGoodfellow_MND,1
Hermia_MND,Undirected,Demetrius_MND,4
Hermia_MND,Undirected,Lysander_MND,4
Hermia_MND,Undirected,Helena_MND,4
Hermia_MND,Undirected,Titania_MND,2
Hermia_MND,Undirected,FAIRIES.TITANIA.0.1_MND,1
Hermia_MND,Undirected,FAIRIES.TITANIA_MND,1
Hermia_MND,Undirected,FAIRIES.TITANIA.0.2_MND,1
Hermia_MND,Undirected,Oberon_MND,3
Hermia_MND,Undirected,RobinGoodfellow_MND,3
Hermia_MND,Undirected,Bottom_MND,1
Hermia_MND,Undirected,FAIRIES.TITANIA.Peaseblossom_MND,1
Hermia_MND,Undirected,FAIRIES.TITANIA.Cobweb_MND,1
Hermia_MND,Undirected,FAIRIES.TITANIA.Mustardseed_MND,1
Demetrius_MND,Undirected,Lysander_MND,5
Demetrius_MND,Undirected,Helena_MND,5
Demetrius_MND,Undirected,RobinGoodfellow_MND,5
Demetrius_MND,Undirected,FAIRIES.TITANIA.1_MND,1
Demetrius_MND,Undirected,Oberon_MND,5
Demetrius_MND,Undirected,Titania_MND,4
Demetrius_MND,Undirected,FAIRIES.TITANIA.0.1_MND,1
Demetrius_MND,Undirected,FAIRIES.TITANIA_MND,1
Demetrius_MND,Undirected,FAIRIES.TITANIA.0.2_MND,1
Demetrius_MND,Undirected,Bottom_MND,2
Demetrius_MND,Undirected,FAIRIES.TITANIA.Peaseblossom_MND,1
Demetrius_MND,Undirected,FAIRIES.TITANIA.Cobweb_MND,1
Demetrius_MND,Undirected,FAIRIES.TITANIA.Mustardseed_MND,1
Demetrius_MND,Undirected,Philostrate_MND,1
Demetrius_MND,Undirected,Quince_MND,1
Demetrius_MND,Undirected,Snout_MND,1
Demetrius_MND,Undirected,Flute_MND,1
Demetrius_MND,Undirected,Snug_MND,1
Demetrius_MND,Undirected,Starveling_MND,1
Lysander_MND,Undirected,Helena_MND,4
Lysander_MND,Undirected,Titania_MND,3
Lysander_MND,Undirected,FAIRIES.TITANIA.0.1_MND,1
Lysander_MND,Undirected,FAIRIES.TITANIA_MND,1
Lysander_MND,Undirected,FAIRIES.TITANIA.0.2_MND,1
Lysander_MND,Undirected,Oberon_MND,4
Lysander_MND,Undirected,RobinGoodfellow_MND,4
Lysander_MND,Undirected,Bottom_MND,2
Lysander_MND,Undirected,FAIRIES.TITANIA.Peaseblossom_MND,1
Lysander_MND,Undirected,FAIRIES.TITANIA.Cobweb_MND,1
Lysander_MND,Undirected,FAIRIES.TITANIA.Mustardseed_MND,1
Lysander_MND,Undirected,Philostrate_MND,1
Lysander_MND,Undirected,Quince_MND,1
Lysander_MND,Undirected,Snout_MND,1
Lysander_MND,Undirected,Flute_MND,1
Lysander_MND,Undirected,Snug_MND,1
Lysander_MND,Undirected,Starveling_MND,1
Helena_MND,Undirected,RobinGoodfellow_MND,4
Helena_MND,Undirected,FAIRIES.TITANIA.1_MND,1
