Source,Type,Target,Weight
Antonio_MV,Undirected,Salarino_MV,2
Antonio_MV,Undirected,Solanio_MV,2
Antonio_MV,Undirected,Bassanio_MV,4
Antonio_MV,Undirected,Lorenzo_MV,3
Antonio_MV,Undirected,Gratiano_MV,4
Antonio_MV,Undirected,Shylock_MV,3
Antonio_MV,Undirected,Jessica_MV,2
Antonio_MV,Undirected,Duke_MV,1
Antonio_MV,Undirected,Salerio_MV,1
Antonio_MV,Undirected,Nerissa_MV,2
Antonio_MV,Undirected,Portia_MV,2
Antonio_MV,Undirected,ATTENDANTS.PORTIA.Stephano_MV,1
Antonio_MV,Undirected,LanceletGobbo_MV,1
Salarino_MV,Undirected,Solanio_MV,4
Salarino_MV,Undirected,Bassanio_MV,1
Salarino_MV,Undirected,Lorenzo_MV,3
Salarino_MV,Undirected,Gratiano_MV,3
Salarino_MV,Undirected,LanceletGobbo_MV,1
Salarino_MV,Undirected,Jessica_MV,1
Salarino_MV,Undirected,Shylock_MV,1
Salarino_MV,Undirected,SERVANTS.2_MV,1
Salarino_MV,Undirected,Tubal_MV,1
Solanio_MV,Undirected,Bassanio_MV,1
Solanio_MV,Undirected,Lorenzo_MV,2
Solanio_MV,Undirected,Gratiano_MV,2
Solanio_MV,Undirected,LanceletGobbo_MV,1
Solanio_MV,Undirected,Shylock_MV,2
Solanio_MV,Undirected,SERVANTS.2_MV,1
Solanio_MV,Undirected,Tubal_MV,1
Bassanio_MV,Undirected,Lorenzo_MV,3
Bassanio_MV,Undirected,Gratiano_MV,5
Bassanio_MV,Undirected,Shylock_MV,2
Bassanio_MV,Undirected,LanceletGobbo_MV,2
Bassanio_MV,Undirected,OldGobbo_MV,1
Bassanio_MV,Undirected,ATTENDANTS.BASSANIO.Leonardo_MV,1
Bassanio_MV,Undirected,Portia_MV,3
Bassanio_MV,Undirected,MUSICIANS_MV,1
Bassanio_MV,Undirected,Nerissa_MV,3
Bassanio_MV,Undirected,Salerio_MV,2
Bassanio_MV,Undirected,Jessica_MV,2
Bassanio_MV,Undirected,Duke_MV,1
Bassanio_MV,Undirected,ATTENDANTS.PORTIA.Stephano_MV,1
Lorenzo_MV,Undirected,Gratiano_MV,5
Lorenzo_MV,Undirected,LanceletGobbo_MV,3
Lorenzo_MV,Undirected,Jessica_MV,5
Lorenzo_MV,Undirected,Portia_MV,3
Lorenzo_MV,Undirected,MUSICIANS_MV,1
Lorenzo_MV,Undirected,Nerissa_MV,3
Lorenzo_MV,Undirected,Salerio_MV,1
Lorenzo_MV,Undirected,ATTENDANTS.PORTIA.Balthazar_MV,1
Lorenzo_MV,Undirected,ATTENDANTS.PORTIA.Stephano_MV,1
Gratiano_MV,Undirected,LanceletGobbo_MV,3
Gratiano_MV,Undirected,OldGobbo_MV,1
Gratiano_MV,Undirected,ATTENDANTS.BASSANIO.Leonardo_MV,1
Gratiano_MV,Undirected,Jessica_MV,3
Gratiano_MV,Undirected,Portia_MV,4
Gratiano_MV,Undirected,MUSICIANS_MV,1
Gratiano_MV,Undirected,Nerissa_MV,4
Gratiano_MV,Undirected,Salerio_MV,2
Gratiano_MV,Undirected,Duke_MV,1
Gratiano_MV,Undirected,Shylock_MV,1
Gratiano_MV,Undirected,ATTENDANTS.PORTIA.Stephano_MV,1
Portia_MV,Undirected,Nerissa_MV,7
Portia_MV,Undirected,SERVANTS.1_MV,1
Portia_MV,Undirected,Morocco_MV,2
Portia_MV,Undirected,Arragon_MV,1
Portia_MV,Undirected,Messenger_MV,1
Portia_MV,Undirected,MUSICIANS_MV,1
Portia_MV,Undirected,Salerio_MV,2
Portia_MV,Undirected,Jessica_MV,3
Portia_MV,Undirected,ATTENDANTS.PORTIA.Balthazar_MV,1
Portia_MV,Undirected,Duke_MV,1
Portia_MV,Undirected,Shylock_MV,1
Portia_MV,Undirected,ATTENDANTS.PORTIA.Stephano_MV,1
Portia_MV,Undirected,LanceletGobbo_MV,1
Nerissa_MV,Undirected,SERVANTS.1_MV,1
Nerissa_MV,Undirected,Arragon_MV,1
Nerissa_MV,Undirected,Messenger_MV,1
Nerissa_MV,Undirected,MUSICIANS_MV,1
Nerissa_MV,Undirected,Salerio_MV,2
Nerissa_MV,Undirected,Jessica_MV,3
Nerissa_MV,Undirected,ATTENDANTS.PORTIA.Balthazar_MV,1
Nerissa_MV,Undirected,Duke_MV,1
Nerissa_MV,Undirected,Shylock_MV,1
Nerissa_MV,Undirected,ATTENDANTS.PORTIA.Stephano_MV,1
Nerissa_MV,Undirected,LanceletGobbo_MV,1
Shylock_MV,Undirected,LanceletGobbo_MV,1
Shylock_MV,Undirected,Jessica_MV,1
Shylock_MV,Undirected,SERVANTS.2_MV,1
Shylock_MV,Undirected,Tubal_MV,1
Shylock_MV,Undirected,Duke_MV,1
Shylock_MV,Undirected,Salerio_MV,1
LanceletGobbo_MV,Undirected,OldGobbo_MV,1
LanceletGobbo_MV,Undirected,ATTENDANTS.BASSANIO.Leonardo_MV,1
LanceletGobbo_MV,Undirected,Jessica_MV,4
LanceletGobbo_MV,Undirected,ATTENDANTS.PORTIA.Stephano_MV,1
OldGobbo_MV,Undirected,ATTENDANTS.BASSANIO.Leonardo_MV,1
Jessica_MV,Undirected,MUSICIANS_MV,1
Jessica_MV,Undirected,Salerio_MV,1
Jessica_MV,Undirected,ATTENDANTS.PORTIA.Balthazar_MV,1
Jessica_MV,Undirected,ATTENDANTS.PORTIA.Stephano_MV,1
Arragon_MV,Undirected,Messenger_MV,1
SERVANTS.2_MV,Undirected,Tubal_MV,1
MUSICIANS_MV,Undirected,Salerio_MV,1
Salerio_MV,Undirected,Duke_MV,1
