Source,Type,Target,Weight
Orlando_AYL,Undirected,Adam_AYL,4
Orlando_AYL,Undirected,Oliver_AYL,2
Orlando_AYL,Undirected,Dennis_AYL,1
Orlando_AYL,Undirected,Charles_AYL,2
Orlando_AYL,Undirected,Celia_AYL,3
Orlando_AYL,Undirected,Rosalind_AYL,5
Orlando_AYL,Undirected,Touchstone_AYL,3
Orlando_AYL,Undirected,LORDS.FREDERICK.LeBeau_AYL,1
Orlando_AYL,Undirected,DukeFrederick_AYL,1
Orlando_AYL,Undirected,DukeSenior_AYL,2
Orlando_AYL,Undirected,LORDS.SENIOR.0.1_AYL,1
Orlando_AYL,Undirected,Jaques_AYL,4
Orlando_AYL,Undirected,LORDS.SENIOR.Amiens_AYL,1
Orlando_AYL,Undirected,Corin_AYL,1
Orlando_AYL,Undirected,Phoebe_AYL,2
Orlando_AYL,Undirected,Silvius_AYL,2
Orlando_AYL,Undirected,Hymen_AYL,1
Orlando_AYL,Undirected,SecondBrother_AYL,1
Adam_AYL,Undirected,Oliver_AYL,1
Adam_AYL,Undirected,Dennis_AYL,1
Adam_AYL,Undirected,Charles_AYL,1
Adam_AYL,Undirected,DukeSenior_AYL,1
Adam_AYL,Undirected,LORDS.SENIOR.0.1_AYL,1
Adam_AYL,Undirected,Jaques_AYL,1
Adam_AYL,Undirected,LORDS.SENIOR.Amiens_AYL,1
Oliver_AYL,Undirected,Dennis_AYL,1
Oliver_AYL,Undirected,Charles_AYL,1
Oliver_AYL,Undirected,DukeFrederick_AYL,1
Oliver_AYL,Undirected,Rosalind_AYL,2
Oliver_AYL,Undirected,Celia_AYL,1
Oliver_AYL,Undirected,Silvius_AYL,2
Oliver_AYL,Undirected,Phoebe_AYL,1
Dennis_AYL,Undirected,Charles_AYL,1
Charles_AYL,Undirected,Celia_AYL,1
Charles_AYL,Undirected,Rosalind_AYL,1
Charles_AYL,Undirected,Touchstone_AYL,1
Charles_AYL,Undirected,LORDS.FREDERICK.LeBeau_AYL,1
Charles_AYL,Undirected,DukeFrederick_AYL,1
Celia_AYL,Undirected,Rosalind_AYL,7
Celia_AYL,Undirected,Touchstone_AYL,3
Celia_AYL,Undirected,LORDS.FREDERICK.LeBeau_AYL,1
Celia_AYL,Undirected,DukeFrederick_AYL,2
Celia_AYL,Undirected,Corin_AYL,3
Celia_AYL,Undirected,Silvius_AYL,2
Celia_AYL,Undirected,Jaques_AYL,2
Rosalind_AYL,Undirected,Touchstone_AYL,4
Rosalind_AYL,Undirected,LORDS.FREDERICK.LeBeau_AYL,1
Rosalind_AYL,Undirected,DukeFrederick_AYL,2
Rosalind_AYL,Undirected,Corin_AYL,3
Rosalind_AYL,Undirected,Silvius_AYL,5
Rosalind_AYL,Undirected,Jaques_AYL,3
Rosalind_AYL,Undirected,Phoebe_AYL,3
Rosalind_AYL,Undirected,DukeSenior_AYL,1
Rosalind_AYL,Undirected,Hymen_AYL,1
Rosalind_AYL,Undirected,SecondBrother_AYL,1
Touchstone_AYL,Undirected,LORDS.FREDERICK.LeBeau_AYL,1
Touchstone_AYL,Undirected,DukeFrederick_AYL,1
Touchstone_AYL,Undirected,Corin_AYL,3
Touchstone_AYL,Undirected,Silvius_AYL,2
Touchstone_AYL,Undirected,Jaques_AYL,3
Touchstone_AYL,Undirected,Audrey_AYL,3
Touchstone_AYL,Undirected,OliverMartext_AYL,1
Touchstone_AYL,Undirected,William_AYL,1
Touchstone_AYL,Undirected,SERVANTS.1_AYL,1
Touchstone_AYL,Undirected,SERVANTS.2_AYL,1
Touchstone_AYL,Undirected,DukeSenior_AYL,1
Touchstone_AYL,Undirected,Phoebe_AYL,1
Touchstone_AYL,Undirected,Hymen_AYL,1
Touchstone_AYL,Undirected,SecondBrother_AYL,1
LORDS.FREDERICK.LeBeau_AYL,Undirected,DukeFrederick_AYL,1
DukeFrederick_AYL,Undirected,LORDS.FREDERICK.0.1_AYL,1
DukeFrederick_AYL,Undirected,LORDS.FREDERICK.0.2_AYL,1
DukeSenior_AYL,Undirected,LORDS.SENIOR.Amiens_AYL,2
DukeSenior_AYL,Undirected,LORDS.SENIOR.0.1_AYL,2
DukeSenior_AYL,Undirected,LORDS.SENIOR.0.2_AYL,1
DukeSenior_AYL,Undirected,Jaques_AYL,2
DukeSenior_AYL,Undirected,Phoebe_AYL,1
DukeSenior_AYL,Undirected,Silvius_AYL,1
DukeSenior_AYL,Undirected,Hymen_AYL,1
DukeSenior_AYL,Undirected,SecondBrother_AYL,1
LORDS.SENIOR.Amiens_AYL,Undirected,LORDS.SENIOR.0.1_AYL,2
LORDS.SENIOR.Amiens_AYL,Undirected,LORDS.SENIOR.0.2_AYL,1
LORDS.SENIOR.Amiens_AYL,Undirected,Jaques_AYL,2
LORDS.SENIOR.Amiens_AYL,Undirected,LORDS.SENIOR_AYL,1
LORDS.SENIOR.0.1_AYL,Undirected,LORDS.SENIOR.0.2_AYL,2
LORDS.SENIOR.0.1_AYL,Undirected,Jaques_AYL,2
LORDS.SENIOR.0.2_AYL,Undirected,Jaques_AYL,1
LORDS.FREDERICK.0.1_AYL,Undirected,LORDS.FREDERICK.0.2_AYL,1
Corin_AYL,Undirected,Silvius_AYL,1
Corin_AYL,Undirected,Jaques_AYL,1
Corin_AYL,Undirected,Audrey_AYL,1
Corin_AYL,Undirected,William_AYL,1
Silvius_AYL,Undirected,Phoebe_AYL,3
Silvius_AYL,Undirected,Jaques_AYL,1
Silvius_AYL,Undirected,Hymen_AYL,1
Silvius_AYL,Undirected,SecondBrother_AYL,1
Jaques_AYL,Undirected,LORDS.SENIOR_AYL,1
Jaques_AYL,Undirected,Audrey_AYL,1
Jaques_AYL,Undirected,OliverMartext_AYL,1
Jaques_AYL,Undirected,Phoebe_AYL,1
Jaques_AYL,Undirected,Hymen_AYL,1
Jaques_AYL,Undirected,SecondBrother_AYL,1
Audrey_AYL,Undirected,OliverMartext_AYL,1
Audrey_AYL,Undirected,William_AYL,1
Audrey_AYL,Undirected,SERVANTS.1_AYL,1
Audrey_AYL,Undirected,SERVANTS.2_AYL,1
Phoebe_AYL,Undirected,Hymen_AYL,1
Phoebe_AYL,Undirected,SecondBrother_AYL,1
SERVANTS.1_AYL,Undirected,SERVANTS.2_AYL,1
Hymen_AYL,Undirected,SecondBrother_AYL,1
