Source,Type,Target,Weight
Sly_Shr,Undirected,Hostess_Shr,1
Sly_Shr,Undirected,Lord_Shr,2
Sly_Shr,Undirected,HUNTSMEN.0.1_Shr,1
Sly_Shr,Undirected,HUNTSMEN.0.2_Shr,1
Sly_Shr,Undirected,HUNTSMEN.0.3_Shr,1
Sly_Shr,Undirected,SERVANTS.LORD.0.1_Shr,3
Sly_Shr,Undirected,PLAYERS_Shr,1
Sly_Shr,Undirected,PLAYERS.0.1_Shr,1
Sly_Shr,Undirected,PLAYERS.0.2_Shr,1
Sly_Shr,Undirected,SERVANTS.LORD.0.2_Shr,1
Sly_Shr,Undirected,SERVANTS.LORD.0.3_Shr,1
Sly_Shr,Undirected,SERVANTS.LORD_Shr,1
Sly_Shr,Undirected,Page_Shr,2
Sly_Shr,Undirected,Messenger_Shr,1
Sly_Shr,Undirected,Lucentio_Shr,1
Sly_Shr,Undirected,Tranio_Shr,1
Sly_Shr,Undirected,Baptista_Shr,1
Sly_Shr,Undirected,Gremio_Shr,1
Sly_Shr,Undirected,Katherine_Shr,1
Sly_Shr,Undirected,Hortensio_Shr,1
Sly_Shr,Undirected,Bianca_Shr,1
Sly_Shr,Undirected,Biondello_Shr,1
Hostess_Shr,Undirected,Lord_Shr,1
Hostess_Shr,Undirected,HUNTSMEN.0.1_Shr,1
Hostess_Shr,Undirected,HUNTSMEN.0.2_Shr,1
Hostess_Shr,Undirected,HUNTSMEN.0.3_Shr,1
Hostess_Shr,Undirected,SERVANTS.LORD.0.1_Shr,1
Hostess_Shr,Undirected,PLAYERS_Shr,1
Hostess_Shr,Undirected,PLAYERS.0.1_Shr,1
Hostess_Shr,Undirected,PLAYERS.0.2_Shr,1
Lord_Shr,Undirected,HUNTSMEN.0.1_Shr,1
Lord_Shr,Undirected,HUNTSMEN.0.2_Shr,1
Lord_Shr,Undirected,HUNTSMEN.0.3_Shr,1
Lord_Shr,Undirected,SERVANTS.LORD.0.1_Shr,2
Lord_Shr,Undirected,PLAYERS_Shr,1
Lord_Shr,Undirected,PLAYERS.0.1_Shr,1
Lord_Shr,Undirected,PLAYERS.0.2_Shr,1
Lord_Shr,Undirected,SERVANTS.LORD.0.2_Shr,1
Lord_Shr,Undirected,SERVANTS.LORD.0.3_Shr,1
Lord_Shr,Undirected,SERVANTS.LORD_Shr,1
Lord_Shr,Undirected,Page_Shr,1
Lord_Shr,Undirected,Messenger_Shr,1
HUNTSMEN.0.1_Shr,Undirected,HUNTSMEN.0.2_Shr,1
HUNTSMEN.0.1_Shr,Undirected,HUNTSMEN.0.3_Shr,1
HUNTSMEN.0.1_Shr,Undirected,SERVANTS.LORD.0.1_Shr,1
HUNTSMEN.0.1_Shr,Undirected,PLAYERS_Shr,1
HUNTSMEN.0.1_Shr,Undirected,PLAYERS.0.1_Shr,1
HUNTSMEN.0.1_Shr,Undirected,PLAYERS.0.2_Shr,1
HUNTSMEN.0.2_Shr,Undirected,HUNTSMEN.0.3_Shr,1
HUNTSMEN.0.2_Shr,Undirected,SERVANTS.LORD.0.1_Shr,1
HUNTSMEN.0.2_Shr,Undirected,PLAYERS_Shr,1
HUNTSMEN.0.2_Shr,Undirected,PLAYERS.0.1_Shr,1
HUNTSMEN.0.2_Shr,Undirected,PLAYERS.0.2_Shr,1
HUNTSMEN.0.3_Shr,Undirected,SERVANTS.LORD.0.1_Shr,1
HUNTSMEN.0.3_Shr,Undirected,PLAYERS_Shr,1
HUNTSMEN.0.3_Shr,Undirected,PLAYERS.0.1_Shr,1
HUNTSMEN.0.3_Shr,Undirected,PLAYERS.0.2_Shr,1
SERVANTS.LORD.0.1_Shr,Undirected,PLAYERS_Shr,1
SERVANTS.LORD.0.1_Shr,Undirected,PLAYERS.0.1_Shr,1
