Source,Type,Target,Weight
Countess_AWW,Undirected,Bertram_AWW,2
Countess_AWW,Undirected,Lafew_AWW,3
Countess_AWW,Undirected,Helen_AWW,4
Countess_AWW,Undirected,Parolles_AWW,2
Countess_AWW,Undirected,Page_AWW,1
Countess_AWW,Undirected,Steward_AWW,2
Countess_AWW,Undirected,Fool_AWW,4
Countess_AWW,Undirected,GENTLEMEN.1_AWW,1
Countess_AWW,Undirected,GENTLEMEN.2_AWW,1
Countess_AWW,Undirected,King_AWW,1
Countess_AWW,Undirected,ATTENDANTS.KING.0.1_AWW,1
Countess_AWW,Undirected,GENTLEMEN.3_AWW,1
Countess_AWW,Undirected,Diana_AWW,1
Countess_AWW,Undirected,Widow_AWW,1
Bertram_AWW,Undirected,Lafew_AWW,5
Bertram_AWW,Undirected,Helen_AWW,5
Bertram_AWW,Undirected,Parolles_AWW,7
Bertram_AWW,Undirected,Page_AWW,1
Bertram_AWW,Undirected,King_AWW,4
Bertram_AWW,Undirected,ATTENDANTS.KING.0.1_AWW,2
Bertram_AWW,Undirected,ATTENDANTS.KING.0.2_AWW,1
Bertram_AWW,Undirected,LORDS.DUMAINE.1_AWW,3
Bertram_AWW,Undirected,LORDS.DUMAINE.2_AWW,3
Bertram_AWW,Undirected,LORDS.COURT.1_AWW,1
Bertram_AWW,Undirected,LORDS.COURT.2_AWW,1
Bertram_AWW,Undirected,LORDS.COURT.3_AWW,1
Bertram_AWW,Undirected,LORDS.COURT.4_AWW,1
Bertram_AWW,Undirected,Duke_AWW,1
Bertram_AWW,Undirected,Diana_AWW,2
Bertram_AWW,Undirected,Servant_AWW,1
Bertram_AWW,Undirected,SOLDIERS.Interpreter_AWW,1
Bertram_AWW,Undirected,GENTLEMEN.3_AWW,1
Bertram_AWW,Undirected,Widow_AWW,1
Lafew_AWW,Undirected,Helen_AWW,5
Lafew_AWW,Undirected,Parolles_AWW,6
Lafew_AWW,Undirected,Page_AWW,1
Lafew_AWW,Undirected,King_AWW,3
Lafew_AWW,Undirected,LORDS.DUMAINE.1_AWW,1
Lafew_AWW,Undirected,LORDS.DUMAINE.2_AWW,1
Lafew_AWW,Undirected,LORDS.COURT.1_AWW,1
Lafew_AWW,Undirected,LORDS.COURT.2_AWW,1
Lafew_AWW,Undirected,LORDS.COURT.3_AWW,1
Lafew_AWW,Undirected,LORDS.COURT.4_AWW,1
Lafew_AWW,Undirected,Fool_AWW,2
Lafew_AWW,Undirected,ATTENDANTS.KING.0.1_AWW,1
Lafew_AWW,Undirected,GENTLEMEN.3_AWW,1
Lafew_AWW,Undirected,Diana_AWW,1
Lafew_AWW,Undirected,Widow_AWW,1
Helen_AWW,Undirected,Parolles_AWW,7
Helen_AWW,Undirected,Page_AWW,1
Helen_AWW,Undirected,Steward_AWW,1
Helen_AWW,Undirected,Fool_AWW,3
Helen_AWW,Undirected,King_AWW,3
Helen_AWW,Undirected,LORDS.DUMAINE.1_AWW,1
Helen_AWW,Undirected,LORDS.DUMAINE.2_AWW,1
Helen_AWW,Undirected,LORDS.COURT.1_AWW,1
Helen_AWW,Undirected,LORDS.COURT.2_AWW,1
Helen_AWW,Undirected,LORDS.COURT.3_AWW,1
Helen_AWW,Undirected,LORDS.COURT.4_AWW,1
Helen_AWW,Undirected,GENTLEMEN.1_AWW,1
Helen_AWW,Undirected,GENTLEMEN.2_AWW,1
Helen_AWW,Undirected,Widow_AWW,5
Helen_AWW,Undirected,Diana_AWW,3
Helen_AWW,Undirected,Mariana_AWW,1
Helen_AWW,Undirected,GENTLEMEN.3_AWW,2
Helen_AWW,Undirected,ATTENDANTS.KING.0.1_AWW,1
Parolles_AWW,Undirected,Page_AWW,1
Parolles_AWW,Undirected,King_AWW,3
Parolles_AWW,Undirected,LORDS.DUMAINE.1_AWW,4
