Source,Type,Target,Weight
Orsino_TN,Undirected,ATTENDANTS.ORSINO.Curio_TN,2
Orsino_TN,Undirected,ATTENDANTS.ORSINO.Valentine_TN,2
Orsino_TN,Undirected,Viola_TN,3
Orsino_TN,Undirected,Feste_TN,2
Orsino_TN,Undirected,Fabian_TN,1
Orsino_TN,Undirected,OFFICERS.1_TN,1
Orsino_TN,Undirected,Antonio_TN,1
Orsino_TN,Undirected,Olivia_TN,1
Orsino_TN,Undirected,Priest_TN,1
Orsino_TN,Undirected,AndrewAguecheek_TN,1
Orsino_TN,Undirected,TobyBelch_TN,1
Orsino_TN,Undirected,Sebastian_TN,1
Orsino_TN,Undirected,Malvolio_TN,1
ATTENDANTS.ORSINO.Curio_TN,Undirected,ATTENDANTS.ORSINO.Valentine_TN,1
ATTENDANTS.ORSINO.Curio_TN,Undirected,Viola_TN,1
ATTENDANTS.ORSINO.Curio_TN,Undirected,Feste_TN,1
ATTENDANTS.ORSINO.Valentine_TN,Undirected,Viola_TN,1
Viola_TN,Undirected,Captain_TN,1
Viola_TN,Undirected,Maria_TN,2
Viola_TN,Undirected,Feste_TN,4
Viola_TN,Undirected,Olivia_TN,4
Viola_TN,Undirected,Malvolio_TN,4
Viola_TN,Undirected,TobyBelch_TN,4
Viola_TN,Undirected,AndrewAguecheek_TN,3
Viola_TN,Undirected,ATTENDANTS.OLIVIA.1_TN,1
Viola_TN,Undirected,Fabian_TN,2
Viola_TN,Undirected,Antonio_TN,2
Viola_TN,Undirected,OFFICERS.1_TN,2
Viola_TN,Undirected,OFFICERS.2_TN,1
Viola_TN,Undirected,Priest_TN,1
Viola_TN,Undirected,Sebastian_TN,1
TobyBelch_TN,Undirected,Maria_TN,7
TobyBelch_TN,Undirected,AndrewAguecheek_TN,8
TobyBelch_TN,Undirected,Feste_TN,6
TobyBelch_TN,Undirected,Olivia_TN,5
TobyBelch_TN,Undirected,Malvolio_TN,6
TobyBelch_TN,Undirected,Fabian_TN,4
TobyBelch_TN,Undirected,ATTENDANTS.OLIVIA.1_TN,1
TobyBelch_TN,Undirected,Antonio_TN,2
TobyBelch_TN,Undirected,OFFICERS.1_TN,2
TobyBelch_TN,Undirected,OFFICERS.2_TN,1
TobyBelch_TN,Undirected,Sebastian_TN,2
TobyBelch_TN,Undirected,Priest_TN,1
Maria_TN,Undirected,AndrewAguecheek_TN,5
Maria_TN,Undirected,Feste_TN,3
Maria_TN,Undirected,Olivia_TN,2
Maria_TN,Undirected,Malvolio_TN,5
Maria_TN,Undirected,Fabian_TN,3
Maria_TN,Undirected,ATTENDANTS.OLIVIA.1_TN,1
Maria_TN,Undirected,Antonio_TN,1
Maria_TN,Undirected,OFFICERS.1_TN,1
Maria_TN,Undirected,OFFICERS.2_TN,1
AndrewAguecheek_TN,Undirected,Feste_TN,4
AndrewAguecheek_TN,Undirected,Malvolio_TN,4
AndrewAguecheek_TN,Undirected,Fabian_TN,4
AndrewAguecheek_TN,Undirected,Olivia_TN,4
AndrewAguecheek_TN,Undirected,ATTENDANTS.OLIVIA.1_TN,1
AndrewAguecheek_TN,Undirected,Antonio_TN,2
AndrewAguecheek_TN,Undirected,OFFICERS.1_TN,2
AndrewAguecheek_TN,Undirected,OFFICERS.2_TN,1
AndrewAguecheek_TN,Undirected,Sebastian_TN,2
AndrewAguecheek_TN,Undirected,Priest_TN,1
Feste_TN,Undirected,Olivia_TN,4
Feste_TN,Undirected,Malvolio_TN,4
Feste_TN,Undirected,Sebastian_TN,2
Feste_TN,Undirected,Fabian_TN,1
Feste_TN,Undirected,OFFICERS.1_TN,1
Feste_TN,Undirected,Antonio_TN,1
Feste_TN,Undirected,Priest_TN,1
Olivia_TN,Undirected,Malvolio_TN,3
Olivia_TN,Undirected,ATTENDANTS.OLIVIA.1_TN,1
Olivia_TN,Undirected,Fabian_TN,2
Olivia_TN,Undirected,Antonio_TN,2
Olivia_TN,Undirected,OFFICERS.1_TN,2
Olivia_TN,Undirected,OFFICERS.2_TN,1
Olivia_TN,Undirected,Sebastian_TN,3
Olivia_TN,Undirected,Priest_TN,1
Malvolio_TN,Undirected,Fabian_TN,3
Malvolio_TN,Undirected,ATTENDANTS.OLIVIA.1_TN,1
Malvolio_TN,Undirected,Antonio_TN,2
Malvolio_TN,Undirected,OFFICERS.1_TN,2
Malvolio_TN,Undirected,OFFICERS.2_TN,1
Malvolio_TN,Undirected,Priest_TN,1
Malvolio_TN,Undirected,Sebastian_TN,1
Antonio_TN,Undirected,Sebastian_TN,3
Antonio_TN,Undirected,ATTENDANTS.OLIVIA.1_TN,1
Antonio_TN,Undirected,Fabian_TN,2
Antonio_TN,Undirected,OFFICERS.1_TN,2
Antonio_TN,Undirected,OFFICERS.2_TN,1
Antonio_TN,Undirected,Priest_TN,1
Sebastian_TN,Undirected,Fabian_TN,1
Sebastian_TN,Undirected,OFFICERS.1_TN,1
Sebastian_TN,Undirected,Priest_TN,1
Fabian_TN,Undirected,ATTENDANTS.OLIVIA.1_TN,1
Fabian_TN,Undirected,OFFICERS.1_TN,2
Fabian_TN,Undirected,OFFICERS.2_TN,1
Fabian_TN,Undirected,Priest_TN,1
ATTENDANTS.OLIVIA.1_TN,Undirected,OFFICERS.1_TN,1
ATTENDANTS.OLIVIA.1_TN,Undirected,OFFICERS.2_TN,1
OFFICERS.1_TN,Undirected,OFFICERS.2_TN,1
OFFICERS.1_TN,Undirected,Priest_TN,1
