Source,Type,Target,Weight
Archidamus_WT,Undirected,Camillo_WT,1
Camillo_WT,Undirected,Polixenes_WT,4
Camillo_WT,Undirected,Leontes_WT,2
Camillo_WT,Undirected,Hermione_WT,2
Camillo_WT,Undirected,Mamillius_WT,1
Camillo_WT,Undirected,Florizell_WT,1
Camillo_WT,Undirected,Perdita_WT,2
Camillo_WT,Undirected,Shepherd_WT,1
Camillo_WT,Undirected,ShepherdsSon_WT,1
Camillo_WT,Undirected,Dorcas_WT,1
Camillo_WT,Undirected,Mopsa_WT,1
Camillo_WT,Undirected,SERVANTS.SHEPHERD.1_WT,1
Camillo_WT,Undirected,Autolycus_WT,1
Camillo_WT,Undirected,Paulina_WT,1
Polixenes_WT,Undirected,Leontes_WT,2
Polixenes_WT,Undirected,Hermione_WT,2
Polixenes_WT,Undirected,Mamillius_WT,1
Polixenes_WT,Undirected,Florizell_WT,1
Polixenes_WT,Undirected,Perdita_WT,2
Polixenes_WT,Undirected,Shepherd_WT,1
Polixenes_WT,Undirected,ShepherdsSon_WT,1
Polixenes_WT,Undirected,Dorcas_WT,1
Polixenes_WT,Undirected,Mopsa_WT,1
Polixenes_WT,Undirected,SERVANTS.SHEPHERD.1_WT,1
Polixenes_WT,Undirected,Autolycus_WT,1
Polixenes_WT,Undirected,Paulina_WT,1
Leontes_WT,Undirected,Hermione_WT,4
Leontes_WT,Undirected,Mamillius_WT,2
Leontes_WT,Undirected,LADIES.0.1_WT,1
Leontes_WT,Undirected,LADIES.0.2_WT,1
Leontes_WT,Undirected,ATTENDANTS.0.1_WT,3
Leontes_WT,Undirected,Antigonus_WT,2
Leontes_WT,Undirected,SERVANTS.X.1_WT,2
Leontes_WT,Undirected,Paulina_WT,4
Leontes_WT,Undirected,SERVANTS.0_WT,1
Leontes_WT,Undirected,ATTENDANTS_WT,2
Leontes_WT,Undirected,SERVANTS.X.2_WT,1
Leontes_WT,Undirected,OFFICERS.0.1_WT,1
Leontes_WT,Undirected,Cleomenes_WT,2
Leontes_WT,Undirected,Dion_WT,2
Leontes_WT,Undirected,SERVANTS.X.3_WT,1
Leontes_WT,Undirected,Florizell_WT,1
Leontes_WT,Undirected,ATTENDANTS.X_WT,1
Leontes_WT,Undirected,Perdita_WT,2
Hermione_WT,Undirected,Mamillius_WT,2
Hermione_WT,Undirected,LADIES.0.1_WT,1
Hermione_WT,Undirected,LADIES.0.2_WT,1
Hermione_WT,Undirected,ATTENDANTS.0.1_WT,2
Hermione_WT,Undirected,Antigonus_WT,1
Hermione_WT,Undirected,OFFICERS.0.1_WT,1
Hermione_WT,Undirected,Cleomenes_WT,1
Hermione_WT,Undirected,Dion_WT,1
Hermione_WT,Undirected,ATTENDANTS_WT,1
Hermione_WT,Undirected,SERVANTS.X.1_WT,1
Hermione_WT,Undirected,Paulina_WT,2
Hermione_WT,Undirected,Perdita_WT,1
Mamillius_WT,Undirected,LADIES.0.1_WT,1
Mamillius_WT,Undirected,LADIES.0.2_WT,1
Mamillius_WT,Undirected,ATTENDANTS.0.1_WT,1
Mamillius_WT,Undirected,Antigonus_WT,1
LADIES.0.1_WT,Undirected,LADIES.0.2_WT,1
LADIES.0.1_WT,Undirected,ATTENDANTS.0.1_WT,1
LADIES.0.1_WT,Undirected,Antigonus_WT,1
LADIES.0.2_WT,Undirected,ATTENDANTS.0.1_WT,1
LADIES.0.2_WT,Undirected,Antigonus_WT,1
ATTENDANTS.0.1_WT,Undirected,Antigonus_WT,2
ATTENDANTS.0.1_WT,Undirected,SERVANTS.X.1_WT,2
ATTENDANTS.0.1_WT,Undirected,Paulina_WT,2
ATTENDANTS.0.1_WT,Undirected,SERVANTS.0_WT,1
ATTENDANTS.0.1_WT,Undirected,ATTENDANTS_WT,2
ATTENDANTS.0.1_WT,Undirected,SERVANTS.X.2_WT,1
ATTENDANTS.0.1_WT,Undirected,OFFICERS.0.1_WT,1
ATTENDANTS.0.1_WT,Undirected,Cleomenes_WT,1
ATTENDANTS.0.1_WT,Undirected,Dion_WT,1
Antigonus_WT,Undirected,SERVANTS.X.1_WT,1
Antigonus_WT,Undirected,Paulina_WT,1
Antigonus_WT,Undirected,SERVANTS.0_WT,1
Antigonus_WT,Undirected,ATTENDANTS_WT,1
Antigonus_WT,Undirected,SERVANTS.X.2_WT,1
Antigonus_WT,Undirected,Sailor_WT,1
Antigonus_WT,Undirected,Shepherd_WT,1
Antigonus_WT,Undirected,ShepherdsSon_WT,1
Paulina_WT,Undirected,Jailer_WT,1
Paulina_WT,Undirected,LADIES.Emilia_WT,1
Paulina_WT,Undirected,SERVANTS.X.1_WT,2
Paulina_WT,Undirected,SERVANTS.0_WT,1
Paulina_WT,Undirected,ATTENDANTS_WT,2
Paulina_WT,Undirected,SERVANTS.X.2_WT,1
Paulina_WT,Undirected,OFFICERS.0.1_WT,1
Paulina_WT,Undirected,Cleomenes_WT,2
Paulina_WT,Undirected,Dion_WT,2
Paulina_WT,Undirected,SERVANTS.X.3_WT,1
Paulina_WT,Undirected,Florizell_WT,1
Paulina_WT,Undirected,ATTENDANTS.X_WT,1
Paulina_WT,Undirected,Perdita_WT,2
Jailer_WT,Undirected,LADIES.Emilia_WT,1
SERVANTS.X.1_WT,Undirected,SERVANTS.0_WT,1
SERVANTS.X.1_WT,Undirected,ATTENDANTS_WT,2
SERVANTS.X.1_WT,Undirected,SERVANTS.X.2_WT,1
