Source,Type,Target,Weight
KingJohn_Jn,Undirected,Chatillion_Jn,2
KingJohn_Jn,Undirected,QueenEleanor_Jn,4
KingJohn_Jn,Undirected,Essex_Jn,1
KingJohn_Jn,Undirected,Bastard_Jn,8
KingJohn_Jn,Undirected,RobertFaulconbridge_Jn,1
KingJohn_Jn,Undirected,LadyFaulconbridge_Jn,1
KingJohn_Jn,Undirected,Gurney_Jn,1
KingJohn_Jn,Undirected,Dauphin_Jn,2
KingJohn_Jn,Undirected,Arthur_Jn,3
KingJohn_Jn,Undirected,Austria_Jn,2
KingJohn_Jn,Undirected,Constance_Jn,2
KingJohn_Jn,Undirected,KingPhilip_Jn,2
KingJohn_Jn,Undirected,Blanche_Jn,2
KingJohn_Jn,Undirected,CITIZENS.0.1_Jn,1
KingJohn_Jn,Undirected,HERALDS.FRENCH_Jn,1
KingJohn_Jn,Undirected,HERALDS.ENGLISH_Jn,1
KingJohn_Jn,Undirected,Salisbury_Jn,3
KingJohn_Jn,Undirected,Pandulph_Jn,2
KingJohn_Jn,Undirected,Hubert_Jn,3
KingJohn_Jn,Undirected,Pembroke_Jn,2
KingJohn_Jn,Undirected,MESSENGERS.ENGLISH.1_Jn,2
KingJohn_Jn,Undirected,Peter_Jn,1
KingJohn_Jn,Undirected,PrinceHenry_Jn,1
Chatillion_Jn,Undirected,QueenEleanor_Jn,2
Chatillion_Jn,Undirected,Essex_Jn,1
Chatillion_Jn,Undirected,Bastard_Jn,2
Chatillion_Jn,Undirected,RobertFaulconbridge_Jn,1
Chatillion_Jn,Undirected,LadyFaulconbridge_Jn,1
Chatillion_Jn,Undirected,Gurney_Jn,1
Chatillion_Jn,Undirected,Dauphin_Jn,1
Chatillion_Jn,Undirected,Arthur_Jn,1
Chatillion_Jn,Undirected,Austria_Jn,1
Chatillion_Jn,Undirected,Constance_Jn,1
Chatillion_Jn,Undirected,KingPhilip_Jn,1
Chatillion_Jn,Undirected,Blanche_Jn,1
Chatillion_Jn,Undirected,CITIZENS.0.1_Jn,1
Chatillion_Jn,Undirected,HERALDS.FRENCH_Jn,1
Chatillion_Jn,Undirected,HERALDS.ENGLISH_Jn,1
QueenEleanor_Jn,Undirected,Essex_Jn,1
QueenEleanor_Jn,Undirected,Bastard_Jn,4
QueenEleanor_Jn,Undirected,RobertFaulconbridge_Jn,1
QueenEleanor_Jn,Undirected,LadyFaulconbridge_Jn,1
QueenEleanor_Jn,Undirected,Gurney_Jn,1
QueenEleanor_Jn,Undirected,Dauphin_Jn,2
QueenEleanor_Jn,Undirected,Arthur_Jn,3
QueenEleanor_Jn,Undirected,Austria_Jn,2
QueenEleanor_Jn,Undirected,Constance_Jn,2
QueenEleanor_Jn,Undirected,KingPhilip_Jn,2
QueenEleanor_Jn,Undirected,Blanche_Jn,2
QueenEleanor_Jn,Undirected,CITIZENS.0.1_Jn,1
