Source,Type,Target,Weight
RichardII_R2,Undirected,Gaunt_R2,3
RichardII_R2,Undirected,HenryIV_1H4,4
RichardII_R2,Undirected,Mowbray_R2,2
RichardII_R2,Undirected,LordMarshal_R2,1
RichardII_R2,Undirected,Aumerle_R2,5
RichardII_R2,Undirected,HERALDS.1_R2,1
RichardII_R2,Undirected,HERALDS.2_R2,1
RichardII_R2,Undirected,Green_R2,1
RichardII_R2,Undirected,Bushy_R2,1
RichardII_R2,Undirected,Bagot_R2,2
RichardII_R2,Undirected,York_R2,3
RichardII_R2,Undirected,Queen_R2,2
RichardII_R2,Undirected,Northumberland_R2,4
RichardII_R2,Undirected,Ross_R2,1
RichardII_R2,Undirected,Willoughby_R2,1
RichardII_R2,Undirected,BishopOfCarlisle_R2,2
RichardII_R2,Undirected,Salisbury_R2,1
RichardII_R2,Undirected,Scroop_R2,1
RichardII_R2,Undirected,Hotspur_R2,2
RichardII_R2,Undirected,Fitzwater_R2,1
RichardII_R2,Undirected,LORDS.1_R2,1
RichardII_R2,Undirected,Surrey_R2,1
RichardII_R2,Undirected,AbbotOfWestminster_R2,1
RichardII_R2,Undirected,Groom_R2,1
RichardII_R2,Undirected,Jailer_R2,1
RichardII_R2,Undirected,Exton_R2,1
Gaunt_R2,Undirected,HenryIV_1H4,2
Gaunt_R2,Undirected,Mowbray_R2,2
Gaunt_R2,Undirected,DuchessOfGloucester_R2,1
Gaunt_R2,Undirected,LordMarshal_R2,1
Gaunt_R2,Undirected,Aumerle_R2,1
Gaunt_R2,Undirected,HERALDS.1_R2,1
Gaunt_R2,Undirected,HERALDS.2_R2,1
Gaunt_R2,Undirected,York_R2,1
Gaunt_R2,Undirected,Queen_R2,1
Gaunt_R2,Undirected,Northumberland_R2,1
Gaunt_R2,Undirected,Ross_R2,1
Gaunt_R2,Undirected,Willoughby_R2,1
HenryIV_1H4,Undirected,Mowbray_R2,2
HenryIV_1H4,Undirected,LordMarshal_R2,1
HenryIV_1H4,Undirected,Aumerle_R2,4
HenryIV_1H4,Undirected,HERALDS.1_R2,1
HenryIV_1H4,Undirected,HERALDS.2_R2,1
HenryIV_1H4,Undirected,Northumberland_R2,4
HenryIV_1H4,Undirected,Hotspur_R2,5
HenryIV_1H4,Undirected,Ross_R2,1
HenryIV_1H4,Undirected,Willoughby_R2,1
HenryIV_1H4,Undirected,Berkeley_R2,1
HenryIV_1H4,Undirected,York_R2,5
HenryIV_1H4,Undirected,Bushy_R2,1
HenryIV_1H4,Undirected,Green_R2,1
HenryIV_1H4,Undirected,Bagot_R2,1
HenryIV_1H4,Undirected,Fitzwater_R2,2
HenryIV_1H4,Undirected,LORDS.1_R2,1
HenryIV_1H4,Undirected,Surrey_R2,1
HenryIV_1H4,Undirected,BishopOfCarlisle_R2,1
HenryIV_1H4,Undirected,AbbotOfWestminster_R2,1
HenryIV_1H4,Undirected,DuchessOfYork_R2,1
HenryIV_1H4,Undirected,Exton_R2,1
Mowbray_R2,Undirected,LordMarshal_R2,1
Mowbray_R2,Undirected,Aumerle_R2,1
Mowbray_R2,Undirected,HERALDS.1_R2,1
Mowbray_R2,Undirected,HERALDS.2_R2,1
LordMarshal_R2,Undirected,Aumerle_R2,1
LordMarshal_R2,Undirected,HERALDS.1_R2,1
LordMarshal_R2,Undirected,HERALDS.2_R2,1
Aumerle_R2,Undirected,HERALDS.1_R2,1
Aumerle_R2,Undirected,HERALDS.2_R2,1
Aumerle_R2,Undirected,Green_R2,1
Aumerle_R2,Undirected,Bushy_R2,1
Aumerle_R2,Undirected,Bagot_R2,2
Aumerle_R2,Undirected,BishopOfCarlisle_R2,2
Aumerle_R2,Undirected,Salisbury_R2,1
Aumerle_R2,Undirected,Scroop_R2,1
Aumerle_R2,Undirected,Northumberland_R2,2
Aumerle_R2,Undirected,York_R2,4
Aumerle_R2,Undirected,Hotspur_R2,3
Aumerle_R2,Undirected,Fitzwater_R2,1
Aumerle_R2,Undirected,LORDS.1_R2,1
Aumerle_R2,Undirected,Surrey_R2,1
Aumerle_R2,Undirected,AbbotOfWestminster_R2,1
Aumerle_R2,Undirected,DuchessOfYork_R2,2
HERALDS.1_R2,Undirected,HERALDS.2_R2,1
