Source,Type,Target,Weight
LordBardolph_2H4,Undirected,Porter_2H4,1
LordBardolph_2H4,Undirected,Northumberland_R2,1
LordBardolph_2H4,Undirected,Travers_2H4,1
LordBardolph_2H4,Undirected,Morton_2H4,1
LordBardolph_2H4,Undirected,Archbishop_1H4,1
LordBardolph_2H4,Undirected,Mowbray_2H4,1
LordBardolph_2H4,Undirected,Hastings_2H4,1
Porter_2H4,Undirected,Northumberland_R2,1
Porter_2H4,Undirected,Travers_2H4,1
Porter_2H4,Undirected,Morton_2H4,1
Northumberland_R2,Undirected,Travers_2H4,1
Northumberland_R2,Undirected,Morton_2H4,1
Northumberland_R2,Undirected,LadyNorthumberland_2H4,1
Northumberland_R2,Undirected,LadyPercy_1H4,1
Travers_2H4,Undirected,Morton_2H4,1
Falstaff_1H4,Undirected,SERVANTS.FALSTAFF.1_2H4,3
Falstaff_1H4,Undirected,ChiefJustice_2H4,3
Falstaff_1H4,Undirected,SERVANTS.CHIEFJUSTICE.1_2H4,1
Falstaff_1H4,Undirected,MistressQuickly_1H4,2
Falstaff_1H4,Undirected,OFFICERS.Fang_2H4,1
Falstaff_1H4,Undirected,OFFICERS.Snare_2H4,1
Falstaff_1H4,Undirected,MESSENGERS.Gower_2H4,1
Falstaff_1H4,Undirected,DRAWERS.Francis_1H4,1
Falstaff_1H4,Undirected,DRAWERS.1_2H4,1
Falstaff_1H4,Undirected,DRAWERS.Will_2H4,1
Falstaff_1H4,Undirected,DollTearsheet_2H4,1
Falstaff_1H4,Undirected,DRAWERS.X_2H4,1
Falstaff_1H4,Undirected,Pistol_2H4,3
Falstaff_1H4,Undirected,Bardolph_1H4,5
Falstaff_1H4,Undirected,HenryV_H5,2
Falstaff_1H4,Undirected,Poins_1H4,1
Falstaff_1H4,Undirected,Peto_1H4,1
Falstaff_1H4,Undirected,Shallow_2H4,4
Falstaff_1H4,Undirected,Silence_2H4,2
Falstaff_1H4,Undirected,Mouldy_2H4,1
Falstaff_1H4,Undirected,Shadow_2H4,1
Falstaff_1H4,Undirected,Wart_2H4,1
Falstaff_1H4,Undirected,Feeble_2H4,1
Falstaff_1H4,Undirected,Bullcalf_2H4,1
Falstaff_1H4,Undirected,Colevile_2H4,1
Falstaff_1H4,Undirected,Bedford_H5,2
Falstaff_1H4,Undirected,Westmoreland_1H4,1
Falstaff_1H4,Undirected,Davy_2H4,2
Falstaff_1H4,Undirected,GROOMS.1_2H4,1
Falstaff_1H4,Undirected,GROOMS.2_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,ChiefJustice_2H4,2
SERVANTS.FALSTAFF.1_2H4,Undirected,SERVANTS.CHIEFJUSTICE.1_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,MistressQuickly_1H4,2
SERVANTS.FALSTAFF.1_2H4,Undirected,OFFICERS.Fang_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,OFFICERS.Snare_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,MESSENGERS.Gower_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,HenryV_H5,2
SERVANTS.FALSTAFF.1_2H4,Undirected,Poins_1H4,2
SERVANTS.FALSTAFF.1_2H4,Undirected,Bardolph_1H4,2
SERVANTS.FALSTAFF.1_2H4,Undirected,DRAWERS.Francis_1H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,DRAWERS.1_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,DRAWERS.Will_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,DollTearsheet_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,DRAWERS.X_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,Pistol_2H4,1
SERVANTS.FALSTAFF.1_2H4,Undirected,Peto_1H4,1
ChiefJustice_2H4,Undirected,SERVANTS.CHIEFJUSTICE.1_2H4,1
ChiefJustice_2H4,Undirected,MistressQuickly_1H4,1
