Source,Type,Target,Weight
BishopOfCanterbury_H5,Undirected,BishopOfEly_H5,2
BishopOfCanterbury_H5,Undirected,HenryV_H5,1
BishopOfCanterbury_H5,Undirected,Exeter_H5,1
BishopOfCanterbury_H5,Undirected,Westmoreland_1H4,1
BishopOfCanterbury_H5,Undirected,AMBASSADORS.0.1_H5,1
BishopOfEly_H5,Undirected,HenryV_H5,1
BishopOfEly_H5,Undirected,Exeter_H5,1
BishopOfEly_H5,Undirected,Westmoreland_1H4,1
BishopOfEly_H5,Undirected,AMBASSADORS.0.1_H5,1
HenryV_H5,Undirected,Exeter_H5,7
HenryV_H5,Undirected,Westmoreland_1H4,4
HenryV_H5,Undirected,AMBASSADORS.0.1_H5,1
HenryV_H5,Undirected,Bedford_H5,2
HenryV_H5,Undirected,Scroop_H5,1
HenryV_H5,Undirected,Cambridge_H5,1
HenryV_H5,Undirected,Grey_H5,1
HenryV_H5,Undirected,Governor_H5,1
HenryV_H5,Undirected,Gower_H5,4
HenryV_H5,Undirected,Fluellen_H5,4
HenryV_H5,Undirected,Pistol_2H4,2
HenryV_H5,Undirected,Montjoy_H5,3
HenryV_H5,Undirected,Gloucester_2H4,4
HenryV_H5,Undirected,Erpingham_H5,1
HenryV_H5,Undirected,SOLDIERS.ENGLISH.Court_H5,1
HenryV_H5,Undirected,SOLDIERS.ENGLISH.Bates_H5,1
HenryV_H5,Undirected,SOLDIERS.ENGLISH.Williams_H5,3
HenryV_H5,Undirected,Salisbury_H5,1
HenryV_H5,Undirected,York_H5,1
HenryV_H5,Undirected,Warwick_2H4,1
HenryV_H5,Undirected,HERALDS.1_H5,1
HenryV_H5,Undirected,KingOfFrance_H5,1
HenryV_H5,Undirected,QueenOfFrance_H5,1
HenryV_H5,Undirected,Burgundy_H5,1
HenryV_H5,Undirected,Katherine_H5,1
HenryV_H5,Undirected,Alice_H5,1
HenryV_H5,Undirected,ATTENDANTS.ENGLISH_H5,1
Exeter_H5,Undirected,Westmoreland_1H4,4
Exeter_H5,Undirected,AMBASSADORS.0.1_H5,1
Exeter_H5,Undirected,Bedford_H5,2
Exeter_H5,Undirected,Scroop_H5,1
Exeter_H5,Undirected,Cambridge_H5,1
Exeter_H5,Undirected,Grey_H5,1
Exeter_H5,Undirected,KingOfFrance_H5,2
Exeter_H5,Undirected,Dauphin_H5,1
Exeter_H5,Undirected,Constable_H5,1
Exeter_H5,Undirected,MESSENGERS.X.1_H5,1
Exeter_H5,Undirected,Gloucester_2H4,2
Exeter_H5,Undirected,Salisbury_H5,1
Exeter_H5,Undirected,Montjoy_H5,2
Exeter_H5,Undirected,York_H5,1
Exeter_H5,Undirected,Fluellen_H5,2
Exeter_H5,Undirected,Gower_H5,2
Exeter_H5,Undirected,SOLDIERS.ENGLISH.Williams_H5,2
Exeter_H5,Undirected,Warwick_2H4,1
Exeter_H5,Undirected,HERALDS.1_H5,1
Exeter_H5,Undirected,QueenOfFrance_H5,1
Exeter_H5,Undirected,Burgundy_H5,1
Exeter_H5,Undirected,Katherine_H5,1
Exeter_H5,Undirected,Alice_H5,1
Exeter_H5,Undirected,ATTENDANTS.ENGLISH_H5,1
Westmoreland_1H4,Undirected,AMBASSADORS.0.1_H5,1
Westmoreland_1H4,Undirected,Bedford_H5,2
Westmoreland_1H4,Undirected,Scroop_H5,1
Westmoreland_1H4,Undirected,Cambridge_H5,1
Westmoreland_1H4,Undirected,Grey_H5,1
Westmoreland_1H4,Undirected,Gloucester_2H4,1
Westmoreland_1H4,Undirected,Salisbury_H5,1
Westmoreland_1H4,Undirected,Montjoy_H5,1
Westmoreland_1H4,Undirected,York_H5,1
Westmoreland_1H4,Undirected,KingOfFrance_H5,1
Westmoreland_1H4,Undirected,QueenOfFrance_H5,1
Westmoreland_1H4,Undirected,Burgundy_H5,1
Westmoreland_1H4,Undirected,Katherine_H5,1
Westmoreland_1H4,Undirected,Alice_H5,1
Westmoreland_1H4,Undirected,ATTENDANTS.ENGLISH_H5,1
Bardolph_1H4,Undirected,Nym_H5,3
Bardolph_1H4,Undirected,Pistol_2H4,3
Bardolph_1H4,Undirected,MistressQuickly_1H4,2
Bardolph_1H4,Undirected,Boy_H5,3
Bardolph_1H4,Undirected,Fluellen_H5,1
Bardolph_1H4,Undirected,Gower_H5,1
Bardolph_1H4,Undirected,Jamy_H5,1
Bardolph_1H4,Undirected,MacMorris_H5,1
Nym_H5,Undirected,Pistol_2H4,3
Nym_H5,Undirected,MistressQuickly_1H4,2
Nym_H5,Undirected,Boy_H5,3
Nym_H5,Undirected,Fluellen_H5,1
Nym_H5,Undirected,Gower_H5,1
Nym_H5,Undirected,Jamy_H5,1
Nym_H5,Undirected,MacMorris_H5,1
Pistol_2H4,Undirected,MistressQuickly_1H4,2
Pistol_2H4,Undirected,Boy_H5,4
Pistol_2H4,Undirected,Fluellen_H5,4
Pistol_2H4,Undirected,Gower_H5,4
Pistol_2H4,Undirected,Jamy_H5,1
Pistol_2H4,Undirected,MacMorris_H5,1
Pistol_2H4,Undirected,Montjoy_H5,1
Pistol_2H4,Undirected,Gloucester_2H4,2
Pistol_2H4,Undirected,Erpingham_H5,1
Pistol_2H4,Undirected,SOLDIERS.ENGLISH.Court_H5,1
Pistol_2H4,Undirected,SOLDIERS.ENGLISH.Bates_H5,1
Pistol_2H4,Undirected,SOLDIERS.ENGLISH.Williams_H5,1
Pistol_2H4,Undirected,SOLDIERS.FRENCH.LeFer_H5,1
MistressQuickly_1H4,Undirected,Boy_H5,2
Boy_H5,Undirected,Fluellen_H5,1
Boy_H5,Undirected,Gower_H5,1
Boy_H5,Undirected,Jamy_H5,1
Boy_H5,Undirected,MacMorris_H5,1
Boy_H5,Undirected,SOLDIERS.FRENCH.LeFer_H5,1
Bedford_H5,Undirected,Scroop_H5,1
Bedford_H5,Undirected,Cambridge_H5,1
Bedford_H5,Undirected,Grey_H5,1
Bedford_H5,Undirected,Gloucester_2H4,1
Bedford_H5,Undirected,Salisbury_H5,1
Bedford_H5,Undirected,Montjoy_H5,1
Bedford_H5,Undirected,York_H5,1
Scroop_H5,Undirected,Cambridge_H5,1
Scroop_H5,Undirected,Grey_H5,1
Cambridge_H5,Undirected,Grey_H5,1
KingOfFrance_H5,Undirected,Dauphin_H5,2
KingOfFrance_H5,Undirected,Constable_H5,2
KingOfFrance_H5,Undirected,MESSENGERS.X.1_H5,1
KingOfFrance_H5,Undirected,Brittany_H5,1
KingOfFrance_H5,Undirected,QueenOfFrance_H5,1
KingOfFrance_H5,Undirected,Burgundy_H5,1
KingOfFrance_H5,Undirected,Katherine_H5,1
KingOfFrance_H5,Undirected,Alice_H5,1
KingOfFrance_H5,Undirected,ATTENDANTS.ENGLISH_H5,1
