Source,Type,Target,Weight
Suffolk_1H6,Undirected,HenryVI_1H6,6
Suffolk_1H6,Undirected,QueenMargaret_1H6,6
Suffolk_1H6,Undirected,Gloucester_2H4,5
Suffolk_1H6,Undirected,CardinalBeaufort_1H6,5
Suffolk_1H6,Undirected,Somerset_1H6,4
Suffolk_1H6,Undirected,Buckingham_2H6,4
Suffolk_1H6,Undirected,York_1H6,4
Suffolk_1H6,Undirected,Salisbury_2H6,4
Suffolk_1H6,Undirected,Warwick_2H6,3
Suffolk_1H6,Undirected,PETITIONERS.0.1_2H6,1
Suffolk_1H6,Undirected,PETITIONERS.0.2_2H6,1
Suffolk_1H6,Undirected,Thump_2H6,2
Suffolk_1H6,Undirected,PETITIONERS_2H6,1
Suffolk_1H6,Undirected,DuchessOfGloucester_2H6,2
Suffolk_1H6,Undirected,Horner_2H6,2
Suffolk_1H6,Undirected,CITIZENS.STALBANS.0.1_2H6,1
Suffolk_1H6,Undirected,Simpcox_2H6,1
Suffolk_1H6,Undirected,SimpcoxWife_2H6,1
Suffolk_1H6,Undirected,MayorOfStAlbans_2H6,1
Suffolk_1H6,Undirected,Beadle_2H6,1
Suffolk_1H6,Undirected,NEIGHBORS.1_2H6,1
Suffolk_1H6,Undirected,NEIGHBORS.2_2H6,1
Suffolk_1H6,Undirected,NEIGHBORS.3_2H6,1
Suffolk_1H6,Undirected,PRENTICES.1_2H6,1
Suffolk_1H6,Undirected,PRENTICES.2_2H6,1
Suffolk_1H6,Undirected,MESSENGERS.Post_2H6,1
Suffolk_1H6,Undirected,MURDERERS.0.1_2H6,1
Suffolk_1H6,Undirected,MURDERERS.0.2_2H6,1
Suffolk_1H6,Undirected,CITIZENS_2H6,1
Suffolk_1H6,Undirected,Vaux_2H6,1
Suffolk_1H6,Undirected,Lieutenant_2H6,1
Suffolk_1H6,Undirected,GENTLEMEN.1_2H6,1
Suffolk_1H6,Undirected,Master_2H6,1
Suffolk_1H6,Undirected,Mate_2H6,1
Suffolk_1H6,Undirected,GENTLEMEN.2_2H6,1
Suffolk_1H6,Undirected,Whitmore_2H6,1
HenryVI_1H6,Undirected,QueenMargaret_1H6,9
