Source,Type,Target,Weight
Buckingham_H8,Undirected,Norfolk_H8,1
Buckingham_H8,Undirected,Abergavenny_H8,1
Buckingham_H8,Undirected,Wolsey_H8,1
Buckingham_H8,Undirected,SECRETARIES.0.1_H8,1
Buckingham_H8,Undirected,Brandon_H8,1
Buckingham_H8,Undirected,Sergeant_H8,1
Buckingham_H8,Undirected,GENTLEMEN.1_H8,1
Buckingham_H8,Undirected,GENTLEMEN.2_H8,1
Buckingham_H8,Undirected,Lovell_H8,1
Buckingham_H8,Undirected,Vaux_H8,1
Norfolk_H8,Undirected,Abergavenny_H8,1
Norfolk_H8,Undirected,Wolsey_H8,4
Norfolk_H8,Undirected,SECRETARIES.0.1_H8,1
Norfolk_H8,Undirected,Brandon_H8,1
Norfolk_H8,Undirected,Sergeant_H8,1
Norfolk_H8,Undirected,HenryVIII_H8,4
Norfolk_H8,Undirected,Katherine_H8,1
Norfolk_H8,Undirected,Surveyor_H8,1
Norfolk_H8,Undirected,Chamberlain_H8,3
Norfolk_H8,Undirected,Suffolk_H8,3
Norfolk_H8,Undirected,Campeius_H8,1
Norfolk_H8,Undirected,Gardiner_H8,2
Norfolk_H8,Undirected,Surrey_H8,2
Norfolk_H8,Undirected,Cromwell_H8,2
Norfolk_H8,Undirected,Cranmer_H8,1
Norfolk_H8,Undirected,Keeper_H8,1
Norfolk_H8,Undirected,Butts_H8,1
Norfolk_H8,Undirected,Chancellor_H8,1
Abergavenny_H8,Undirected,Wolsey_H8,1
Abergavenny_H8,Undirected,SECRETARIES.0.1_H8,1
Abergavenny_H8,Undirected,Brandon_H8,1
Abergavenny_H8,Undirected,Sergeant_H8,1
Wolsey_H8,Undirected,SECRETARIES.0.1_H8,1
Wolsey_H8,Undirected,Brandon_H8,1
Wolsey_H8,Undirected,Sergeant_H8,1
Wolsey_H8,Undirected,HenryVIII_H8,5
Wolsey_H8,Undirected,Katherine_H8,3
Wolsey_H8,Undirected,Surveyor_H8,1
Wolsey_H8,Undirected,Guilford_H8,1
Wolsey_H8,Undirected,Chamberlain_H8,3
Wolsey_H8,Undirected,Sands_H8,1
Wolsey_H8,Undirected,Lovell_H8,1
Wolsey_H8,Undirected,Anne_H8,1
Wolsey_H8,Undirected,SERVANTS.X.1_H8,1
Wolsey_H8,Undirected,Suffolk_H8,2
Wolsey_H8,Undirected,Campeius_H8,3
Wolsey_H8,Undirected,Gardiner_H8,1
Wolsey_H8,Undirected,Scribe_H8,1
Wolsey_H8,Undirected,Crier_H8,1
Wolsey_H8,Undirected,Usher_H8,1
Wolsey_H8,Undirected,BishopOfLincoln_H8,1
Wolsey_H8,Undirected,LADIES.KATHERINE.0.1_H8,1
Wolsey_H8,Undirected,GENTLEMEN.X_H8,1
Wolsey_H8,Undirected,Surrey_H8,1
Wolsey_H8,Undirected,Cromwell_H8,1
SECRETARIES.0.1_H8,Undirected,Brandon_H8,1
SECRETARIES.0.1_H8,Undirected,Sergeant_H8,1
Brandon_H8,Undirected,Sergeant_H8,1
HenryVIII_H8,Undirected,Katherine_H8,2
HenryVIII_H8,Undirected,Surveyor_H8,1
HenryVIII_H8,Undirected,Guilford_H8,1
HenryVIII_H8,Undirected,Chamberlain_H8,4
HenryVIII_H8,Undirected,Sands_H8,1
HenryVIII_H8,Undirected,Lovell_H8,2
HenryVIII_H8,Undirected,Anne_H8,1
HenryVIII_H8,Undirected,SERVANTS.X.1_H8,1
HenryVIII_H8,Undirected,Suffolk_H8,4
HenryVIII_H8,Undirected,Campeius_H8,2
HenryVIII_H8,Undirected,Gardiner_H8,3
HenryVIII_H8,Undirected,Scribe_H8,1
HenryVIII_H8,Undirected,Crier_H8,1
HenryVIII_H8,Undirected,Usher_H8,1
HenryVIII_H8,Undirected,BishopOfLincoln_H8,1
HenryVIII_H8,Undirected,Surrey_H8,2
HenryVIII_H8,Undirected,Cromwell_H8,2
HenryVIII_H8,Undirected,Page_H8,1
HenryVIII_H8,Undirected,Denny_H8,1
HenryVIII_H8,Undirected,Cranmer_H8,3
HenryVIII_H8,Undirected,OldLady_H8,1
HenryVIII_H8,Undirected,Keeper_H8,1
HenryVIII_H8,Undirected,Butts_H8,1
HenryVIII_H8,Undirected,Chancellor_H8,1
HenryVIII_H8,Undirected,Garter_H8,1
Katherine_H8,Undirected,Surveyor_H8,1
Katherine_H8,Undirected,Scribe_H8,1
Katherine_H8,Undirected,Crier_H8,1
Katherine_H8,Undirected,Campeius_H8,2
Katherine_H8,Undirected,Usher_H8,1
Katherine_H8,Undirected,BishopOfLincoln_H8,1
Katherine_H8,Undirected,LADIES.KATHERINE.0.1_H8,1
Katherine_H8,Undirected,GENTLEMEN.X_H8,1
Katherine_H8,Undirected,Griffith_H8,1
Katherine_H8,Undirected,LADIES.KATHERINE.Patience_H8,1
Katherine_H8,Undirected,Messenger_H8,1
Katherine_H8,Undirected,Capuchius_H8,1
Chamberlain_H8,Undirected,Sands_H8,2
Chamberlain_H8,Undirected,Lovell_H8,2
Chamberlain_H8,Undirected,Guilford_H8,1
Chamberlain_H8,Undirected,Anne_H8,2
Chamberlain_H8,Undirected,SERVANTS.X.1_H8,1
Chamberlain_H8,Undirected,Suffolk_H8,3
Chamberlain_H8,Undirected,Campeius_H8,1
Chamberlain_H8,Undirected,Gardiner_H8,2
Chamberlain_H8,Undirected,OldLady_H8,1
Chamberlain_H8,Undirected,Surrey_H8,2
Chamberlain_H8,Undirected,Cromwell_H8,2
Chamberlain_H8,Undirected,Cranmer_H8,1
Chamberlain_H8,Undirected,Keeper_H8,1
Chamberlain_H8,Undirected,Butts_H8,1
Chamberlain_H8,Undirected,Chancellor_H8,1
Chamberlain_H8,Undirected,Porter_H8,1
Chamberlain_H8,Undirected,SERVANTS.LARDER.1_H8,1
Chamberlain_H8,Undirected,SERVANTS.PORTER.1_H8,1
Sands_H8,Undirected,Lovell_H8,2
Sands_H8,Undirected,Guilford_H8,1
Sands_H8,Undirected,Anne_H8,1
Sands_H8,Undirected,SERVANTS.X.1_H8,1
Lovell_H8,Undirected,Guilford_H8,1
Lovell_H8,Undirected,Anne_H8,1
Lovell_H8,Undirected,SERVANTS.X.1_H8,1
Lovell_H8,Undirected,GENTLEMEN.1_H8,1
Lovell_H8,Undirected,GENTLEMEN.2_H8,1
Lovell_H8,Undirected,Vaux_H8,1
Lovell_H8,Undirected,Gardiner_H8,1
Lovell_H8,Undirected,Page_H8,1
Lovell_H8,Undirected,Suffolk_H8,1
Lovell_H8,Undirected,Denny_H8,1
Lovell_H8,Undirected,Cranmer_H8,1
Lovell_H8,Undirected,OldLady_H8,1
Guilford_H8,Undirected,Anne_H8,1
Guilford_H8,Undirected,SERVANTS.X.1_H8,1
Anne_H8,Undirected,SERVANTS.X.1_H8,1
Anne_H8,Undirected,OldLady_H8,1
GENTLEMEN.1_H8,Undirected,GENTLEMEN.2_H8,2
GENTLEMEN.1_H8,Undirected,Vaux_H8,1
GENTLEMEN.1_H8,Undirected,GENTLEMEN.3_H8,1
GENTLEMEN.2_H8,Undirected,Vaux_H8,1
GENTLEMEN.2_H8,Undirected,GENTLEMEN.3_H8,1
Suffolk_H8,Undirected,Campeius_H8,1
Suffolk_H8,Undirected,Gardiner_H8,3
Suffolk_H8,Undirected,Surrey_H8,2
Suffolk_H8,Undirected,Cromwell_H8,2
Suffolk_H8,Undirected,Page_H8,1
Suffolk_H8,Undirected,Denny_H8,1
Suffolk_H8,Undirected,Cranmer_H8,2
Suffolk_H8,Undirected,OldLady_H8,1
Suffolk_H8,Undirected,Keeper_H8,1
Suffolk_H8,Undirected,Butts_H8,1
Suffolk_H8,Undirected,Chancellor_H8,1
Campeius_H8,Undirected,Gardiner_H8,1
Campeius_H8,Undirected,Scribe_H8,1
Campeius_H8,Undirected,Crier_H8,1
Campeius_H8,Undirected,Usher_H8,1
Campeius_H8,Undirected,BishopOfLincoln_H8,1
Campeius_H8,Undirected,LADIES.KATHERINE.0.1_H8,1
Campeius_H8,Undirected,GENTLEMEN.X_H8,1
Gardiner_H8,Undirected,Page_H8,1
Gardiner_H8,Undirected,Denny_H8,1
Gardiner_H8,Undirected,Cranmer_H8,2
Gardiner_H8,Undirected,OldLady_H8,1
Gardiner_H8,Undirected,Keeper_H8,1
Gardiner_H8,Undirected,Butts_H8,1
Gardiner_H8,Undirected,Chancellor_H8,1
Gardiner_H8,Undirected,Cromwell_H8,1
Gardiner_H8,Undirected,Surrey_H8,1
OldLady_H8,Undirected,Page_H8,1
OldLady_H8,Undirected,Denny_H8,1
OldLady_H8,Undirected,Cranmer_H8,1
Scribe_H8,Undirected,Crier_H8,1
Scribe_H8,Undirected,Usher_H8,1
Scribe_H8,Undirected,BishopOfLincoln_H8,1
Crier_H8,Undirected,Usher_H8,1
Crier_H8,Undirected,BishopOfLincoln_H8,1
Usher_H8,Undirected,BishopOfLincoln_H8,1
LADIES.KATHERINE.0.1_H8,Undirected,GENTLEMEN.X_H8,1
Surrey_H8,Undirected,Cromwell_H8,2
Surrey_H8,Undirected,Cranmer_H8,1
Surrey_H8,Undirected,Keeper_H8,1
Surrey_H8,Undirected,Butts_H8,1
Surrey_H8,Undirected,Chancellor_H8,1
Cromwell_H8,Undirected,Cranmer_H8,1
Cromwell_H8,Undirected,Keeper_H8,1
Cromwell_H8,Undirected,Butts_H8,1
Cromwell_H8,Undirected,Chancellor_H8,1
Griffith_H8,Undirected,LADIES.KATHERINE.Patience_H8,1
Griffith_H8,Undirected,Messenger_H8,1
Griffith_H8,Undirected,Capuchius_H8,1
LADIES.KATHERINE.Patience_H8,Undirected,Messenger_H8,1
LADIES.KATHERINE.Patience_H8,Undirected,Capuchius_H8,1
Messenger_H8,Undirected,Capuchius_H8,1
Page_H8,Undirected,Denny_H8,1
Page_H8,Undirected,Cranmer_H8,1
Denny_H8,Undirected,Cranmer_H8,1
Cranmer_H8,Undirected,Keeper_H8,1
Cranmer_H8,Undirected,Butts_H8,1
Cranmer_H8,Undirected,Chancellor_H8,1
Cranmer_H8,Undirected,Garter_H8,1
Keeper_H8,Undirected,Butts_H8,1
Keeper_H8,Undirected,Chancellor_H8,1
Butts_H8,Undirected,Chancellor_H8,1
Porter_H8,Undirected,SERVANTS.LARDER.1_H8,1
Porter_H8,Undirected,SERVANTS.PORTER.1_H8,1
SERVANTS.LARDER.1_H8,Undirected,SERVANTS.PORTER.1_H8,1
