Source,Type,Target,Weight
Troilus_Tro,Undirected,Pandarus_Tro,6
Troilus_Tro,Undirected,Aeneas_Tro,6
Troilus_Tro,Undirected,Priam_Tro,2
Troilus_Tro,Undirected,Hector_Tro,6
Troilus_Tro,Undirected,Helenus_Tro,1
Troilus_Tro,Undirected,Cassandra_Tro,2
Troilus_Tro,Undirected,Paris_Tro,4
Troilus_Tro,Undirected,SERVANTS.TROILUS.1_Tro,1
Troilus_Tro,Undirected,Cressida_Tro,5
Troilus_Tro,Undirected,Diomedes_Tro,6
Troilus_Tro,Undirected,Deiphobus_Tro,2
Troilus_Tro,Undirected,Agamemnon_Tro,2
Troilus_Tro,Undirected,Ajax_Tro,3
Troilus_Tro,Undirected,Ulysses_Tro,3
Troilus_Tro,Undirected,Achilles_Tro,3
Troilus_Tro,Undirected,Nestor_Tro,1
Troilus_Tro,Undirected,Menelaus_Tro,2
Troilus_Tro,Undirected,Patroclus_Tro,2
Troilus_Tro,Undirected,ATTENDANTS.GREEK_Tro,1
Troilus_Tro,Undirected,Thersites_Tro,3
Troilus_Tro,Undirected,Calchas_Tro,1
Troilus_Tro,Undirected,Andromache_Tro,1
Troilus_Tro,Undirected,Antenor_Tro,1
Troilus_Tro,Undirected,SOLDIERS.TROJAN_Tro,1
Pandarus_Tro,Undirected,Aeneas_Tro,4
Pandarus_Tro,Undirected,Cressida_Tro,4
Pandarus_Tro,Undirected,Alexander_Tro,1
Pandarus_Tro,Undirected,Boy_Tro,1
Pandarus_Tro,Undirected,SERVANTS.PARIS.1_Tro,1
Pandarus_Tro,Undirected,Helen_Tro,1
Pandarus_Tro,Undirected,Paris_Tro,3
Pandarus_Tro,Undirected,SERVANTS.TROILUS.1_Tro,1
Pandarus_Tro,Undirected,Diomedes_Tro,1
Pandarus_Tro,Undirected,Deiphobus_Tro,2
Pandarus_Tro,Undirected,Andromache_Tro,1
Pandarus_Tro,Undirected,Hector_Tro,1
Pandarus_Tro,Undirected,Cassandra_Tro,1
Pandarus_Tro,Undirected,Priam_Tro,1
Pandarus_Tro,Undirected,Antenor_Tro,1
Pandarus_Tro,Undirected,SOLDIERS.TROJAN_Tro,1
Aeneas_Tro,Undirected,Agamemnon_Tro,2
Aeneas_Tro,Undirected,Nestor_Tro,2
Aeneas_Tro,Undirected,Ulysses_Tro,3
Aeneas_Tro,Undirected,Menelaus_Tro,2
Aeneas_Tro,Undirected,Paris_Tro,3
Aeneas_Tro,Undirected,Deiphobus_Tro,3
Aeneas_Tro,Undirected,Diomedes_Tro,4
Aeneas_Tro,Undirected,Cressida_Tro,4
Aeneas_Tro,Undirected,Ajax_Tro,1
Aeneas_Tro,Undirected,Achilles_Tro,1
Aeneas_Tro,Undirected,Patroclus_Tro,1
Aeneas_Tro,Undirected,ATTENDANTS.GREEK_Tro,1
Aeneas_Tro,Undirected,Hector_Tro,1
