Source,Type,Target,Weight
CITIZENS.ROMAN.0.1_Cor,Undirected,CITIZENS.ROMAN_Cor,3
CITIZENS.ROMAN.0.1_Cor,Undirected,CITIZENS.ROMAN.0.2_Cor,2
CITIZENS.ROMAN.0.1_Cor,Undirected,Menenius_Cor,3
CITIZENS.ROMAN.0.1_Cor,Undirected,Coriolanus_Cor,2
CITIZENS.ROMAN.0.1_Cor,Undirected,MESSENGERS.X.1_Cor,1
CITIZENS.ROMAN.0.1_Cor,Undirected,SENATORS.ROMAN.0.1_Cor,2
CITIZENS.ROMAN.0.1_Cor,Undirected,Cominius_Cor,3
CITIZENS.ROMAN.0.1_Cor,Undirected,Lartius_Cor,2
CITIZENS.ROMAN.0.1_Cor,Undirected,TRIBUNES.Sicinius_Cor,3
CITIZENS.ROMAN.0.1_Cor,Undirected,TRIBUNES.Brutus_Cor,3
CITIZENS.ROMAN.0.1_Cor,Undirected,SENATORS.ROMAN_Cor,1
CITIZENS.ROMAN.0.1_Cor,Undirected,SENATORS.ROMAN.0.2_Cor,1
CITIZENS.ROMAN.0.1_Cor,Undirected,AEDILES_Cor,1
CITIZENS.ROMAN.0.1_Cor,Undirected,AEDILES.X.3_Cor,1
CITIZENS.ROMAN.0.1_Cor,Undirected,MESSENGERS.TRIBUNES.1_Cor,1
CITIZENS.ROMAN.0.1_Cor,Undirected,MESSENGERS.TRIBUNES.2_Cor,1
CITIZENS.ROMAN.0.1_Cor,Undirected,CITIZENS.ROMAN.0.3_Cor,1
CITIZENS.ROMAN_Cor,Undirected,CITIZENS.ROMAN.0.2_Cor,2
CITIZENS.ROMAN_Cor,Undirected,Menenius_Cor,4
CITIZENS.ROMAN_Cor,Undirected,Coriolanus_Cor,3
CITIZENS.ROMAN_Cor,Undirected,MESSENGERS.X.1_Cor,1
CITIZENS.ROMAN_Cor,Undirected,SENATORS.ROMAN.0.1_Cor,3
CITIZENS.ROMAN_Cor,Undirected,Cominius_Cor,4
CITIZENS.ROMAN_Cor,Undirected,Lartius_Cor,2
CITIZENS.ROMAN_Cor,Undirected,TRIBUNES.Sicinius_Cor,4
CITIZENS.ROMAN_Cor,Undirected,TRIBUNES.Brutus_Cor,4
CITIZENS.ROMAN_Cor,Undirected,SENATORS.ROMAN_Cor,1
CITIZENS.ROMAN_Cor,Undirected,SENATORS.ROMAN.0.2_Cor,1
CITIZENS.ROMAN_Cor,Undirected,AEDILES_Cor,1
CITIZENS.ROMAN_Cor,Undirected,AEDILES.X.2_Cor,1
CITIZENS.ROMAN_Cor,Undirected,AEDILES.X.3_Cor,1
CITIZENS.ROMAN_Cor,Undirected,MESSENGERS.TRIBUNES.1_Cor,1
CITIZENS.ROMAN_Cor,Undirected,MESSENGERS.TRIBUNES.2_Cor,1
CITIZENS.ROMAN_Cor,Undirected,CITIZENS.ROMAN.0.3_Cor,1
CITIZENS.ROMAN.0.2_Cor,Undirected,Menenius_Cor,2
CITIZENS.ROMAN.0.2_Cor,Undirected,Coriolanus_Cor,1
CITIZENS.ROMAN.0.2_Cor,Undirected,MESSENGERS.X.1_Cor,1
CITIZENS.ROMAN.0.2_Cor,Undirected,SENATORS.ROMAN.0.1_Cor,1
CITIZENS.ROMAN.0.2_Cor,Undirected,Cominius_Cor,2
CITIZENS.ROMAN.0.2_Cor,Undirected,Lartius_Cor,1
CITIZENS.ROMAN.0.2_Cor,Undirected,TRIBUNES.Sicinius_Cor,2
CITIZENS.ROMAN.0.2_Cor,Undirected,TRIBUNES.Brutus_Cor,2
CITIZENS.ROMAN.0.2_Cor,Undirected,AEDILES.X.3_Cor,1
CITIZENS.ROMAN.0.2_Cor,Undirected,MESSENGERS.TRIBUNES.1_Cor,1
CITIZENS.ROMAN.0.2_Cor,Undirected,MESSENGERS.TRIBUNES.2_Cor,1
CITIZENS.ROMAN.0.2_Cor,Undirected,CITIZENS.ROMAN.0.3_Cor,1
Menenius_Cor,Undirected,Coriolanus_Cor,9
Menenius_Cor,Undirected,MESSENGERS.X.1_Cor,1
Menenius_Cor,Undirected,SENATORS.ROMAN.0.1_Cor,5
Menenius_Cor,Undirected,Cominius_Cor,9
Menenius_Cor,Undirected,Lartius_Cor,2
Menenius_Cor,Undirected,TRIBUNES.Sicinius_Cor,10
Menenius_Cor,Undirected,TRIBUNES.Brutus_Cor,9
Menenius_Cor,Undirected,Volumnia_Cor,4
Menenius_Cor,Undirected,Valeria_Cor,1
Menenius_Cor,Undirected,Virgilia_Cor,3
Menenius_Cor,Undirected,Herald_Cor,1
Menenius_Cor,Undirected,MESSENGERS.X.4_Cor,1
Menenius_Cor,Undirected,OFFICERS.1_Cor,1
Menenius_Cor,Undirected,OFFICERS.2_Cor,1
Menenius_Cor,Undirected,SENATORS.ROMAN_Cor,2
Menenius_Cor,Undirected,CITIZENS.ROMAN.1_Cor,1
Menenius_Cor,Undirected,CITIZENS.ROMAN.2_Cor,1
Menenius_Cor,Undirected,CITIZENS.ROMAN.3_Cor,1
Menenius_Cor,Undirected,CITIZENS.ROMAN.4_Cor,1
Menenius_Cor,Undirected,CITIZENS.ROMAN.5_Cor,1
Menenius_Cor,Undirected,CITIZENS.ROMAN.6_Cor,1
Menenius_Cor,Undirected,CITIZENS.ROMAN.7_Cor,1
Menenius_Cor,Undirected,CITIZENS.ROMAN.8_Cor,1
Menenius_Cor,Undirected,SENATORS.ROMAN.0.2_Cor,1
Menenius_Cor,Undirected,AEDILES_Cor,1
Menenius_Cor,Undirected,NOBLES.0.1_Cor,1
Menenius_Cor,Undirected,AEDILES.X.2_Cor,1
Menenius_Cor,Undirected,AEDILES.X.3_Cor,1
Menenius_Cor,Undirected,MESSENGERS.TRIBUNES.1_Cor,2
Menenius_Cor,Undirected,MESSENGERS.TRIBUNES.2_Cor,2
Menenius_Cor,Undirected,CITIZENS.ROMAN.0.3_Cor,1
Menenius_Cor,Undirected,WATCHMEN.1_Cor,1
Menenius_Cor,Undirected,WATCHMEN.2_Cor,1
Menenius_Cor,Undirected,Aufidius_Cor,1
Coriolanus_Cor,Undirected,MESSENGERS.X.1_Cor,1
Coriolanus_Cor,Undirected,SENATORS.ROMAN.0.1_Cor,5
Coriolanus_Cor,Undirected,Cominius_Cor,9
Coriolanus_Cor,Undirected,Lartius_Cor,5
Coriolanus_Cor,Undirected,TRIBUNES.Sicinius_Cor,6
Coriolanus_Cor,Undirected,TRIBUNES.Brutus_Cor,6
Coriolanus_Cor,Undirected,MESSENGERS.X.2_Cor,1
Coriolanus_Cor,Undirected,SENATORS.VOLSCIAN.0.1_Cor,1
Coriolanus_Cor,Undirected,SOLDIERS.ROMAN.0.1_Cor,2
Coriolanus_Cor,Undirected,SOLDIERS.ROMAN.0.2_Cor,2
Coriolanus_Cor,Undirected,SOLDIERS.ROMAN_Cor,2
Coriolanus_Cor,Undirected,SOLDIERS.ROMAN.0.3_Cor,1
Coriolanus_Cor,Undirected,MESSENGERS.X.3_Cor,1
Coriolanus_Cor,Undirected,Aufidius_Cor,5
Coriolanus_Cor,Undirected,Volumnia_Cor,4
Coriolanus_Cor,Undirected,Valeria_Cor,1
Coriolanus_Cor,Undirected,Virgilia_Cor,3
Coriolanus_Cor,Undirected,Herald_Cor,1
Coriolanus_Cor,Undirected,MESSENGERS.X.4_Cor,1
Coriolanus_Cor,Undirected,OFFICERS.1_Cor,1
Coriolanus_Cor,Undirected,OFFICERS.2_Cor,1
Coriolanus_Cor,Undirected,SENATORS.ROMAN_Cor,2
Coriolanus_Cor,Undirected,CITIZENS.ROMAN.1_Cor,1
Coriolanus_Cor,Undirected,CITIZENS.ROMAN.2_Cor,1
Coriolanus_Cor,Undirected,CITIZENS.ROMAN.3_Cor,1
Coriolanus_Cor,Undirected,CITIZENS.ROMAN.4_Cor,1
Coriolanus_Cor,Undirected,CITIZENS.ROMAN.5_Cor,1
Coriolanus_Cor,Undirected,CITIZENS.ROMAN.6_Cor,1
Coriolanus_Cor,Undirected,CITIZENS.ROMAN.7_Cor,1
Coriolanus_Cor,Undirected,CITIZENS.ROMAN.8_Cor,1
Coriolanus_Cor,Undirected,SENATORS.ROMAN.0.2_Cor,1
Coriolanus_Cor,Undirected,AEDILES_Cor,1
Coriolanus_Cor,Undirected,NOBLES.0.1_Cor,1
Coriolanus_Cor,Undirected,AEDILES.X.2_Cor,1
Coriolanus_Cor,Undirected,CITIZENS.ANTIUM.1_Cor,1
Coriolanus_Cor,Undirected,SERVANTS.1_Cor,1
Coriolanus_Cor,Undirected,SERVANTS.2_Cor,1
Coriolanus_Cor,Undirected,SERVANTS.3_Cor,1
Coriolanus_Cor,Undirected,WATCHMEN.1_Cor,1
Coriolanus_Cor,Undirected,WATCHMEN.2_Cor,1
Coriolanus_Cor,Undirected,YoungMartius_Cor,1
Coriolanus_Cor,Undirected,CONSPIRATORS.0.1_Cor,1
Coriolanus_Cor,Undirected,CONSPIRATORS.0.2_Cor,1
Coriolanus_Cor,Undirected,CONSPIRATORS.0.3_Cor,1
Coriolanus_Cor,Undirected,LORDS.VOLSCIAN_Cor,1
Coriolanus_Cor,Undirected,LORDS.VOLSCIAN.0.1_Cor,1
Coriolanus_Cor,Undirected,CONSPIRATORS_Cor,1
Coriolanus_Cor,Undirected,CITIZENS.VOLSCIAN_Cor,1
Coriolanus_Cor,Undirected,LORDS.VOLSCIAN.0.2_Cor,1
Coriolanus_Cor,Undirected,LORDS.VOLSCIAN.0.3_Cor,1
MESSENGERS.X.1_Cor,Undirected,SENATORS.ROMAN.0.1_Cor,1
MESSENGERS.X.1_Cor,Undirected,Cominius_Cor,1
MESSENGERS.X.1_Cor,Undirected,Lartius_Cor,1
MESSENGERS.X.1_Cor,Undirected,TRIBUNES.Sicinius_Cor,1
MESSENGERS.X.1_Cor,Undirected,TRIBUNES.Brutus_Cor,1
SENATORS.ROMAN.0.1_Cor,Undirected,Cominius_Cor,5
SENATORS.ROMAN.0.1_Cor,Undirected,Lartius_Cor,2
SENATORS.ROMAN.0.1_Cor,Undirected,TRIBUNES.Sicinius_Cor,4
SENATORS.ROMAN.0.1_Cor,Undirected,TRIBUNES.Brutus_Cor,4
SENATORS.ROMAN.0.1_Cor,Undirected,OFFICERS.1_Cor,1
SENATORS.ROMAN.0.1_Cor,Undirected,OFFICERS.2_Cor,1
SENATORS.ROMAN.0.1_Cor,Undirected,SENATORS.ROMAN_Cor,3
SENATORS.ROMAN.0.1_Cor,Undirected,SENATORS.ROMAN.0.2_Cor,1
SENATORS.ROMAN.0.1_Cor,Undirected,AEDILES_Cor,1
SENATORS.ROMAN.0.1_Cor,Undirected,NOBLES.0.1_Cor,1
SENATORS.ROMAN.0.1_Cor,Undirected,Volumnia_Cor,1
SENATORS.ROMAN.0.1_Cor,Undirected,AEDILES.X.2_Cor,1
Cominius_Cor,Undirected,Lartius_Cor,3
Cominius_Cor,Undirected,TRIBUNES.Sicinius_Cor,7
Cominius_Cor,Undirected,TRIBUNES.Brutus_Cor,7
Cominius_Cor,Undirected,MESSENGERS.X.3_Cor,1
Cominius_Cor,Undirected,SOLDIERS.ROMAN_Cor,1
Cominius_Cor,Undirected,Volumnia_Cor,3
Cominius_Cor,Undirected,Valeria_Cor,1
Cominius_Cor,Undirected,Virgilia_Cor,2
Cominius_Cor,Undirected,Herald_Cor,1
Cominius_Cor,Undirected,MESSENGERS.X.4_Cor,1
Cominius_Cor,Undirected,OFFICERS.1_Cor,1
Cominius_Cor,Undirected,OFFICERS.2_Cor,1
Cominius_Cor,Undirected,SENATORS.ROMAN_Cor,2
Cominius_Cor,Undirected,SENATORS.ROMAN.0.2_Cor,1
Cominius_Cor,Undirected,AEDILES_Cor,1
Cominius_Cor,Undirected,NOBLES.0.1_Cor,1
Cominius_Cor,Undirected,AEDILES.X.2_Cor,1
Cominius_Cor,Undirected,AEDILES.X.3_Cor,1
Cominius_Cor,Undirected,MESSENGERS.TRIBUNES.1_Cor,1
Cominius_Cor,Undirected,MESSENGERS.TRIBUNES.2_Cor,1
Cominius_Cor,Undirected,CITIZENS.ROMAN.0.3_Cor,1
Lartius_Cor,Undirected,TRIBUNES.Sicinius_Cor,2
Lartius_Cor,Undirected,TRIBUNES.Brutus_Cor,2
Lartius_Cor,Undirected,MESSENGERS.X.2_Cor,1
Lartius_Cor,Undirected,SENATORS.VOLSCIAN.0.1_Cor,1
Lartius_Cor,Undirected,SOLDIERS.ROMAN.0.1_Cor,2
Lartius_Cor,Undirected,SOLDIERS.ROMAN.0.2_Cor,2
Lartius_Cor,Undirected,SOLDIERS.ROMAN_Cor,2
Lartius_Cor,Undirected,SOLDIERS.ROMAN.0.3_Cor,1
Lartius_Cor,Undirected,SOLDIERS.ROMAN.Lieutenant_Cor,1
Lartius_Cor,Undirected,SENATORS.ROMAN_Cor,1
