Source,Type,Target,Weight
Saturninus_Tit,Undirected,Bassianus_Tit,3
Saturninus_Tit,Undirected,Marcus_Tit,3
Saturninus_Tit,Undirected,Captain_Tit,1
Saturninus_Tit,Undirected,Titus_Tit,4
Saturninus_Tit,Undirected,Lucius_Tit,2
Saturninus_Tit,Undirected,Tamora_Tit,4
Saturninus_Tit,Undirected,Chiron_Tit,2
Saturninus_Tit,Undirected,Demetrius_Tit,3
Saturninus_Tit,Undirected,Lavinia_Tit,3
Saturninus_Tit,Undirected,TRIBUNES_Tit,2
Saturninus_Tit,Undirected,Mutius_Tit,1
Saturninus_Tit,Undirected,Martius_Tit,2
Saturninus_Tit,Undirected,Quintus_Tit,2
Saturninus_Tit,Undirected,Aaron_Tit,2
Saturninus_Tit,Undirected,CountryFellow_Tit,1
Saturninus_Tit,Undirected,Aemilius_Tit,2
Saturninus_Tit,Undirected,GOTHS.0.1_Tit,1
Saturninus_Tit,Undirected,ATTENDANTS_Tit,1
Saturninus_Tit,Undirected,YoungLucius_Tit,1
Saturninus_Tit,Undirected,TRIBUNES.0.1_Tit,1
Bassianus_Tit,Undirected,Marcus_Tit,2
Bassianus_Tit,Undirected,Captain_Tit,1
Bassianus_Tit,Undirected,Titus_Tit,3
Bassianus_Tit,Undirected,Lucius_Tit,1
Bassianus_Tit,Undirected,Tamora_Tit,2
Bassianus_Tit,Undirected,Chiron_Tit,2
Bassianus_Tit,Undirected,Demetrius_Tit,3
Bassianus_Tit,Undirected,Lavinia_Tit,3
Bassianus_Tit,Undirected,TRIBUNES_Tit,1
Bassianus_Tit,Undirected,Mutius_Tit,1
Bassianus_Tit,Undirected,Martius_Tit,2
Bassianus_Tit,Undirected,Quintus_Tit,2
Bassianus_Tit,Undirected,Aaron_Tit,1
Marcus_Tit,Undirected,Captain_Tit,1
Marcus_Tit,Undirected,Titus_Tit,8
Marcus_Tit,Undirected,Lucius_Tit,3
Marcus_Tit,Undirected,Tamora_Tit,3
Marcus_Tit,Undirected,Chiron_Tit,3
Marcus_Tit,Undirected,Demetrius_Tit,4
Marcus_Tit,Undirected,Lavinia_Tit,2
Marcus_Tit,Undirected,TRIBUNES_Tit,2
Marcus_Tit,Undirected,Mutius_Tit,1
Marcus_Tit,Undirected,Martius_Tit,1
Marcus_Tit,Undirected,Quintus_Tit,1
Marcus_Tit,Undirected,Aaron_Tit,2
Marcus_Tit,Undirected,Messenger_Tit,1
Marcus_Tit,Undirected,YoungLucius_Tit,3
Marcus_Tit,Undirected,Publius_Tit,2
Marcus_Tit,Undirected,CountryFellow_Tit,1
Marcus_Tit,Undirected,GOTHS.0.1_Tit,1
Marcus_Tit,Undirected,Aemilius_Tit,1
Marcus_Tit,Undirected,ATTENDANTS_Tit,1
Marcus_Tit,Undirected,TRIBUNES.0.1_Tit,1
Captain_Tit,Undirected,Titus_Tit,1
Captain_Tit,Undirected,Lucius_Tit,1
Captain_Tit,Undirected,Tamora_Tit,1
Captain_Tit,Undirected,Chiron_Tit,1
Captain_Tit,Undirected,Demetrius_Tit,1
Captain_Tit,Undirected,Lavinia_Tit,1
Captain_Tit,Undirected,TRIBUNES_Tit,1
Captain_Tit,Undirected,Mutius_Tit,1
Captain_Tit,Undirected,Martius_Tit,1
Captain_Tit,Undirected,Quintus_Tit,1
Titus_Tit,Undirected,Lucius_Tit,3
Titus_Tit,Undirected,Tamora_Tit,4
Titus_Tit,Undirected,Chiron_Tit,3
Titus_Tit,Undirected,Demetrius_Tit,4
Titus_Tit,Undirected,Lavinia_Tit,3
Titus_Tit,Undirected,TRIBUNES_Tit,2
Titus_Tit,Undirected,Mutius_Tit,1
Titus_Tit,Undirected,Martius_Tit,2
Titus_Tit,Undirected,Quintus_Tit,2
Titus_Tit,Undirected,Aaron_Tit,3
Titus_Tit,Undirected,Messenger_Tit,1
Titus_Tit,Undirected,YoungLucius_Tit,3
Titus_Tit,Undirected,Publius_Tit,2
Titus_Tit,Undirected,CountryFellow_Tit,1
Titus_Tit,Undirected,GOTHS.0.1_Tit,1
Titus_Tit,Undirected,Aemilius_Tit,1
Titus_Tit,Undirected,ATTENDANTS_Tit,1
Titus_Tit,Undirected,TRIBUNES.0.1_Tit,1
Lucius_Tit,Undirected,Tamora_Tit,2
Lucius_Tit,Undirected,Chiron_Tit,1
Lucius_Tit,Undirected,Demetrius_Tit,1
Lucius_Tit,Undirected,Lavinia_Tit,1
Lucius_Tit,Undirected,TRIBUNES_Tit,2
Lucius_Tit,Undirected,Mutius_Tit,1
Lucius_Tit,Undirected,Martius_Tit,1
Lucius_Tit,Undirected,Quintus_Tit,1
Lucius_Tit,Undirected,Aaron_Tit,3
Lucius_Tit,Undirected,Messenger_Tit,1
Lucius_Tit,Undirected,GOTHS.0.1_Tit,2
Lucius_Tit,Undirected,GOTHS_Tit,1
Lucius_Tit,Undirected,GOTHS.0.2_Tit,1
Lucius_Tit,Undirected,GOTHS.0_Tit,1
Lucius_Tit,Undirected,Aemilius_Tit,2
Lucius_Tit,Undirected,ATTENDANTS_Tit,1
Lucius_Tit,Undirected,YoungLucius_Tit,1
Lucius_Tit,Undirected,TRIBUNES.0.1_Tit,1
Tamora_Tit,Undirected,Chiron_Tit,3
Tamora_Tit,Undirected,Demetrius_Tit,3
Tamora_Tit,Undirected,Lavinia_Tit,2
Tamora_Tit,Undirected,TRIBUNES_Tit,2
Tamora_Tit,Undirected,Mutius_Tit,1
Tamora_Tit,Undirected,Martius_Tit,2
Tamora_Tit,Undirected,Quintus_Tit,2
Tamora_Tit,Undirected,Aaron_Tit,2
Tamora_Tit,Undirected,CountryFellow_Tit,1
Tamora_Tit,Undirected,Aemilius_Tit,2
Tamora_Tit,Undirected,Publius_Tit,1
Tamora_Tit,Undirected,GOTHS.0.1_Tit,1
Tamora_Tit,Undirected,ATTENDANTS_Tit,1
Tamora_Tit,Undirected,YoungLucius_Tit,1
Tamora_Tit,Undirected,TRIBUNES.0.1_Tit,1
Chiron_Tit,Undirected,Demetrius_Tit,6
Chiron_Tit,Undirected,Lavinia_Tit,2
Chiron_Tit,Undirected,TRIBUNES_Tit,1
Chiron_Tit,Undirected,Mutius_Tit,1
Chiron_Tit,Undirected,Martius_Tit,2
Chiron_Tit,Undirected,Quintus_Tit,2
Chiron_Tit,Undirected,Aaron_Tit,3
Chiron_Tit,Undirected,YoungLucius_Tit,1
Chiron_Tit,Undirected,Nurse_Tit,1
Chiron_Tit,Undirected,Publius_Tit,1
Demetrius_Tit,Undirected,Lavinia_Tit,3
Demetrius_Tit,Undirected,TRIBUNES_Tit,1
Demetrius_Tit,Undirected,Mutius_Tit,1
Demetrius_Tit,Undirected,Martius_Tit,2
Demetrius_Tit,Undirected,Quintus_Tit,2
Demetrius_Tit,Undirected,Aaron_Tit,3
Demetrius_Tit,Undirected,YoungLucius_Tit,1
Demetrius_Tit,Undirected,Nurse_Tit,1
Demetrius_Tit,Undirected,Publius_Tit,1
Lavinia_Tit,Undirected,TRIBUNES_Tit,1
Lavinia_Tit,Undirected,Mutius_Tit,1
Lavinia_Tit,Undirected,Martius_Tit,2
Lavinia_Tit,Undirected,Quintus_Tit,2
Lavinia_Tit,Undirected,Aaron_Tit,1
TRIBUNES_Tit,Undirected,Mutius_Tit,1
TRIBUNES_Tit,Undirected,Martius_Tit,1
TRIBUNES_Tit,Undirected,Quintus_Tit,1
TRIBUNES_Tit,Undirected,GOTHS.0.1_Tit,1
TRIBUNES_Tit,Undirected,Aaron_Tit,1
TRIBUNES_Tit,Undirected,Aemilius_Tit,1
TRIBUNES_Tit,Undirected,ATTENDANTS_Tit,1
TRIBUNES_Tit,Undirected,YoungLucius_Tit,1
TRIBUNES_Tit,Undirected,TRIBUNES.0.1_Tit,1
Mutius_Tit,Undirected,Martius_Tit,1
Mutius_Tit,Undirected,Quintus_Tit,1
Martius_Tit,Undirected,Quintus_Tit,2
Martius_Tit,Undirected,Aaron_Tit,1
Quintus_Tit,Undirected,Aaron_Tit,1
Aaron_Tit,Undirected,Messenger_Tit,1
Aaron_Tit,Undirected,YoungLucius_Tit,2
Aaron_Tit,Undirected,Nurse_Tit,1
Aaron_Tit,Undirected,GOTHS.0.1_Tit,2
Aaron_Tit,Undirected,GOTHS_Tit,1
Aaron_Tit,Undirected,GOTHS.0.2_Tit,1
Aaron_Tit,Undirected,GOTHS.0_Tit,1
Aaron_Tit,Undirected,Aemilius_Tit,2
Aaron_Tit,Undirected,ATTENDANTS_Tit,1
Aaron_Tit,Undirected,TRIBUNES.0.1_Tit,1
YoungLucius_Tit,Undirected,Nurse_Tit,1
YoungLucius_Tit,Undirected,GOTHS.0.1_Tit,1
YoungLucius_Tit,Undirected,Aemilius_Tit,1
YoungLucius_Tit,Undirected,ATTENDANTS_Tit,1
YoungLucius_Tit,Undirected,TRIBUNES.0.1_Tit,1
Publius_Tit,Undirected,CountryFellow_Tit,1
CountryFellow_Tit,Undirected,Aemilius_Tit,1
Aemilius_Tit,Undirected,GOTHS.0.1_Tit,2
Aemilius_Tit,Undirected,GOTHS_Tit,1
Aemilius_Tit,Undirected,GOTHS.0.2_Tit,1
Aemilius_Tit,Undirected,GOTHS.0_Tit,1
Aemilius_Tit,Undirected,ATTENDANTS_Tit,1
Aemilius_Tit,Undirected,TRIBUNES.0.1_Tit,1
GOTHS.0.1_Tit,Undirected,GOTHS_Tit,1
GOTHS.0.1_Tit,Undirected,GOTHS.0.2_Tit,1
GOTHS.0.1_Tit,Undirected,GOTHS.0_Tit,1
GOTHS.0.1_Tit,Undirected,ATTENDANTS_Tit,1
GOTHS.0.1_Tit,Undirected,TRIBUNES.0.1_Tit,1
GOTHS_Tit,Undirected,GOTHS.0.2_Tit,1
