Source,Type,Target,Weight
SERVANTS.CAPULET.Sampson_Rom,Undirected,SERVANTS.CAPULET.Gregory_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,SERVANTS.MONTAGUE.Abram_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,Benvolio_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,Tybalt_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,CITIZENS_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,Capulet_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,LadyCapulet_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,Montague_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,LadyMontague_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,PrinceEscalus_Rom,1
SERVANTS.CAPULET.Sampson_Rom,Undirected,Romeo_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,SERVANTS.MONTAGUE.Abram_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,Benvolio_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,Tybalt_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,CITIZENS_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,Capulet_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,LadyCapulet_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,Montague_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,LadyMontague_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,PrinceEscalus_Rom,1
SERVANTS.CAPULET.Gregory_Rom,Undirected,Romeo_Rom,1
SERVANTS.MONTAGUE.Abram_Rom,Undirected,Benvolio_Rom,1
SERVANTS.MONTAGUE.Abram_Rom,Undirected,Tybalt_Rom,1
SERVANTS.MONTAGUE.Abram_Rom,Undirected,CITIZENS_Rom,1
SERVANTS.MONTAGUE.Abram_Rom,Undirected,Capulet_Rom,1
SERVANTS.MONTAGUE.Abram_Rom,Undirected,LadyCapulet_Rom,1
SERVANTS.MONTAGUE.Abram_Rom,Undirected,Montague_Rom,1
SERVANTS.MONTAGUE.Abram_Rom,Undirected,LadyMontague_Rom,1
SERVANTS.MONTAGUE.Abram_Rom,Undirected,PrinceEscalus_Rom,1
SERVANTS.MONTAGUE.Abram_Rom,Undirected,Romeo_Rom,1
Benvolio_Rom,Undirected,Tybalt_Rom,3
Benvolio_Rom,Undirected,CITIZENS_Rom,1
Benvolio_Rom,Undirected,Capulet_Rom,3
Benvolio_Rom,Undirected,LadyCapulet_Rom,2
Benvolio_Rom,Undirected,Montague_Rom,2
Benvolio_Rom,Undirected,LadyMontague_Rom,1
Benvolio_Rom,Undirected,PrinceEscalus_Rom,2
Benvolio_Rom,Undirected,Romeo_Rom,7
Benvolio_Rom,Undirected,Paris_Rom,1
Benvolio_Rom,Undirected,SERVANTS.CAPULET.X.1_Rom,1
Benvolio_Rom,Undirected,Mercutio_Rom,4
Benvolio_Rom,Undirected,SERVANTS.CAPULET.0.1_Rom,1
Benvolio_Rom,Undirected,SERVANTS.CAPULET.0.2_Rom,1
Benvolio_Rom,Undirected,SERVANTS.CAPULET.0.3_Rom,1
Benvolio_Rom,Undirected,Cousin_Rom,1
Benvolio_Rom,Undirected,SERVANTS.CAPULET.0_Rom,1
Benvolio_Rom,Undirected,Juliet_Rom,1
Benvolio_Rom,Undirected,Nurse_Rom,2
Benvolio_Rom,Undirected,SERVANTS.CAPULET.Peter_Rom,1
Benvolio_Rom,Undirected,Petruchio_Rom,1
Benvolio_Rom,Undirected,CITIZENS.0.1_Rom,1
Tybalt_Rom,Undirected,CITIZENS_Rom,1
Tybalt_Rom,Undirected,Capulet_Rom,2
Tybalt_Rom,Undirected,LadyCapulet_Rom,2
Tybalt_Rom,Undirected,Montague_Rom,2
Tybalt_Rom,Undirected,LadyMontague_Rom,1
Tybalt_Rom,Undirected,PrinceEscalus_Rom,2
Tybalt_Rom,Undirected,Romeo_Rom,3
Tybalt_Rom,Undirected,SERVANTS.CAPULET.0.1_Rom,1
Tybalt_Rom,Undirected,SERVANTS.CAPULET.0.2_Rom,1
Tybalt_Rom,Undirected,SERVANTS.CAPULET.0.3_Rom,1
Tybalt_Rom,Undirected,Cousin_Rom,1
Tybalt_Rom,Undirected,SERVANTS.CAPULET.0_Rom,1
Tybalt_Rom,Undirected,Juliet_Rom,1
Tybalt_Rom,Undirected,Nurse_Rom,1
Tybalt_Rom,Undirected,Mercutio_Rom,1
Tybalt_Rom,Undirected,Petruchio_Rom,1
Tybalt_Rom,Undirected,CITIZENS.0.1_Rom,1
CITIZENS_Rom,Undirected,Capulet_Rom,1
CITIZENS_Rom,Undirected,LadyCapulet_Rom,1
CITIZENS_Rom,Undirected,Montague_Rom,1
CITIZENS_Rom,Undirected,LadyMontague_Rom,1
CITIZENS_Rom,Undirected,PrinceEscalus_Rom,1
CITIZENS_Rom,Undirected,Romeo_Rom,1
Capulet_Rom,Undirected,LadyCapulet_Rom,7
Capulet_Rom,Undirected,Montague_Rom,2
Capulet_Rom,Undirected,LadyMontague_Rom,1
Capulet_Rom,Undirected,PrinceEscalus_Rom,2
Capulet_Rom,Undirected,Romeo_Rom,5
Capulet_Rom,Undirected,Paris_Rom,4
Capulet_Rom,Undirected,SERVANTS.CAPULET.X.1_Rom,1
Capulet_Rom,Undirected,SERVANTS.CAPULET.0.1_Rom,3
Capulet_Rom,Undirected,SERVANTS.CAPULET.0.2_Rom,2
Capulet_Rom,Undirected,SERVANTS.CAPULET.0.3_Rom,1
Capulet_Rom,Undirected,Cousin_Rom,1
Capulet_Rom,Undirected,SERVANTS.CAPULET.0_Rom,1
Capulet_Rom,Undirected,Juliet_Rom,4
Capulet_Rom,Undirected,Nurse_Rom,5
Capulet_Rom,Undirected,FriarLawrence_Rom,2
