Source,Type,Target,Weight
Poet_Tim,Undirected,Painter_Tim,2
Poet_Tim,Undirected,Merchant_Tim,1
Poet_Tim,Undirected,Jeweler_Tim,1
Poet_Tim,Undirected,Timon_Tim,2
Poet_Tim,Undirected,MESSENGERS.X.1_Tim,1
Poet_Tim,Undirected,OldMan_Tim,1
Poet_Tim,Undirected,SERVANTS.TIMON.Lucilius_Tim,1
Poet_Tim,Undirected,Apemantus_Tim,1
Poet_Tim,Undirected,MESSENGERS.X.2_Tim,1
Poet_Tim,Undirected,Alcibiades_Tim,1
Poet_Tim,Undirected,LORDS.0.1_Tim,1
Poet_Tim,Undirected,LORDS.0.2_Tim,1
Poet_Tim,Undirected,Flavius_Tim,1
Poet_Tim,Undirected,SENATORS.1_Tim,1
Poet_Tim,Undirected,SENATORS.2_Tim,1
Painter_Tim,Undirected,Merchant_Tim,1
Painter_Tim,Undirected,Jeweler_Tim,1
Painter_Tim,Undirected,Timon_Tim,2
Painter_Tim,Undirected,MESSENGERS.X.1_Tim,1
Painter_Tim,Undirected,OldMan_Tim,1
Painter_Tim,Undirected,SERVANTS.TIMON.Lucilius_Tim,1
Painter_Tim,Undirected,Apemantus_Tim,1
Painter_Tim,Undirected,MESSENGERS.X.2_Tim,1
Painter_Tim,Undirected,Alcibiades_Tim,1
Painter_Tim,Undirected,LORDS.0.1_Tim,1
Painter_Tim,Undirected,LORDS.0.2_Tim,1
Painter_Tim,Undirected,Flavius_Tim,1
Painter_Tim,Undirected,SENATORS.1_Tim,1
Painter_Tim,Undirected,SENATORS.2_Tim,1
Merchant_Tim,Undirected,Jeweler_Tim,1
Merchant_Tim,Undirected,Timon_Tim,1
Merchant_Tim,Undirected,MESSENGERS.X.1_Tim,1
Merchant_Tim,Undirected,OldMan_Tim,1
Merchant_Tim,Undirected,SERVANTS.TIMON.Lucilius_Tim,1
Merchant_Tim,Undirected,Apemantus_Tim,1
Merchant_Tim,Undirected,MESSENGERS.X.2_Tim,1
Merchant_Tim,Undirected,Alcibiades_Tim,1
Merchant_Tim,Undirected,LORDS.0.1_Tim,1
Merchant_Tim,Undirected,LORDS.0.2_Tim,1
Jeweler_Tim,Undirected,Timon_Tim,1
Jeweler_Tim,Undirected,MESSENGERS.X.1_Tim,1
Jeweler_Tim,Undirected,OldMan_Tim,1
Jeweler_Tim,Undirected,SERVANTS.TIMON.Lucilius_Tim,1
Jeweler_Tim,Undirected,Apemantus_Tim,1
Jeweler_Tim,Undirected,MESSENGERS.X.2_Tim,1
Jeweler_Tim,Undirected,Alcibiades_Tim,1
Jeweler_Tim,Undirected,LORDS.0.1_Tim,1
Jeweler_Tim,Undirected,LORDS.0.2_Tim,1
Timon_Tim,Undirected,MESSENGERS.X.1_Tim,1
Timon_Tim,Undirected,OldMan_Tim,1
Timon_Tim,Undirected,SERVANTS.TIMON.Lucilius_Tim,1
Timon_Tim,Undirected,Apemantus_Tim,4
Timon_Tim,Undirected,MESSENGERS.X.2_Tim,1
Timon_Tim,Undirected,Alcibiades_Tim,3
Timon_Tim,Undirected,LORDS.0.1_Tim,2
Timon_Tim,Undirected,LORDS.0.2_Tim,2
Timon_Tim,Undirected,FRIENDS.Ventidius_Tim,1
Timon_Tim,Undirected,LORDS.0.3_Tim,1
Timon_Tim,Undirected,SERVANTS.TIMON.X.1_Tim,1
Timon_Tim,Undirected,Cupid_Tim,1
Timon_Tim,Undirected,FRIENDS.Lucius_Tim,1
Timon_Tim,Undirected,LADIES.0.1_Tim,1
Timon_Tim,Undirected,LADIES_Tim,1
Timon_Tim,Undirected,Flavius_Tim,5
Timon_Tim,Undirected,ATTENDANTS.TIMON.0.1_Tim,1
Timon_Tim,Undirected,SERVANTS.TIMON.1_Tim,1
Timon_Tim,Undirected,SERVANTS.TIMON.2_Tim,1
Timon_Tim,Undirected,SERVANTS.TIMON.3_Tim,1
Timon_Tim,Undirected,LORDS_Tim,1
Timon_Tim,Undirected,SERVANTS.Caphis_Tim,1
Timon_Tim,Undirected,SERVANTS.VARRO.1_Tim,2
Timon_Tim,Undirected,SERVANTS.ISIDORE.1_Tim,1
Timon_Tim,Undirected,Fool_Tim,1
Timon_Tim,Undirected,SERVANTS.Page_Tim,1
Timon_Tim,Undirected,SERVANTS.TIMON.Flaminius_Tim,2
Timon_Tim,Undirected,SERVANTS.TIMON.Servilius_Tim,2
Timon_Tim,Undirected,SERVANTS.TIMON.X.2_Tim,1
Timon_Tim,Undirected,SERVANTS.Titus_Tim,1
Timon_Tim,Undirected,SERVANTS.Hortensius_Tim,1
Timon_Tim,Undirected,SERVANTS.LUCIUS.1_Tim,1
Timon_Tim,Undirected,SERVANTS.Philotus_Tim,1
Timon_Tim,Undirected,SERVANTS.VARRO.2_Tim,1
Timon_Tim,Undirected,FRIENDS.0.1_Tim,1
Timon_Tim,Undirected,FRIENDS.0.2_Tim,1
Timon_Tim,Undirected,FRIENDS.0.3_Tim,1
Timon_Tim,Undirected,FRIENDS.0_Tim,1
Timon_Tim,Undirected,FRIENDS.0.4_Tim,1
Timon_Tim,Undirected,Phrynia_Tim,1
Timon_Tim,Undirected,Timandra_Tim,1
Timon_Tim,Undirected,BANDITS.1_Tim,1
Timon_Tim,Undirected,BANDITS.2_Tim,1
Timon_Tim,Undirected,BANDITS.3_Tim,1
Timon_Tim,Undirected,SENATORS.1_Tim,1
Timon_Tim,Undirected,SENATORS.2_Tim,1
MESSENGERS.X.1_Tim,Undirected,OldMan_Tim,1
MESSENGERS.X.1_Tim,Undirected,SERVANTS.TIMON.Lucilius_Tim,1
MESSENGERS.X.1_Tim,Undirected,Apemantus_Tim,1
MESSENGERS.X.1_Tim,Undirected,MESSENGERS.X.2_Tim,1
MESSENGERS.X.1_Tim,Undirected,Alcibiades_Tim,1
MESSENGERS.X.1_Tim,Undirected,LORDS.0.1_Tim,1
MESSENGERS.X.1_Tim,Undirected,LORDS.0.2_Tim,1
OldMan_Tim,Undirected,SERVANTS.TIMON.Lucilius_Tim,1
OldMan_Tim,Undirected,Apemantus_Tim,1
OldMan_Tim,Undirected,MESSENGERS.X.2_Tim,1
OldMan_Tim,Undirected,Alcibiades_Tim,1
OldMan_Tim,Undirected,LORDS.0.1_Tim,1
OldMan_Tim,Undirected,LORDS.0.2_Tim,1
SERVANTS.TIMON.Lucilius_Tim,Undirected,Apemantus_Tim,1
SERVANTS.TIMON.Lucilius_Tim,Undirected,MESSENGERS.X.2_Tim,1
SERVANTS.TIMON.Lucilius_Tim,Undirected,Alcibiades_Tim,1
SERVANTS.TIMON.Lucilius_Tim,Undirected,LORDS.0.1_Tim,1
SERVANTS.TIMON.Lucilius_Tim,Undirected,LORDS.0.2_Tim,1
Apemantus_Tim,Undirected,MESSENGERS.X.2_Tim,1
Apemantus_Tim,Undirected,Alcibiades_Tim,3
Apemantus_Tim,Undirected,LORDS.0.1_Tim,2
Apemantus_Tim,Undirected,LORDS.0.2_Tim,2
Apemantus_Tim,Undirected,FRIENDS.Ventidius_Tim,1
Apemantus_Tim,Undirected,LORDS.0.3_Tim,1
Apemantus_Tim,Undirected,SERVANTS.TIMON.X.1_Tim,1
Apemantus_Tim,Undirected,Cupid_Tim,1
Apemantus_Tim,Undirected,FRIENDS.Lucius_Tim,1
Apemantus_Tim,Undirected,LADIES.0.1_Tim,1
Apemantus_Tim,Undirected,LADIES_Tim,1
Apemantus_Tim,Undirected,Flavius_Tim,3
Apemantus_Tim,Undirected,ATTENDANTS.TIMON.0.1_Tim,1
Apemantus_Tim,Undirected,SERVANTS.TIMON.1_Tim,1
Apemantus_Tim,Undirected,SERVANTS.TIMON.2_Tim,1
Apemantus_Tim,Undirected,SERVANTS.TIMON.3_Tim,1
Apemantus_Tim,Undirected,LORDS_Tim,1
Apemantus_Tim,Undirected,SERVANTS.Caphis_Tim,1
Apemantus_Tim,Undirected,SERVANTS.VARRO.1_Tim,1
Apemantus_Tim,Undirected,SERVANTS.ISIDORE.1_Tim,1
Apemantus_Tim,Undirected,Fool_Tim,1
