Source,Type,Target,Weight
Flavius_JC,Undirected,COMMONERS.Carpenter_JC,1
Flavius_JC,Undirected,Marullus_JC,1
Flavius_JC,Undirected,COMMONERS.Cobbler_JC,1
COMMONERS.Carpenter_JC,Undirected,Marullus_JC,1
COMMONERS.Carpenter_JC,Undirected,COMMONERS.Cobbler_JC,1
Marullus_JC,Undirected,COMMONERS.Cobbler_JC,1
Caesar_JC,Undirected,Casca_JC,2
Caesar_JC,Undirected,Calphurnia_JC,2
Caesar_JC,Undirected,Antony_JC,3
Caesar_JC,Undirected,Soothsayer_JC,2
Caesar_JC,Undirected,Brutus_JC,4
Caesar_JC,Undirected,Cassius_JC,3
Caesar_JC,Undirected,SERVANTS.CAESAR.1_JC,1
Caesar_JC,Undirected,Decius_JC,2
Caesar_JC,Undirected,Publius_JC,2
Caesar_JC,Undirected,Trebonius_JC,2
Caesar_JC,Undirected,Artemidorus_JC,1
Caesar_JC,Undirected,Popilius_JC,1
Caesar_JC,Undirected,Cinna_JC,1
Caesar_JC,Undirected,Metellus_JC,1
Caesar_JC,Undirected,SERVANTS.ANTONY.1_JC,1
Caesar_JC,Undirected,SERVANTS.OCTAVIUS.1_JC,1
Caesar_JC,Undirected,Poet_JC,1
Caesar_JC,Undirected,SOLDIERS.BRUTUS.Lucilius_JC,1
Caesar_JC,Undirected,SOLDIERS.BRUTUS.Messala_JC,1
Caesar_JC,Undirected,SOLDIERS.BRUTUS.Titinius_JC,1
Caesar_JC,Undirected,Lucius_JC,1
Caesar_JC,Undirected,SOLDIERS.BRUTUS.Varro_JC,1
Caesar_JC,Undirected,SOLDIERS.BRUTUS.Claudius_JC,1
Casca_JC,Undirected,Calphurnia_JC,1
Casca_JC,Undirected,Antony_JC,2
Casca_JC,Undirected,Soothsayer_JC,2
Casca_JC,Undirected,Brutus_JC,3
Casca_JC,Undirected,Cassius_JC,4
Casca_JC,Undirected,Cicero_JC,1
Casca_JC,Undirected,Cinna_JC,3
Casca_JC,Undirected,Lucius_JC,1
Casca_JC,Undirected,Decius_JC,2
Casca_JC,Undirected,Metellus_JC,2
Casca_JC,Undirected,Trebonius_JC,2
Casca_JC,Undirected,Portia_JC,1
Casca_JC,Undirected,Ligarius_JC,1
Casca_JC,Undirected,Artemidorus_JC,1
Casca_JC,Undirected,Publius_JC,1
Casca_JC,Undirected,Popilius_JC,1
Casca_JC,Undirected,SERVANTS.ANTONY.1_JC,1
Casca_JC,Undirected,SERVANTS.OCTAVIUS.1_JC,1
Calphurnia_JC,Undirected,Antony_JC,2
Calphurnia_JC,Undirected,Soothsayer_JC,1
Calphurnia_JC,Undirected,Brutus_JC,2
Calphurnia_JC,Undirected,Cassius_JC,1
Calphurnia_JC,Undirected,SERVANTS.CAESAR.1_JC,1
Calphurnia_JC,Undirected,Decius_JC,1
Calphurnia_JC,Undirected,Publius_JC,1
Calphurnia_JC,Undirected,Trebonius_JC,1
Antony_JC,Undirected,Soothsayer_JC,2
Antony_JC,Undirected,Brutus_JC,7
Antony_JC,Undirected,Cassius_JC,3
Antony_JC,Undirected,SERVANTS.CAESAR.1_JC,1
Antony_JC,Undirected,Decius_JC,2
Antony_JC,Undirected,Publius_JC,2
Antony_JC,Undirected,Trebonius_JC,2
Antony_JC,Undirected,Artemidorus_JC,1
Antony_JC,Undirected,Popilius_JC,1
Antony_JC,Undirected,Cinna_JC,1
Antony_JC,Undirected,Metellus_JC,1
Antony_JC,Undirected,SERVANTS.ANTONY.1_JC,1
Antony_JC,Undirected,SERVANTS.OCTAVIUS.1_JC,2
Antony_JC,Undirected,PLEBEIANS_JC,1
Antony_JC,Undirected,PLEBEIANS.0.1_JC,1
Antony_JC,Undirected,PLEBEIANS.0.2_JC,1
Antony_JC,Undirected,PLEBEIANS.0.3_JC,1
Antony_JC,Undirected,PLEBEIANS.0.4_JC,1
Antony_JC,Undirected,Octavius_JC,3
Antony_JC,Undirected,Lepidus_JC,1
Antony_JC,Undirected,Messenger_JC,1
Antony_JC,Undirected,SOLDIERS.BRUTUS.Lucilius_JC,3
