Source,Type,Target,Weight
WITCHES.1_Mac,Undirected,WITCHES.2_Mac,3
WITCHES.1_Mac,Undirected,WITCHES.3_Mac,3
WITCHES.1_Mac,Undirected,Macbeth_Mac,2
WITCHES.1_Mac,Undirected,Banquo_Mac,1
WITCHES.1_Mac,Undirected,Ross_Mac,1
WITCHES.1_Mac,Undirected,Angus_Mac,1
WITCHES.1_Mac,Undirected,Hecate_Mac,2
WITCHES.1_Mac,Undirected,SPIRITS.1_Mac,1
WITCHES.1_Mac,Undirected,SPIRITS.2_Mac,1
WITCHES.1_Mac,Undirected,SPIRITS.3_Mac,1
WITCHES.1_Mac,Undirected,Lennox_Mac,1
WITCHES.2_Mac,Undirected,WITCHES.3_Mac,3
WITCHES.2_Mac,Undirected,Macbeth_Mac,2
WITCHES.2_Mac,Undirected,Banquo_Mac,1
WITCHES.2_Mac,Undirected,Ross_Mac,1
WITCHES.2_Mac,Undirected,Angus_Mac,1
WITCHES.2_Mac,Undirected,Hecate_Mac,1
WITCHES.2_Mac,Undirected,SPIRITS.1_Mac,1
WITCHES.2_Mac,Undirected,SPIRITS.2_Mac,1
WITCHES.2_Mac,Undirected,SPIRITS.3_Mac,1
WITCHES.2_Mac,Undirected,Lennox_Mac,1
WITCHES.3_Mac,Undirected,Macbeth_Mac,2
WITCHES.3_Mac,Undirected,Banquo_Mac,1
WITCHES.3_Mac,Undirected,Ross_Mac,1
WITCHES.3_Mac,Undirected,Angus_Mac,1
WITCHES.3_Mac,Undirected,Hecate_Mac,1
WITCHES.3_Mac,Undirected,SPIRITS.1_Mac,1
WITCHES.3_Mac,Undirected,SPIRITS.2_Mac,1
WITCHES.3_Mac,Undirected,SPIRITS.3_Mac,1
WITCHES.3_Mac,Undirected,Lennox_Mac,1
Duncan_Mac,Undirected,Malcolm_Mac,2
Duncan_Mac,Undirected,SOLDIERS.Captain_Mac,1
Duncan_Mac,Undirected,Lennox_Mac,1
Duncan_Mac,Undirected,Ross_Mac,1
Duncan_Mac,Undirected,Macbeth_Mac,1
Duncan_Mac,Undirected,Banquo_Mac,2
Duncan_Mac,Undirected,LadyMacbeth_Mac,1
Malcolm_Mac,Undirected,SOLDIERS.Captain_Mac,1
Malcolm_Mac,Undirected,Lennox_Mac,2
Malcolm_Mac,Undirected,Ross_Mac,4
Malcolm_Mac,Undirected,Macbeth_Mac,4
Malcolm_Mac,Undirected,Banquo_Mac,2
Malcolm_Mac,Undirected,Porter_Mac,1
Malcolm_Mac,Undirected,Macduff_Mac,6
Malcolm_Mac,Undirected,LadyMacbeth_Mac,1
