Source,Type,Target,Weight
Kent_Lr,Undirected,Gloucester_Lr,5
Kent_Lr,Undirected,Edmund_Lr,3
Kent_Lr,Undirected,Lear_Lr,9
Kent_Lr,Undirected,Goneril_Lr,4
Kent_Lr,Undirected,Cordelia_Lr,3
Kent_Lr,Undirected,Regan_Lr,4
Kent_Lr,Undirected,Albany_Lr,3
Kent_Lr,Undirected,Cornwall_Lr,3
Kent_Lr,Undirected,Burgundy_Lr,1
Kent_Lr,Undirected,France_Lr,1
Kent_Lr,Undirected,Oswald_Lr,2
Kent_Lr,Undirected,ATTENDANTS.LEAR.0.3_Lr,1
Kent_Lr,Undirected,Fool_Lr,6
Kent_Lr,Undirected,ATTENDANTS.X.1_Lr,1
Kent_Lr,Undirected,ATTENDANTS.X.2_Lr,1
Kent_Lr,Undirected,ATTENDANTS.X.3_Lr,1
Kent_Lr,Undirected,Edgar_Lr,3
Kent_Lr,Undirected,ATTENDANTS.X.4_Lr,1
Kent_Lr,Undirected,Doctor_Lr,1
Kent_Lr,Undirected,ATTENDANTS.CORDELIA.1_Lr,2
Kent_Lr,Undirected,SOLDIERS.CAPTAINS.1_Lr,1
Kent_Lr,Undirected,SOLDIERS.CAPTAINS.2_Lr,1
Kent_Lr,Undirected,Herald_Lr,1
Kent_Lr,Undirected,ATTENDANTS.ALBANY_Lr,1
Kent_Lr,Undirected,MESSENGERS.X.3_Lr,1
Gloucester_Lr,Undirected,Edmund_Lr,5
Gloucester_Lr,Undirected,Lear_Lr,5
Gloucester_Lr,Undirected,Goneril_Lr,3
Gloucester_Lr,Undirected,Cordelia_Lr,1
Gloucester_Lr,Undirected,Regan_Lr,5
Gloucester_Lr,Undirected,Albany_Lr,1
Gloucester_Lr,Undirected,Cornwall_Lr,5
Gloucester_Lr,Undirected,Burgundy_Lr,1
Gloucester_Lr,Undirected,France_Lr,1
Gloucester_Lr,Undirected,Edgar_Lr,7
Gloucester_Lr,Undirected,Curan_Lr,1
Gloucester_Lr,Undirected,Oswald_Lr,3
Gloucester_Lr,Undirected,ATTENDANTS.X.2_Lr,1
Gloucester_Lr,Undirected,Fool_Lr,3
Gloucester_Lr,Undirected,SERVANTS.0.1_Lr,1
Gloucester_Lr,Undirected,SERVANTS.0.2_Lr,1
Gloucester_Lr,Undirected,SERVANTS.0.3_Lr,1
Gloucester_Lr,Undirected,OldMan_Lr,1
Gloucester_Lr,Undirected,ATTENDANTS.CORDELIA.1_Lr,1
Edmund_Lr,Undirected,Lear_Lr,2
Edmund_Lr,Undirected,Goneril_Lr,4
Edmund_Lr,Undirected,Cordelia_Lr,2
Edmund_Lr,Undirected,Regan_Lr,5
Edmund_Lr,Undirected,Albany_Lr,4
Edmund_Lr,Undirected,Cornwall_Lr,4
Edmund_Lr,Undirected,Burgundy_Lr,1
