Source,Type,Target,Weight
Roderigo_Oth,Undirected,Iago_Oth,7
Roderigo_Oth,Undirected,Brabantio_Oth,3
Roderigo_Oth,Undirected,Othello_Oth,6
Roderigo_Oth,Undirected,Cassio_Oth,4
Roderigo_Oth,Undirected,OFFICERS_Oth,1
Roderigo_Oth,Undirected,Duke_Oth,1
Roderigo_Oth,Undirected,SENATORS.0.1_Oth,1
Roderigo_Oth,Undirected,SENATORS.0.2_Oth,1
Roderigo_Oth,Undirected,Sailor_Oth,1
Roderigo_Oth,Undirected,OFFICERS.0.1_Oth,1
Roderigo_Oth,Undirected,MESSENGERS.X.1_Oth,1
Roderigo_Oth,Undirected,SENATORS_Oth,1
Roderigo_Oth,Undirected,Desdemona_Oth,4
Roderigo_Oth,Undirected,Montano_Oth,2
Roderigo_Oth,Undirected,GENTLEMEN.1_Oth,1
Roderigo_Oth,Undirected,GENTLEMEN.2_Oth,1
Roderigo_Oth,Undirected,GENTLEMEN.3_Oth,1
Roderigo_Oth,Undirected,MESSENGERS.X.2_Oth,1
Roderigo_Oth,Undirected,Emilia_Oth,3
Roderigo_Oth,Undirected,GENTLEMEN_Oth,1
Roderigo_Oth,Undirected,Gratiano_Oth,1
Roderigo_Oth,Undirected,Lodovico_Oth,1
Roderigo_Oth,Undirected,Bianca_Oth,1
Iago_Oth,Undirected,Brabantio_Oth,3
Iago_Oth,Undirected,Othello_Oth,11
Iago_Oth,Undirected,Cassio_Oth,9
Iago_Oth,Undirected,OFFICERS_Oth,1
Iago_Oth,Undirected,Duke_Oth,1
Iago_Oth,Undirected,SENATORS.0.1_Oth,1
Iago_Oth,Undirected,SENATORS.0.2_Oth,1
Iago_Oth,Undirected,Sailor_Oth,1
Iago_Oth,Undirected,OFFICERS.0.1_Oth,1
Iago_Oth,Undirected,MESSENGERS.X.1_Oth,1
Iago_Oth,Undirected,SENATORS_Oth,1
Iago_Oth,Undirected,Desdemona_Oth,8
Iago_Oth,Undirected,Montano_Oth,3
Iago_Oth,Undirected,GENTLEMEN.1_Oth,1
Iago_Oth,Undirected,GENTLEMEN.2_Oth,1
Iago_Oth,Undirected,GENTLEMEN.3_Oth,1
Iago_Oth,Undirected,MESSENGERS.X.2_Oth,1
Iago_Oth,Undirected,Emilia_Oth,7
Iago_Oth,Undirected,GENTLEMEN_Oth,1
Iago_Oth,Undirected,Clown_Oth,2
Iago_Oth,Undirected,MUSICIANS.0.1_Oth,1
Iago_Oth,Undirected,GENTLEMEN.0.1_Oth,1
Iago_Oth,Undirected,Bianca_Oth,4
Iago_Oth,Undirected,Lodovico_Oth,3
Iago_Oth,Undirected,Gratiano_Oth,2
Brabantio_Oth,Undirected,Othello_Oth,2
Brabantio_Oth,Undirected,Cassio_Oth,1
Brabantio_Oth,Undirected,OFFICERS_Oth,1
Brabantio_Oth,Undirected,Duke_Oth,1
Brabantio_Oth,Undirected,SENATORS.0.1_Oth,1
Brabantio_Oth,Undirected,SENATORS.0.2_Oth,1
Brabantio_Oth,Undirected,Sailor_Oth,1
Brabantio_Oth,Undirected,OFFICERS.0.1_Oth,1
Brabantio_Oth,Undirected,MESSENGERS.X.1_Oth,1
Brabantio_Oth,Undirected,SENATORS_Oth,1
Brabantio_Oth,Undirected,Desdemona_Oth,1
Othello_Oth,Undirected,Cassio_Oth,8
Othello_Oth,Undirected,OFFICERS_Oth,1
Othello_Oth,Undirected,Duke_Oth,1
Othello_Oth,Undirected,SENATORS.0.1_Oth,1
Othello_Oth,Undirected,SENATORS.0.2_Oth,1
Othello_Oth,Undirected,Sailor_Oth,1
Othello_Oth,Undirected,OFFICERS.0.1_Oth,1
Othello_Oth,Undirected,MESSENGERS.X.1_Oth,1
Othello_Oth,Undirected,SENATORS_Oth,1
Othello_Oth,Undirected,Desdemona_Oth,9
Othello_Oth,Undirected,Montano_Oth,3
Othello_Oth,Undirected,GENTLEMEN.1_Oth,1
Othello_Oth,Undirected,GENTLEMEN.2_Oth,1
Othello_Oth,Undirected,GENTLEMEN.3_Oth,1
Othello_Oth,Undirected,MESSENGERS.X.2_Oth,1
Othello_Oth,Undirected,Emilia_Oth,7
Othello_Oth,Undirected,GENTLEMEN_Oth,1
Othello_Oth,Undirected,GENTLEMEN.0.1_Oth,1
Othello_Oth,Undirected,Clown_Oth,1
Othello_Oth,Undirected,Bianca_Oth,4
Othello_Oth,Undirected,Lodovico_Oth,4
Othello_Oth,Undirected,Gratiano_Oth,2
Cassio_Oth,Undirected,OFFICERS_Oth,1
Cassio_Oth,Undirected,Montano_Oth,3
Cassio_Oth,Undirected,GENTLEMEN.1_Oth,1
Cassio_Oth,Undirected,GENTLEMEN.2_Oth,1
Cassio_Oth,Undirected,GENTLEMEN.3_Oth,1
Cassio_Oth,Undirected,MESSENGERS.X.2_Oth,1
Cassio_Oth,Undirected,Desdemona_Oth,6
Cassio_Oth,Undirected,Emilia_Oth,6
Cassio_Oth,Undirected,GENTLEMEN_Oth,1
Cassio_Oth,Undirected,Clown_Oth,2
Cassio_Oth,Undirected,MUSICIANS.0.1_Oth,1
Cassio_Oth,Undirected,Bianca_Oth,4
Cassio_Oth,Undirected,Lodovico_Oth,3
Cassio_Oth,Undirected,Gratiano_Oth,2
Duke_Oth,Undirected,SENATORS.0.1_Oth,1
Duke_Oth,Undirected,SENATORS.0.2_Oth,1
Duke_Oth,Undirected,Sailor_Oth,1
Duke_Oth,Undirected,OFFICERS.0.1_Oth,1
Duke_Oth,Undirected,MESSENGERS.X.1_Oth,1
Duke_Oth,Undirected,SENATORS_Oth,1
Duke_Oth,Undirected,Desdemona_Oth,1
SENATORS.0.1_Oth,Undirected,SENATORS.0.2_Oth,1
SENATORS.0.1_Oth,Undirected,Sailor_Oth,1
SENATORS.0.1_Oth,Undirected,OFFICERS.0.1_Oth,1
SENATORS.0.1_Oth,Undirected,MESSENGERS.X.1_Oth,1
SENATORS.0.1_Oth,Undirected,SENATORS_Oth,1
SENATORS.0.1_Oth,Undirected,Desdemona_Oth,1
SENATORS.0.2_Oth,Undirected,Sailor_Oth,1
SENATORS.0.2_Oth,Undirected,OFFICERS.0.1_Oth,1
SENATORS.0.2_Oth,Undirected,MESSENGERS.X.1_Oth,1
SENATORS.0.2_Oth,Undirected,SENATORS_Oth,1
SENATORS.0.2_Oth,Undirected,Desdemona_Oth,1
Sailor_Oth,Undirected,OFFICERS.0.1_Oth,1
Sailor_Oth,Undirected,MESSENGERS.X.1_Oth,1
Sailor_Oth,Undirected,SENATORS_Oth,1
Sailor_Oth,Undirected,Desdemona_Oth,1
OFFICERS.0.1_Oth,Undirected,MESSENGERS.X.1_Oth,1
OFFICERS.0.1_Oth,Undirected,SENATORS_Oth,1
OFFICERS.0.1_Oth,Undirected,Desdemona_Oth,1
MESSENGERS.X.1_Oth,Undirected,SENATORS_Oth,1
MESSENGERS.X.1_Oth,Undirected,Desdemona_Oth,1
SENATORS_Oth,Undirected,Desdemona_Oth,1
Desdemona_Oth,Undirected,Montano_Oth,3
Desdemona_Oth,Undirected,GENTLEMEN.1_Oth,1
Desdemona_Oth,Undirected,GENTLEMEN.2_Oth,1
Desdemona_Oth,Undirected,GENTLEMEN.3_Oth,1
Desdemona_Oth,Undirected,MESSENGERS.X.2_Oth,1
Desdemona_Oth,Undirected,Emilia_Oth,6
Desdemona_Oth,Undirected,GENTLEMEN_Oth,1
Desdemona_Oth,Undirected,Clown_Oth,1
Desdemona_Oth,Undirected,Bianca_Oth,3
Desdemona_Oth,Undirected,Lodovico_Oth,3
Desdemona_Oth,Undirected,Gratiano_Oth,1
Montano_Oth,Undirected,GENTLEMEN.1_Oth,1
Montano_Oth,Undirected,GENTLEMEN.2_Oth,1
Montano_Oth,Undirected,GENTLEMEN.3_Oth,1
Montano_Oth,Undirected,MESSENGERS.X.2_Oth,1
Montano_Oth,Undirected,Emilia_Oth,2
Montano_Oth,Undirected,GENTLEMEN_Oth,1
Montano_Oth,Undirected,Gratiano_Oth,1
Montano_Oth,Undirected,Bianca_Oth,1
Montano_Oth,Undirected,Lodovico_Oth,1
GENTLEMEN.1_Oth,Undirected,GENTLEMEN.2_Oth,1
GENTLEMEN.1_Oth,Undirected,GENTLEMEN.3_Oth,1
GENTLEMEN.1_Oth,Undirected,MESSENGERS.X.2_Oth,1
GENTLEMEN.1_Oth,Undirected,Emilia_Oth,1
GENTLEMEN.2_Oth,Undirected,GENTLEMEN.3_Oth,1
GENTLEMEN.2_Oth,Undirected,MESSENGERS.X.2_Oth,1
GENTLEMEN.2_Oth,Undirected,Emilia_Oth,1
GENTLEMEN.3_Oth,Undirected,MESSENGERS.X.2_Oth,1
GENTLEMEN.3_Oth,Undirected,Emilia_Oth,1
MESSENGERS.X.2_Oth,Undirected,Emilia_Oth,1
Emilia_Oth,Undirected,Clown_Oth,2
Emilia_Oth,Undirected,MUSICIANS.0.1_Oth,1
Emilia_Oth,Undirected,Bianca_Oth,3
Emilia_Oth,Undirected,Lodovico_Oth,3
Emilia_Oth,Undirected,Gratiano_Oth,2
Clown_Oth,Undirected,MUSICIANS.0.1_Oth,1
Clown_Oth,Undirected,Bianca_Oth,1
Bianca_Oth,Undirected,Lodovico_Oth,3
Bianca_Oth,Undirected,Gratiano_Oth,2
Lodovico_Oth,Undirected,Gratiano_Oth,2
