Source,Type,Target,Weight
Philo_Ant,Undirected,Cleopatra_Ant,1
Philo_Ant,Undirected,Antony_JC,1
Philo_Ant,Undirected,MESSENGERS.X.1_Ant,1
Philo_Ant,Undirected,Demetrius_Ant,1
Cleopatra_Ant,Undirected,Antony_JC,11
Cleopatra_Ant,Undirected,MESSENGERS.X.1_Ant,1
Cleopatra_Ant,Undirected,Demetrius_Ant,1
Cleopatra_Ant,Undirected,Charmian_Ant,10
Cleopatra_Ant,Undirected,Alexas_Ant,4
Cleopatra_Ant,Undirected,Soothsayer_Ant,1
Cleopatra_Ant,Undirected,Enobarbus_Ant,4
Cleopatra_Ant,Undirected,Iras_Ant,5
Cleopatra_Ant,Undirected,MESSENGERS.ANTONY.1_Ant,1
Cleopatra_Ant,Undirected,MESSENGERS.ANTONY.2_Ant,1
Cleopatra_Ant,Undirected,MESSENGERS.ANTONY.3_Ant,1
Cleopatra_Ant,Undirected,Mardian_Ant,2
Cleopatra_Ant,Undirected,MESSENGERS.X.2_Ant,2
Cleopatra_Ant,Undirected,Canidius_Ant,1
Cleopatra_Ant,Undirected,MESSENGERS.X.3_Ant,1
Cleopatra_Ant,Undirected,SOLDIERS.ANTONY.X.1_Ant,1
Cleopatra_Ant,Undirected,MESSENGERS.X.4_Ant,1
Cleopatra_Ant,Undirected,ATTENDANTS.ANTONY_Ant,1
Cleopatra_Ant,Undirected,Eros_Ant,2
Cleopatra_Ant,Undirected,Ambassador_Ant,1
Cleopatra_Ant,Undirected,SERVANTS.X.1_Ant,1
Cleopatra_Ant,Undirected,Thidias_Ant,1
Cleopatra_Ant,Undirected,SERVANTS.X.2_Ant,1
Cleopatra_Ant,Undirected,SERVANTS_Ant,1
Cleopatra_Ant,Undirected,SOLDIERS.ANTONY.X.2_Ant,1
Cleopatra_Ant,Undirected,CAPTAINS.0.1_Ant,1
Cleopatra_Ant,Undirected,CAPTAINS_Ant,1
Cleopatra_Ant,Undirected,SOLDIERS.ANTONY_Ant,1
Cleopatra_Ant,Undirected,Scarus_Ant,1
Cleopatra_Ant,Undirected,Diomedes_Ant,1
Cleopatra_Ant,Undirected,LADIES_Ant,1
Cleopatra_Ant,Undirected,GUARDS_Ant,1
Cleopatra_Ant,Undirected,Proculeius_Ant,1
Cleopatra_Ant,Undirected,Gallus_Ant,1
Cleopatra_Ant,Undirected,Dolabella_Ant,1
Cleopatra_Ant,Undirected,Maecenas_Ant,1
Cleopatra_Ant,Undirected,ATTENDANTS.CAESAR_Ant,1
Cleopatra_Ant,Undirected,Octavius_JC,1
Cleopatra_Ant,Undirected,Seleucus_Ant,1
Cleopatra_Ant,Undirected,GUARDS.CAESAR.1_Ant,1
Cleopatra_Ant,Undirected,Countryman_Ant,1
Cleopatra_Ant,Undirected,GUARDS.CAESAR.0.1_Ant,1
Cleopatra_Ant,Undirected,GUARDS.CAESAR.0.2_Ant,1
Antony_JC,Undirected,MESSENGERS.X.1_Ant,1
Antony_JC,Undirected,Demetrius_Ant,1
Antony_JC,Undirected,Charmian_Ant,5
Antony_JC,Undirected,Alexas_Ant,1
Antony_JC,Undirected,Soothsayer_Ant,2
Antony_JC,Undirected,Enobarbus_Ant,8
Antony_JC,Undirected,Iras_Ant,3
Antony_JC,Undirected,MESSENGERS.ANTONY.1_Ant,1
Antony_JC,Undirected,MESSENGERS.ANTONY.2_Ant,1
Antony_JC,Undirected,MESSENGERS.ANTONY.3_Ant,1
Antony_JC,Undirected,Lepidus_JC,4
Antony_JC,Undirected,Octavius_JC,5
Antony_JC,Undirected,Maecenas_Ant,3
