Source,Type,Target,Weight
ATTENDANTS.1_Cym,Undirected,ATTENDANTS.2_Cym,1
ATTENDANTS.1_Cym,Undirected,Queen_Cym,1
ATTENDANTS.1_Cym,Undirected,Posthumus_Cym,1
ATTENDANTS.1_Cym,Undirected,Imogen_Cym,1
ATTENDANTS.1_Cym,Undirected,Cymbeline_Cym,1
ATTENDANTS.1_Cym,Undirected,Pisanio_Cym,1
ATTENDANTS.2_Cym,Undirected,Queen_Cym,1
ATTENDANTS.2_Cym,Undirected,Posthumus_Cym,1
ATTENDANTS.2_Cym,Undirected,Imogen_Cym,1
ATTENDANTS.2_Cym,Undirected,Cymbeline_Cym,1
ATTENDANTS.2_Cym,Undirected,Pisanio_Cym,1
Queen_Cym,Undirected,Posthumus_Cym,1
Queen_Cym,Undirected,Imogen_Cym,2
Queen_Cym,Undirected,Cymbeline_Cym,4
Queen_Cym,Undirected,Pisanio_Cym,4
Queen_Cym,Undirected,LADIES.QUEEN.0.1_Cym,1
Queen_Cym,Undirected,Cornelius_Cym,1
Queen_Cym,Undirected,ATTENDANTS.CLOTEN.1_Cym,1
Queen_Cym,Undirected,Cloten_Cym,3
Queen_Cym,Undirected,MUSICIANS_Cym,1
Queen_Cym,Undirected,ATTENDANTS.CLOTEN.2_Cym,1
Queen_Cym,Undirected,MESSENGERS.1_Cym,1
Queen_Cym,Undirected,LADIES.IMOGEN_Cym,1
Queen_Cym,Undirected,Lucius_Cym,2
Queen_Cym,Undirected,ATTENDANTS.0.1_Cym,1
Posthumus_Cym,Undirected,Imogen_Cym,2
Posthumus_Cym,Undirected,Cymbeline_Cym,2
Posthumus_Cym,Undirected,Pisanio_Cym,2
Posthumus_Cym,Undirected,Iachimo_Cym,3
Posthumus_Cym,Undirected,Philario_Cym,2
Posthumus_Cym,Undirected,Frenchman_Cym,1
Posthumus_Cym,Undirected,ATTENDANTS.3_Cym,1
Posthumus_Cym,Undirected,SOLDIERS.BRITON.0.1_Cym,1
Posthumus_Cym,Undirected,SOLDIERS.BRITON.0.2_Cym,1
Posthumus_Cym,Undirected,JAILERS.1_Cym,1
Posthumus_Cym,Undirected,JAILERS.2_Cym,1
Posthumus_Cym,Undirected,GHOSTS.Father_Cym,1
Posthumus_Cym,Undirected,GHOSTS.Mother_Cym,1
Posthumus_Cym,Undirected,GHOSTS.BROTHERS.1_Cym,1
Posthumus_Cym,Undirected,GHOSTS.BROTHERS.2_Cym,1
Posthumus_Cym,Undirected,Jupiter_Cym,1
Posthumus_Cym,Undirected,MESSENGERS.2_Cym,1
Posthumus_Cym,Undirected,Belarius_Cym,1
Posthumus_Cym,Undirected,Cornelius_Cym,1
Posthumus_Cym,Undirected,LADIES.QUEEN_Cym,1
Posthumus_Cym,Undirected,Lucius_Cym,1
Posthumus_Cym,Undirected,Arviragus_Cym,1
Posthumus_Cym,Undirected,Guiderius_Cym,1
Posthumus_Cym,Undirected,Soothsayer_Cym,1
Imogen_Cym,Undirected,Cymbeline_Cym,3
Imogen_Cym,Undirected,Pisanio_Cym,7
Imogen_Cym,Undirected,LADIES.IMOGEN_Cym,3
Imogen_Cym,Undirected,Iachimo_Cym,3
Imogen_Cym,Undirected,ATTENDANTS.CLOTEN.1_Cym,1
Imogen_Cym,Undirected,Cloten_Cym,2
Imogen_Cym,Undirected,MUSICIANS_Cym,1
Imogen_Cym,Undirected,ATTENDANTS.CLOTEN.2_Cym,1
Imogen_Cym,Undirected,MESSENGERS.1_Cym,1
Imogen_Cym,Undirected,Belarius_Cym,3
Imogen_Cym,Undirected,Guiderius_Cym,3
Imogen_Cym,Undirected,Arviragus_Cym,3
Imogen_Cym,Undirected,SOLDIERS.ROMAN.0.1_Cym,1
Imogen_Cym,Undirected,Lucius_Cym,2
Imogen_Cym,Undirected,Soothsayer_Cym,2
Imogen_Cym,Undirected,Cornelius_Cym,1
Imogen_Cym,Undirected,LADIES.QUEEN_Cym,1
Cymbeline_Cym,Undirected,Pisanio_Cym,5
Cymbeline_Cym,Undirected,ATTENDANTS.CLOTEN.1_Cym,1
Cymbeline_Cym,Undirected,Cloten_Cym,3
Cymbeline_Cym,Undirected,MUSICIANS_Cym,1
Cymbeline_Cym,Undirected,ATTENDANTS.CLOTEN.2_Cym,1
Cymbeline_Cym,Undirected,MESSENGERS.1_Cym,1
Cymbeline_Cym,Undirected,LADIES.IMOGEN_Cym,1
Cymbeline_Cym,Undirected,Lucius_Cym,3
Cymbeline_Cym,Undirected,ATTENDANTS.0.1_Cym,1
Cymbeline_Cym,Undirected,ATTENDANTS.0.2_Cym,1
Cymbeline_Cym,Undirected,Belarius_Cym,1
Cymbeline_Cym,Undirected,Cornelius_Cym,1
Cymbeline_Cym,Undirected,LADIES.QUEEN_Cym,1
Cymbeline_Cym,Undirected,Arviragus_Cym,1
Cymbeline_Cym,Undirected,Guiderius_Cym,1
Cymbeline_Cym,Undirected,Iachimo_Cym,1
Cymbeline_Cym,Undirected,Soothsayer_Cym,1
Pisanio_Cym,Undirected,LADIES.IMOGEN_Cym,2
Pisanio_Cym,Undirected,LADIES.QUEEN.0.1_Cym,1
Pisanio_Cym,Undirected,Cornelius_Cym,2
Pisanio_Cym,Undirected,Iachimo_Cym,2
Pisanio_Cym,Undirected,ATTENDANTS.CLOTEN.1_Cym,1
Pisanio_Cym,Undirected,Cloten_Cym,2
Pisanio_Cym,Undirected,MUSICIANS_Cym,1
Pisanio_Cym,Undirected,ATTENDANTS.CLOTEN.2_Cym,1
Pisanio_Cym,Undirected,MESSENGERS.1_Cym,1
Pisanio_Cym,Undirected,Lucius_Cym,2
Pisanio_Cym,Undirected,ATTENDANTS.0.1_Cym,1
Pisanio_Cym,Undirected,ATTENDANTS.0.2_Cym,1
Pisanio_Cym,Undirected,Belarius_Cym,1
Pisanio_Cym,Undirected,LADIES.QUEEN_Cym,1
Pisanio_Cym,Undirected,Arviragus_Cym,1
Pisanio_Cym,Undirected,Guiderius_Cym,1
Pisanio_Cym,Undirected,Soothsayer_Cym,1
ATTENDANTS.CLOTEN.1_Cym,Undirected,Cloten_Cym,3
ATTENDANTS.CLOTEN.1_Cym,Undirected,ATTENDANTS.CLOTEN.2_Cym,3
ATTENDANTS.CLOTEN.1_Cym,Undirected,MUSICIANS_Cym,1
ATTENDANTS.CLOTEN.1_Cym,Undirected,MESSENGERS.1_Cym,1
ATTENDANTS.CLOTEN.1_Cym,Undirected,LADIES.IMOGEN_Cym,1
Cloten_Cym,Undirected,ATTENDANTS.CLOTEN.2_Cym,3
Cloten_Cym,Undirected,MUSICIANS_Cym,1
Cloten_Cym,Undirected,MESSENGERS.1_Cym,1
Cloten_Cym,Undirected,LADIES.IMOGEN_Cym,1
Cloten_Cym,Undirected,Lucius_Cym,3
Cloten_Cym,Undirected,ATTENDANTS.0.1_Cym,1
Cloten_Cym,Undirected,Belarius_Cym,1
Cloten_Cym,Undirected,Arviragus_Cym,1
Cloten_Cym,Undirected,Guiderius_Cym,1
Cloten_Cym,Undirected,SOLDIERS.ROMAN.0.1_Cym,1
Cloten_Cym,Undirected,Soothsayer_Cym,1
ATTENDANTS.CLOTEN.2_Cym,Undirected,MUSICIANS_Cym,1
ATTENDANTS.CLOTEN.2_Cym,Undirected,MESSENGERS.1_Cym,1
ATTENDANTS.CLOTEN.2_Cym,Undirected,LADIES.IMOGEN_Cym,1
LADIES.IMOGEN_Cym,Undirected,Iachimo_Cym,1
LADIES.IMOGEN_Cym,Undirected,MUSICIANS_Cym,1
LADIES.IMOGEN_Cym,Undirected,MESSENGERS.1_Cym,1
Iachimo_Cym,Undirected,Philario_Cym,2
Iachimo_Cym,Undirected,Frenchman_Cym,1
Iachimo_Cym,Undirected,Belarius_Cym,2
Iachimo_Cym,Undirected,Guiderius_Cym,2
Iachimo_Cym,Undirected,Lucius_Cym,2
Iachimo_Cym,Undirected,Cornelius_Cym,1
Iachimo_Cym,Undirected,LADIES.QUEEN_Cym,1
Iachimo_Cym,Undirected,Arviragus_Cym,1
Iachimo_Cym,Undirected,Soothsayer_Cym,1
Philario_Cym,Undirected,Frenchman_Cym,1
LADIES.QUEEN.0.1_Cym,Undirected,Cornelius_Cym,1
Cornelius_Cym,Undirected,Belarius_Cym,1
Cornelius_Cym,Undirected,LADIES.QUEEN_Cym,1
Cornelius_Cym,Undirected,Lucius_Cym,1
Cornelius_Cym,Undirected,Arviragus_Cym,1
Cornelius_Cym,Undirected,Guiderius_Cym,1
Cornelius_Cym,Undirected,Soothsayer_Cym,1
MUSICIANS_Cym,Undirected,MESSENGERS.1_Cym,1
Lucius_Cym,Undirected,ATTENDANTS.0.1_Cym,1
Lucius_Cym,Undirected,Belarius_Cym,3
Lucius_Cym,Undirected,Arviragus_Cym,2
Lucius_Cym,Undirected,Guiderius_Cym,3
Lucius_Cym,Undirected,SOLDIERS.ROMAN.0.1_Cym,1
Lucius_Cym,Undirected,Soothsayer_Cym,2
Lucius_Cym,Undirected,LADIES.QUEEN_Cym,1
Belarius_Cym,Undirected,Guiderius_Cym,6
Belarius_Cym,Undirected,Arviragus_Cym,5
Belarius_Cym,Undirected,SOLDIERS.ROMAN.0.1_Cym,1
Belarius_Cym,Undirected,Soothsayer_Cym,2
Belarius_Cym,Undirected,LADIES.QUEEN_Cym,1
Guiderius_Cym,Undirected,Arviragus_Cym,5
Guiderius_Cym,Undirected,SOLDIERS.ROMAN.0.1_Cym,1
Guiderius_Cym,Undirected,Soothsayer_Cym,2
Guiderius_Cym,Undirected,LADIES.QUEEN_Cym,1
Arviragus_Cym,Undirected,SOLDIERS.ROMAN.0.1_Cym,1
Arviragus_Cym,Undirected,Soothsayer_Cym,2
Arviragus_Cym,Undirected,LADIES.QUEEN_Cym,1
SENATORS.1_Cym,Undirected,TRIBUNES.0.1_Cym,1
SENATORS.1_Cym,Undirected,SENATORS.2_Cym,1
TRIBUNES.0.1_Cym,Undirected,SENATORS.2_Cym,1
SOLDIERS.ROMAN.0.1_Cym,Undirected,Soothsayer_Cym,1
Soothsayer_Cym,Undirected,LADIES.QUEEN_Cym,1
ATTENDANTS.3_Cym,Undirected,SOLDIERS.BRITON.0.1_Cym,1
ATTENDANTS.3_Cym,Undirected,SOLDIERS.BRITON.0.2_Cym,1
SOLDIERS.BRITON.0.1_Cym,Undirected,SOLDIERS.BRITON.0.2_Cym,1
JAILERS.1_Cym,Undirected,JAILERS.2_Cym,1
JAILERS.1_Cym,Undirected,GHOSTS.Father_Cym,1
JAILERS.1_Cym,Undirected,GHOSTS.Mother_Cym,1
JAILERS.1_Cym,Undirected,GHOSTS.BROTHERS.1_Cym,1
JAILERS.1_Cym,Undirected,GHOSTS.BROTHERS.2_Cym,1
JAILERS.1_Cym,Undirected,Jupiter_Cym,1
JAILERS.1_Cym,Undirected,MESSENGERS.2_Cym,1
JAILERS.2_Cym,Undirected,GHOSTS.Father_Cym,1
JAILERS.2_Cym,Undirected,GHOSTS.Mother_Cym,1
JAILERS.2_Cym,Undirected,GHOSTS.BROTHERS.1_Cym,1
JAILERS.2_Cym,Undirected,GHOSTS.BROTHERS.2_Cym,1
JAILERS.2_Cym,Undirected,Jupiter_Cym,1
JAILERS.2_Cym,Undirected,MESSENGERS.2_Cym,1
GHOSTS.Father_Cym,Undirected,GHOSTS.Mother_Cym,1
GHOSTS.Father_Cym,Undirected,GHOSTS.BROTHERS.1_Cym,1
GHOSTS.Father_Cym,Undirected,GHOSTS.BROTHERS.2_Cym,1
GHOSTS.Father_Cym,Undirected,Jupiter_Cym,1
GHOSTS.Father_Cym,Undirected,MESSENGERS.2_Cym,1
GHOSTS.Mother_Cym,Undirected,GHOSTS.BROTHERS.1_Cym,1
GHOSTS.Mother_Cym,Undirected,GHOSTS.BROTHERS.2_Cym,1
GHOSTS.Mother_Cym,Undirected,Jupiter_Cym,1
GHOSTS.Mother_Cym,Undirected,MESSENGERS.2_Cym,1
GHOSTS.BROTHERS.1_Cym,Undirected,GHOSTS.BROTHERS.2_Cym,1
GHOSTS.BROTHERS.1_Cym,Undirected,Jupiter_Cym,1
