Source,Type,Target,Weight
Antiochus_Per,Undirected,Pericles_Per,1
Antiochus_Per,Undirected,Daughter_Per,1
Antiochus_Per,Undirected,Thaliard_Per,1
Antiochus_Per,Undirected,MESSENGERS.ANTIOCH.1_Per,1
Pericles_Per,Undirected,Daughter_Per,1
Pericles_Per,Undirected,Thaliard_Per,1
Pericles_Per,Undirected,MESSENGERS.ANTIOCH.1_Per,1
Pericles_Per,Undirected,LORDS.TYRE.0.1_Per,1
Pericles_Per,Undirected,LORDS.TYRE.0.2_Per,1
Pericles_Per,Undirected,Helicanus_Per,3
Pericles_Per,Undirected,Cleon_Per,2
Pericles_Per,Undirected,Dionyza_Per,2
Pericles_Per,Undirected,LORDS.TARSUS.1_Per,1
Pericles_Per,Undirected,CITIZENS.TARSUS_Per,1
Pericles_Per,Undirected,FISHERMEN.1_Per,1
Pericles_Per,Undirected,FISHERMEN.2_Per,1
Pericles_Per,Undirected,FISHERMEN.3_Per,1
Pericles_Per,Undirected,Simonides_Per,2
Pericles_Per,Undirected,Thaisa_Per,3
Pericles_Per,Undirected,KNIGHTS_Per,1
Pericles_Per,Undirected,Marshal_Per,1
Pericles_Per,Undirected,KNIGHTS.0.1_Per,2
Pericles_Per,Undirected,KNIGHTS.0.2_Per,1
Pericles_Per,Undirected,KNIGHTS.0.3_Per,1
Pericles_Per,Undirected,Lychorida_Per,1
Pericles_Per,Undirected,SAILORS.1_Per,1
Pericles_Per,Undirected,SAILORS.2_Per,1
Pericles_Per,Undirected,SAILORS.TYRE.1_Per,1
Pericles_Per,Undirected,GENTLEMEN.TYRE.0.1_Per,1
Pericles_Per,Undirected,SAILORS.MYTILENE.1_Per,1
Pericles_Per,Undirected,Lysimachus_Per,1
Pericles_Per,Undirected,LORDS.MYTILENE.0.1_Per,1
Pericles_Per,Undirected,Marina_Per,2
Pericles_Per,Undirected,Diana_Per,1
Pericles_Per,Undirected,Cerimon_Per,1
Daughter_Per,Undirected,Thaliard_Per,1
Daughter_Per,Undirected,MESSENGERS.ANTIOCH.1_Per,1
Thaliard_Per,Undirected,MESSENGERS.ANTIOCH.1_Per,1
Thaliard_Per,Undirected,Helicanus_Per,1
LORDS.TYRE.0.1_Per,Undirected,LORDS.TYRE.0.2_Per,2
LORDS.TYRE.0.1_Per,Undirected,Helicanus_Per,2
LORDS.TYRE.0.1_Per,Undirected,LORDS.TYRE.Escanes_Per,1
LORDS.TYRE.0.1_Per,Undirected,LORDS.TYRE.0.3_Per,1
LORDS.TYRE.0.1_Per,Undirected,LORDS.TYRE_Per,1
LORDS.TYRE.0.2_Per,Undirected,Helicanus_Per,2
LORDS.TYRE.0.2_Per,Undirected,LORDS.TYRE.Escanes_Per,1
