play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count;act_num;scene_num
A Midsummer Night's Dream;MND I.i;1;Egeus, Demetrius, Helena, Hermia, Hippolyta, Lysander, Philostrate, Theseus;yes;8;1;1
A Midsummer Night's Dream;MND I.ii;2;Bottom, Flute, Quince, Snout, Snug, Starveling;no;6;1;2
A Midsummer Night's Dream;MND II.i;3;Demetrius, Helena, Fairy, Oberon, Puck, Titania;yes;6;2;1
A Midsummer Night's Dream;MND II.ii;4;Demetrius, First Fairy, Helena, Hermia, Lysander, Oberon, Puck, Titania;yes;8;2;2
A Midsummer Night's Dream;MND III.i;5;Bottom, Cobweb, Flute, Moth, Mustardseed, Peaseblossom, Puck, Quince, Snout, Snug, Starveling, Titania;no;12;3;1
A Midsummer Night's Dream;MND III.ii;6;Demetrius, Helena, Hermia, Lysander, Oberon, Puck;no;6;3;2
A Midsummer Night's Dream;MND IV.i;7;Bottom, Cobweb, Demetrius, Egeus, Helena, Hermia, Hippolyta, Lysander, Moth, Mustardseed, Oberon, Peaseblossom, Puck, Theseus, Titania;yes;15;4;1
A Midsummer Night's Dream;MND IV.ii;8;Bottom, Flute, Quince, Snout, Snug, Starveling;no;6;4;2
A Midsummer Night's Dream;MND V.i;9;Bottom, Demetrius, Flute, Helena, Hermia, Hippolyta, Lysander, Philostrate, Puck, Quince, Snout, Snug, Starveling, Theseus;yes;14;5;1
All's Well That Ends Well;AW I.i;1;Bertram, Countess, Helena, Lafew, Page, Parolles;no;6;1;1
All's Well That Ends Well;AW I.ii;2;Bertram, King, First Lord, Second Lord;no;4;1;2
All's Well That Ends Well;AW I.iii;3;Clown, Countess, Helena, Steward;no;4;1;3
All's Well That Ends Well;AW II.i;4;Bertram, King, Helena, Lafew, First Lord, Second Lord, Parolles;yes;7;2;1
All's Well That Ends Well;AW II.ii;5;Clown, Countess;no;2;2;2
All's Well That Ends Well;AW II.iii;6;Bertram, Helena, King, Lafew, First Lord, Second Lord, Parolles;yes;7;2;3
All's Well That Ends Well;AW II.iv;7;Clown, Helena, Parolles;no;3;2;4
All's Well That Ends Well;AW II.v;8;Bertram, Helena, Lafew, Parolles;no;4;2;5
All's Well That Ends Well;AW III.i;9;Duke, First Lord, Second Lord;no;3;3;1
All's Well That Ends Well;AW III.ii;10;Clown, Countess, Helena, First Lord, Second Lord;no;5;3;2
All's Well That Ends Well;AW III.iii;11;Bertram, Duke, Parolles;yes;3;3;3
All's Well That Ends Well;AW III.iv;12;Countess, Steward;no;2;3;4
All's Well That Ends Well;AW III.v;13;Bertram, Diana, Helena, Mariana, Parolles, Widow,;yes;6;3;5
All's Well That Ends Well;AW III.vi;14;Bertram, First Lord, Second Lord, Parolles;no;4;3;6
All's Well That Ends Well;AW III.vii;15;Helena, Widow;no;2;3;7
All's Well That Ends Well;AW IV.i;16;First Lord, Parolles, First Soldier, Second Soldier;yes;4;4;1
All's Well That Ends Well;AW IV.ii;17;Bertram, Diana;no;2;4;1
All's Well That Ends Well;AW IV.iii;18;Bertram, First Lord, Second Lord, Messenger, Parolles, First Soldier;yes;6;4;1
All's Well That Ends Well;AW IV.iv;19;Diana, Helena, Widow;no;3;4;4
All's Well That Ends Well;AW IV.v;20;Clown, Countess, Lafew;no;3;4;5
All's Well That Ends Well;AW V.i;21;Diana, Gentleman, Helena, Widow;yes;4;5;1
All's Well That Ends Well;AW V.ii;22;Clown, Lafew, Parolles;no;3;5;2
All's Well That Ends Well;AW V.iii;23;Attendant, Bertram, Countess, Diana, Gentleman, Helena, King, Lafew, Parolles, Widow;yes;10;5;3
Antony and Cleopatra;AC I.i;1;Antony, Charmian, Cleopatra, Demetrius, Iras, Messenger, Philo;yes;7;1;1
Antony and Cleopatra;AC I.ii;2;Alexas, Antony, Charmian, Cleopatra, Enobarbus, Iras, Messenger 1, Messenger 2, Soothsayer;yes;9;1;2
Antony and Cleopatra;AC I.iii;3;Alexas, Antony, Charmian, Cleopatra, Iras;no;5;1;3
Antony and Cleopatra;AC I.iv;4;Caesar, Lepidus, Messenger;yes;3;1;4
Antony and Cleopatra;AC I.v;5;Alexas, Charmian, Cleopatra, Iras, Mardian;no;5;1;5
Antony and Cleopatra;AC II.i;6;Menas, Menecrates, Pompey, Varrius;no;4;2;1
Antony and Cleopatra;AC II.ii;7;Agrippa, Antony, Enobarbus, Lepidus, Ventidius;no;5;2;2
Antony and Cleopatra;AC II.iii;8;Antony, Caesar, Octavia, Soothsayer;yes;4;2;3
Antony and Cleopatra;AC II.iv;9;Agrippa, Lepidus, Maecenas;no;3;2;4
Antony and Cleopatra;AC II.v;10;Alexas, Charmian, Cleopatra, Iras, Mardian, Messenger;no;6;2;5
Antony and Cleopatra;AC II.vi;11;Agrippa, Antony, Caesar, Enobarbus, Lepidus, Maecenas, Menas, Pompey,;yes;8;2;6
Antony and Cleopatra;AC III.i;12;Silius, Ventidius;yes;2;3;1
Antony and Cleopatra;AC III.ii;13;Agrippa, Antony, Caesar, Enobarbus, Lepidus, Octavia;no;6;3;2
Antony and Cleopatra;AC III.iii;14;Alexas, Charmian, Cleopatra, Iras, Messenger;no;5;3;3
Antony and Cleopatra;AC III.iv;15;Antony, Octavia;no;2;3;4
Antony and Cleopatra;AC III.v;16;Enobarbus, Eros;no;2;3;5
Antony and Cleopatra;AC III.vi;17;Agrippa, Caesar, Maecenas, Octavia;yes;4;3;6
Antony and Cleopatra;AC III.vii;18;Antony, Canidius, Cleopatra, Enobarbus, Messenger, Soldier;no;6;3;7
Antony and Cleopatra;AC III.viii;19;Caesar, Taurus;yes;2;3;8
Antony and Cleopatra;AC III.ix;20;Antony, Enobarbus;no;2;3;9
Antony and Cleopatra;AC III.x;21;Canidius, Enobarbus, Scarus, Taurus;yes;4;3;10
Antony and Cleopatra;AC III.xi;22;Antony, Charmian, Cleopatra, Eros, Iras,;yes;5;3;11
Antony and Cleopatra;AC III.xii;23;Agrippa, Ambassador, Caesar, Dolabella, Thidias;yes;5;3;12
Antony and Cleopatra;AC III.xiii;24;Ambassador, Antony, Charmian, Cleopatra, Enobarbus, Iras, Servant, Thidias;no;8;3;13
Antony and Cleopatra;AC IV.i;25;Agrippa, Caesar, Maecenas;yes;3;4;1
Antony and Cleopatra;AC IV.ii;26;Alexas, Antony, Charmian, Cleopatra, Enobarbus, Iras;yes;6;4;2
Antony and Cleopatra;AC IV.iii;27;First Soldier, Second Soldier, Third Soldier, Fourth Soldier;no;4;4;3
Antony and Cleopatra;AC IV.iv;28;Antony, Captain, Charmian, Cleopatra, Eros, Soldier;yes;6;4;4
Antony and Cleopatra;AC IV.v;29;Antony, Eros, Soldier;no;3;4;5
Antony and Cleopatra;AC IV.vi;30;Agrippa, Caesar, Dolabella, Enobarbus, Messenger, Soldier;no;6;4;6
Antony and Cleopatra;AC IV.vii;31;Agrippa, Antony, Eros, Scarus;yes;4;4;7
Antony and Cleopatra;AC IV.viii;32;Antony, Cleopatra, Scarus;yes;3;4;8
Antony and Cleopatra;AC IV.ix;33;Enobarbus, First Watch, Second Watch, Sentry;no;4;4;9
Antony and Cleopatra;AC IV.x;34;Antony, Scarus;yes;2;4;10
Antony and Cleopatra;AC IV.xi;35;Caesar;yes;1;4;11
Antony and Cleopatra;AC IV.xii;36;Antony, Cleopatra Scarus;no;3;4;12
