play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count
A Midsummer Night's Dream;MND I.ii;1;Bottom, Flute, Quince, Snout, Snug, Starveling;no;6
A Midsummer Night's Dream;MND II.i;2;Demetrius, Helena, Fairy, Oberon, Puck, Titania;yes;6
A Midsummer Night's Dream;MND III.ii;3;Demetrius, Helena, Hermia, Lysander, Oberon, Puck;no;6
A Midsummer Night's Dream;MND IV.ii;4;Bottom, Flute, Quince, Snout, Snug, Starveling;no;6
A Midsummer Night's Dream;MND I.i;5;Egeus, Demetrius, Helena, Hermia, Hippolyta, Lysander, Philostrate, Theseus;yes;8
A Midsummer Night's Dream;MND II.ii;6;Demetrius, First Fairy, Helena, Hermia, Lysander, Oberon, Puck, Titania;yes;8
A Midsummer Night's Dream;MND III.i;7;Bottom, Cobweb, Flute, Moth, Mustardseed, Peaseblossom, Puck, Quince, Snout, Snug, Starveling, Titania;no;12
A Midsummer Night's Dream;MND V.i;8;Bottom, Demetrius, Flute, Helena, Hermia, Hippolyta, Lysander, Philostrate, Puck, Quince, Snout, Snug, Starveling, Theseus;yes;14
A Midsummer Night's Dream;MND IV.i;9;Bottom, Cobweb, Demetrius, Egeus, Helena, Hermia, Hippolyta, Lysander, Moth, Mustardseed, Oberon, Peaseblossom, Puck, Theseus, Titania;yes;15
All's Well That Ends Well;AW II.ii;1;Clown, Countess;no;2
All's Well That Ends Well;AW III.iv;2;Countess, Steward;no;2
All's Well That Ends Well;AW III.vii;3;Helena, Widow;no;2
All's Well That Ends Well;AW IV.iI;4;Bertram, Diana;no;2
All's Well That Ends Well;AW II.iv;5;Clown, Helena, Parolles;no;3
All's Well That Ends Well;AW III.i;6;Duke, First Lord, Second Lord;no;3
All's Well That Ends Well;AW III.iii;7;Bertram, Duke, Parolles;yes;3
All's Well That Ends Well;AW IV.iv;8;Diana, Helena, Widow;no;3
All's Well That Ends Well;AW IV.v;9;Clown, Countess, Lafew;no;3
All's Well That Ends Well;AW V.ii;10;Clown, Lafew, Parolles;no;3
All's Well That Ends Well;AW I.ii;11;Bertram, King, First Lord, Second Lord;no;4
All's Well That Ends Well;AW I.iii;12;Clown, Countess, Helena, Steward;no;4
All's Well That Ends Well;AW II.v;13;Bertram, Helena, Lafew, Parolles;no;4
All's Well That Ends Well;AW III.vi;14;Bertram, First Lord, Second Lord, Parolles;no;4
All's Well That Ends Well;AW IV.i;15;First Lord, Parolles, First Soldier, Second Soldier;yes;4
All's Well That Ends Well;AW V.i;16;Diana, Gentleman, Helena, Widow;yes;4
All's Well That Ends Well;AW III.ii;17;Clown, Countess, Helena, First Lord, Second Lord;no;5
All's Well That Ends Well;AW I.i;18;Bertram, Countess, Helena, Lafew, Page, Parolles;no;6
All's Well That Ends Well;AW III.v;19;Bertram, Diana, Helena, Mariana, Parolles, Widow,;yes;6
All's Well That Ends Well;AW IV.iII;20;Bertram, First Lord, Second Lord, Messenger, Parolles, First Soldier;yes;6
All's Well That Ends Well;AW II.i;21;Bertram, King, Helena, Lafew, First Lord, Second Lord, Parolles;yes;7
All's Well That Ends Well;AW II.iii;22;Bertram, Helena, King, Lafew, First Lord, Second Lord, Parolles;yes;7
All's Well That Ends Well;AW V.iii;23;Attendant, Bertram, Countess, Diana, Gentleman, Helena, King, Lafew, Parolles, Widow;yes;10
Antony and Cleopatra;AC IV.xi;1;Caesar;yes;1
Antony and Cleopatra;AC III.i;2;Silius, Ventidius;yes;2
Antony and Cleopatra;AC III.iv;3;Antony, Octavia;no;2
